Year,UNIT_MEASURE,SERIES,Age,Area,Sex,Regions,Value
2010,Percent,Strong deviation from the norm,,,Male,,1.9
2010,Percent,Strong deviation from the norm,,,Female,,1.4
2010,Percent,Strong deviation from the norm,,Population of urban areas,,,2.1
2010,Percent,Strong deviation from the norm,,Population of rural areas,,,1.3
2010,Percent,Strong deviation from the norm,,,,Akmola,0.9
2010,Percent,Strong deviation from the norm,,,,Aktobe,3.9
2010,Percent,Strong deviation from the norm,,,,Almaty,2.0
2010,Percent,Strong deviation from the norm,,,,Atyrau,1.9
2010,Percent,Strong deviation from the norm,,,,Batys Kazakhstan,1.1
2010,Percent,Strong deviation from the norm,,,,Zhambyl,1.4
2010,Percent,Strong deviation from the norm,,,,Karagandy,0.4
2010,Percent,Strong deviation from the norm,,,,Kostanay,0.0
2010,Percent,Strong deviation from the norm,,,,Kyzylorda,0.2
2010,Percent,Strong deviation from the norm,,,,Mangistau,1.7
2010,Percent,Strong deviation from the norm,,,,Ontustik Kazakhstan,2.0
2010,Percent,Strong deviation from the norm,,,,Pavlodar,1.5
2010,Percent,Strong deviation from the norm,,,,Soltustik Kazakhstan,0.4
2010,Percent,Strong deviation from the norm,,,,Shygys Kazakhstan,2.7
2010,Percent,Strong deviation from the norm,,,,Nur-Sultan city,2.8
2010,Percent,Strong deviation from the norm,,,,Almaty city,3.0
2010,Percent,Strong deviation from the norm,M0T5,,,,7.4
2010,Percent,Strong deviation from the norm,M6T11,,,,1.0
2010,Percent,Strong deviation from the norm,M12T23,,,,0.6
2010,Percent,Strong deviation from the norm,M24T35,,,,1.2
2010,Percent,Strong deviation from the norm,36-47 months,,,,0.7
2010,Percent,Strong deviation from the norm,48-59 months,,,,1.8
2010,Percent,Избыточный вес: Умеренная и сильная степень отклонения от нормы,,,,,13.3
2010,Percent,Избыточный вес: Умеренная и сильная степень отклонения от нормы,,,Male,,14.8
2010,Percent,Избыточный вес: Умеренная и сильная степень отклонения от нормы,,,Female,,11.8
2010,Percent,Избыточный вес: Умеренная и сильная степень отклонения от нормы,,Population of urban areas,,,13.7
2010,Percent,Избыточный вес: Умеренная и сильная степень отклонения от нормы,,Population of rural areas,,,13.0
2010,Percent,Избыточный вес: Умеренная и сильная степень отклонения от нормы,,,,Akmola,13.6
2010,Percent,Избыточный вес: Умеренная и сильная степень отклонения от нормы,,,,Aktobe,33.5
2010,Percent,Избыточный вес: Умеренная и сильная степень отклонения от нормы,,,,Almaty,7.6
2010,Percent,Избыточный вес: Умеренная и сильная степень отклонения от нормы,,,,Atyrau,16.2
2010,Percent,Избыточный вес: Умеренная и сильная степень отклонения от нормы,,,,Batys Kazakhstan,6.6
2010,Percent,Избыточный вес: Умеренная и сильная степень отклонения от нормы,,,,Zhambyl,21.3
2010,Percent,Избыточный вес: Умеренная и сильная степень отклонения от нормы,,,,Karagandy,6.1
2010,Percent,Избыточный вес: Умеренная и сильная степень отклонения от нормы,,,,Kostanay,6.6
2010,Percent,Избыточный вес: Умеренная и сильная степень отклонения от нормы,,,,Kyzylorda,6.8
2010,Percent,Избыточный вес: Умеренная и сильная степень отклонения от нормы,,,,Mangistau,15.7
2010,Percent,Избыточный вес: Умеренная и сильная степень отклонения от нормы,,,,Ontustik Kazakhstan,11.1
2010,Percent,Избыточный вес: Умеренная и сильная степень отклонения от нормы,,,,Pavlodar,13.6
2010,Percent,Избыточный вес: Умеренная и сильная степень отклонения от нормы,,,,Soltustik Kazakhstan,11.6
2010,Percent,Избыточный вес: Умеренная и сильная степень отклонения от нормы,,,,Shygys Kazakhstan,20.2
2010,Percent,Избыточный вес: Умеренная и сильная степень отклонения от нормы,,,,Nur-Sultan city,22.1
2010,Percent,Избыточный вес: Умеренная и сильная степень отклонения от нормы,,,,Almaty city,15.6
2010,Percent,Избыточный вес: Умеренная и сильная степень отклонения от нормы,M0T5,,,,9.8
2010,Percent,Избыточный вес: Умеренная и сильная степень отклонения от нормы,M6T11,,,,19.0
2010,Percent,Избыточный вес: Умеренная и сильная степень отклонения от нормы,M12T23,,,,17.4
2010,Percent,Избыточный вес: Умеренная и сильная степень отклонения от нормы,M24T35,,,,12.9
2010,Percent,Избыточный вес: Умеренная и сильная степень отклонения от нормы,36-47 months,,,,11.6
2010,Percent,Избыточный вес: Умеренная и сильная степень отклонения от нормы,48-59 months,,,,9.7
2015,Percent,Rate of deviation from the norm (moderate and strong),,,,,3.1
2015,Percent,Rate of deviation from the norm (moderate and strong),,,Male,,2.9
2015,Percent,Rate of deviation from the norm (moderate and strong),,,Female,,3.3
2015,Percent,Rate of deviation from the norm (moderate and strong),,Population of urban areas,,,3.1
2015,Percent,Rate of deviation from the norm (moderate and strong),,Population of rural areas,,,3.1
2015,Percent,Rate of deviation from the norm (moderate and strong),,,,Akmola,1.4
2015,Percent,Rate of deviation from the norm (moderate and strong),,,,Aktobe,6.3
2015,Percent,Rate of deviation from the norm (moderate and strong),,,,Almaty,4.4
2015,Percent,Rate of deviation from the norm (moderate and strong),,,,Atyrau,5.9
2015,Percent,Rate of deviation from the norm (moderate and strong),,,,Batys Kazakhstan,1.5
2015,Percent,Rate of deviation from the norm (moderate and strong),,,,Zhambyl,3.2
2015,Percent,Rate of deviation from the norm (moderate and strong),,,,Karagandy,1.6
2015,Percent,Rate of deviation from the norm (moderate and strong),,,,Kostanay,4.2
2015,Percent,Rate of deviation from the norm (moderate and strong),,,,Kyzylorda,2.1
2015,Percent,Rate of deviation from the norm (moderate and strong),,,,Mangistau,3.4
2015,Percent,Rate of deviation from the norm (moderate and strong),,,,Ontustik Kazakhstan,2.9
2015,Percent,Rate of deviation from the norm (moderate and strong),,,,Pavlodar,5.5
2015,Percent,Rate of deviation from the norm (moderate and strong),,,,Soltustik Kazakhstan,1.6
2015,Percent,Rate of deviation from the norm (moderate and strong),,,,Shygys Kazakhstan,1.9
2015,Percent,Rate of deviation from the norm (moderate and strong),,,,Nur-Sultan city,1.3
2015,Percent,Rate of deviation from the norm (moderate and strong),,,,Almaty city,3.5
2015,Percent,Rate of deviation from the norm (moderate and strong),M0T5,,,,13.7
2015,Percent,Rate of deviation from the norm (moderate and strong),M6T11,,,,2.8
2015,Percent,Rate of deviation from the norm (moderate and strong),M12T17,,,,1.7
2015,Percent,Rate of deviation from the norm (moderate and strong),M18T23,,,,3.5
2015,Percent,Rate of deviation from the norm (moderate and strong),M24T35,,,,1.8
2015,Percent,Rate of deviation from the norm (moderate and strong),36-47 months,,,,1.7
2015,Percent,Rate of deviation from the norm (moderate and strong),48-59 months,,,,1.9
2015,Percent,Strong deviation from the norm,,,,,1.1
2015,Percent,Strong deviation from the norm,,,Male,,1.1
2015,Percent,Strong deviation from the norm,,,Female,,1.0
2015,Percent,Strong deviation from the norm,,Population of urban areas,,,1.3
2015,Percent,Strong deviation from the norm,,Population of rural areas,,,0.8
2015,Percent,Strong deviation from the norm,,,,Akmola,0.2
2015,Percent,Strong deviation from the norm,,,,Aktobe,2.5
2015,Percent,Strong deviation from the norm,,,,Almaty,1.2
2015,Percent,Strong deviation from the norm,,,,Atyrau,3.6
2015,Percent,Strong deviation from the norm,,,,Batys Kazakhstan,1.2
2015,Percent,Strong deviation from the norm,,,,Zhambyl,0.9
2015,Percent,Strong deviation from the norm,,,,Karagandy,0.0
2015,Percent,Strong deviation from the norm,,,,Kostanay,1.1
2015,Percent,Strong deviation from the norm,,,,Kyzylorda,0.7
2015,Percent,Strong deviation from the norm,,,,Mangistau,1.0
2015,Percent,Strong deviation from the norm,,,,Ontustik Kazakhstan,0.9
2015,Percent,Strong deviation from the norm,,,,Pavlodar,2.4
2015,Percent,Strong deviation from the norm,,,,Soltustik Kazakhstan,0.0
2015,Percent,Strong deviation from the norm,,,,Shygys Kazakhstan,0.9
2015,Percent,Strong deviation from the norm,,,,Nur-Sultan city,0.3
2015,Percent,Strong deviation from the norm,,,,Almaty city,1.4
2015,Percent,Strong deviation from the norm,M0T5,,,,4.9
2015,Percent,Strong deviation from the norm,M6T11,,,,1.0
2015,Percent,Strong deviation from the norm,M12T17,,,,0.8
2015,Percent,Strong deviation from the norm,M18T23,,,,0.9
2015,Percent,Strong deviation from the norm,M24T35,,,,0.9
2015,Percent,Strong deviation from the norm,36-47 months,,,,0.2
2015,Percent,Strong deviation from the norm,48-59 months,,,,0.7
2015,Percent,Избыточный вес: Умеренная и сильная степень отклонения от нормы,,,,,9.3
2015,Percent,Избыточный вес: Умеренная и сильная степень отклонения от нормы,,,Male,,8.7
2015,Percent,Избыточный вес: Умеренная и сильная степень отклонения от нормы,,,Female,,10.0
2015,Percent,Избыточный вес: Умеренная и сильная степень отклонения от нормы,,Population of urban areas,,,11.2
2015,Percent,Избыточный вес: Умеренная и сильная степень отклонения от нормы,,Population of rural areas,,,7.6
2015,Percent,Избыточный вес: Умеренная и сильная степень отклонения от нормы,,,,Akmola,4.9
2015,Percent,Избыточный вес: Умеренная и сильная степень отклонения от нормы,,,,Aktobe,10.3
2015,Percent,Избыточный вес: Умеренная и сильная степень отклонения от нормы,,,,Almaty,6.3
2015,Percent,Избыточный вес: Умеренная и сильная степень отклонения от нормы,,,,Atyrau,14.7
2015,Percent,Избыточный вес: Умеренная и сильная степень отклонения от нормы,,,,Batys Kazakhstan,8.0
2015,Percent,Избыточный вес: Умеренная и сильная степень отклонения от нормы,,,,Zhambyl,6.1
2015,Percent,Избыточный вес: Умеренная и сильная степень отклонения от нормы,,,,Karagandy,6.4
2015,Percent,Избыточный вес: Умеренная и сильная степень отклонения от нормы,,,,Kostanay,12.5
2015,Percent,Избыточный вес: Умеренная и сильная степень отклонения от нормы,,,,Kyzylorda,8.6
2015,Percent,Избыточный вес: Умеренная и сильная степень отклонения от нормы,,,,Mangistau,4.9
2015,Percent,Избыточный вес: Умеренная и сильная степень отклонения от нормы,,,,Ontustik Kazakhstan,7.6
2015,Percent,Избыточный вес: Умеренная и сильная степень отклонения от нормы,,,,Pavlodar,9.7
2015,Percent,Избыточный вес: Умеренная и сильная степень отклонения от нормы,,,,Soltustik Kazakhstan,5.6
2015,Percent,Избыточный вес: Умеренная и сильная степень отклонения от нормы,,,,Shygys Kazakhstan,9.2
2015,Percent,Избыточный вес: Умеренная и сильная степень отклонения от нормы,,,,Nur-Sultan city,16.2
2015,Percent,Избыточный вес: Умеренная и сильная степень отклонения от нормы,,,,Almaty city,21.6
2015,Percent,Избыточный вес: Умеренная и сильная степень отклонения от нормы,M0T5,,,,5.8
2015,Percent,Избыточный вес: Умеренная и сильная степень отклонения от нормы,M6T11,,,,12.5
2015,Percent,Избыточный вес: Умеренная и сильная степень отклонения от нормы,M12T17,,,,15.1
2015,Percent,Избыточный вес: Умеренная и сильная степень отклонения от нормы,M18T23,,,,10.1
2015,Percent,Избыточный вес: Умеренная и сильная степень отклонения от нормы,M24T35,,,,10.5
2015,Percent,Избыточный вес: Умеренная и сильная степень отклонения от нормы,36-47 months,,,,8.0
2015,Percent,Избыточный вес: Умеренная и сильная степень отклонения от нормы,48-59 months,,,,6.5
