Year,UNIT_MEASURE,Regions,Sex,Area,Age,Value
2013,Percent,Kostanay,,rural,,32.3
2013,Percent,Kyzylorda,,rural,,16.2
2013,Percent,Mangistau,,rural,,2.9
2013,Percent,Ontustik Kazakhstan,,rural,,18.6
2013,Percent,Pavlodar,,rural,,36.3
2013,Percent,Soltustik Kazakhstan,,rural,,36.0
2013,Percent,Shygys Kazakhstan,,rural,,27.8
2013,Percent,,,,Y15,97.8
2013,Percent,,,,16-24,16.1
2013,Percent,,,,25-28,10.0
2013,Percent,,,,29-34,11.1
2013,Percent,,,,35-44,9.9
2013,Percent,,,,45-54,10.6
2013,Percent,,,,55-64,15.2
2013,Percent,,,,65 and older,47.5
2013,Percent,Akmola,,,16-24,12.9
2013,Percent,Akmola,,,25-28,5.9
2013,Percent,Akmola,,,29-34,6.4
2013,Percent,Akmola,,,35-44,8.8
2013,Percent,Akmola,,,45-54,12.1
2013,Percent,Akmola,,,55-64,9.8
2013,Percent,Akmola,,,65 and older,25.5
2013,Percent,Aktobe,,,16-24,20.8
2013,Percent,Aktobe,,,25-28,15.4
2013,Percent,Aktobe,,,29-34,19.8
2013,Percent,Aktobe,,,35-44,8.4
2013,Percent,Aktobe,,,45-54,8.5
2013,Percent,Aktobe,,,55-64,16.5
2013,Percent,Aktobe,,,65 and older,22.0
2013,Percent,Almaty,,,16-24,19.3
2013,Percent,Almaty,,,25-28,10.9
2013,Percent,Almaty,,,29-34,13.7
2013,Percent,Almaty,,,35-44,14.1
2013,Percent,Almaty,,,45-54,14.5
2013,Percent,Almaty,,,55-64,14.3
2013,Percent,Almaty,,,65 and older,10.8
2013,Percent,Atyrau,,,16-24,2.0
2013,Percent,Atyrau,,,25-28,0.2
2013,Percent,Atyrau,,,29-34,1.7
2013,Percent,Atyrau,,,35-44,1.4
2013,Percent,Atyrau,,,45-54,2.2
2013,Percent,Atyrau,,,55-64,2.9
2013,Percent,Batys Kazakhstan,,,16-24,12.4
2013,Percent,Batys Kazakhstan,,,25-28,9.1
2013,Percent,Batys Kazakhstan,,,29-34,10.3
2013,Percent,Batys Kazakhstan,,,35-44,10.5
2013,Percent,Batys Kazakhstan,,,45-54,10.4
2013,Percent,Batys Kazakhstan,,,55-64,11.0
2013,Percent,Zhambyl,,,Y15,100.0
2013,Percent,Zhambyl,,,16-24,24.1
2013,Percent,Zhambyl,,,25-28,15.7
2013,Percent,Zhambyl,,,29-34,18.3
2013,Percent,Zhambyl,,,35-44,16.7
2013,Percent,Zhambyl,,,45-54,21.4
2013,Percent,Zhambyl,,,55-64,27.5
2013,Percent,Zhambyl,,,65 and older,40.0
2013,Percent,Karagandy,,,16-24,13.1
2013,Percent,Karagandy,,,25-28,8.1
2013,Percent,Karagandy,,,29-34,6.6
2013,Percent,Karagandy,,,35-44,6.3
2013,Percent,Karagandy,,,45-54,5.0
2013,Percent,Karagandy,,,55-64,9.8
2013,Percent,Karagandy,,,65 and older,55.2
2013,Percent,Kostanay,,,Y15,100.0
2013,Percent,Kostanay,,,16-24,32.5
2013,Percent,Kostanay,,,25-28,21.8
2013,Percent,Kostanay,,,29-34,14.6
2013,Percent,Kostanay,,,35-44,14.3
2013,Percent,Kostanay,,,45-54,17.2
2013,Percent,Kostanay,,,55-64,27.5
2013,Percent,Kostanay,,,65 and older,36.3
2013,Percent,Kyzylorda,,,16-24,24.6
2013,Percent,Kyzylorda,,,25-28,7.9
2013,Percent,Kyzylorda,,,29-34,14.4
2013,Percent,Kyzylorda,,,35-44,9.6
2013,Percent,Kyzylorda,,,45-54,10.8
2013,Percent,Kyzylorda,,,55-64,8.6
2013,Percent,Mangistau,,,16-24,5.1
2013,Percent,Mangistau,,,25-28,3.7
2013,Percent,Mangistau,,,29-34,4.5
2013,Percent,Mangistau,,,35-44,2.3
2013,Percent,Mangistau,,,45-54,3.5
2013,Percent,Mangistau,,,55-64,2.3
2013,Percent,Ontustik Kazakhstan,,,Y15,89.8
2013,Percent,Ontustik Kazakhstan,,,16-24,17.2
2013,Percent,Ontustik Kazakhstan,,,25-28,15.2
2013,Percent,Ontustik Kazakhstan,,,29-34,14.4
2013,Percent,Ontustik Kazakhstan,,,35-44,13.8
2013,Percent,Ontustik Kazakhstan,,,45-54,12.5
2013,Percent,Ontustik Kazakhstan,,,55-64,11.9
2013,Percent,Pavlodar,,,Y15,100.0
2013,Percent,Pavlodar,,,16-24,23.0
2013,Percent,Pavlodar,,,25-28,10.4
2013,Percent,Pavlodar,,,29-34,13.0
2013,Percent,Pavlodar,,,35-44,9.9
2013,Percent,Pavlodar,,,45-54,10.0
2013,Percent,Pavlodar,,,55-64,23.9
2013,Percent,Pavlodar,,,65 and older,88.3
2013,Percent,Soltustik Kazakhstan,,,Y15,100.0
2013,Percent,Soltustik Kazakhstan,,,16-24,32.4
2013,Percent,Soltustik Kazakhstan,,,25-28,16.2
2013,Percent,Soltustik Kazakhstan,,,29-34,17.4
2013,Percent,Soltustik Kazakhstan,,,35-44,21.7
2013,Percent,Soltustik Kazakhstan,,,45-54,17.0
2013,Percent,Soltustik Kazakhstan,,,55-64,37.3
2013,Percent,Soltustik Kazakhstan,,,65 and older,85.5
2013,Percent,Shygys Kazakhstan,,,16-24,16.8
2013,Percent,Shygys Kazakhstan,,,25-28,11.6
2013,Percent,Shygys Kazakhstan,,,29-34,13.5
2013,Percent,Shygys Kazakhstan,,,35-44,12.1
2013,Percent,Shygys Kazakhstan,,,45-54,11.3
2013,Percent,Shygys Kazakhstan,,,55-64,12.1
2013,Percent,Shygys Kazakhstan,,,65 and older,14.6
2013,Percent,Nur-Sultan city,,,35-44,0.7
2013,Percent,Almaty city,,,16-24,2.4
2013,Percent,Almaty city,,,25-28,1.8
2013,Percent,Almaty city,,,29-34,1.2
2013,Percent,Almaty city,,,35-44,0.6
2013,Percent,Almaty city,,,45-54,0.8
2013,Percent,Almaty city,,,55-64,1.1
2014,Percent,,,,,8.3
2014,Percent,Akmola,,,,8.3
2014,Percent,Aktobe,,,,7.0
2014,Percent,Almaty,,,,11.5
2014,Percent,Atyrau,,,,1.8
2014,Percent,Batys Kazakhstan,,,,7.4
2014,Percent,Zhambyl,,,,22.4
2014,Percent,Karagandy,,,,6.4
2014,Percent,Kostanay,,,,11.0
2014,Percent,Kyzylorda,,,,10.0
2014,Percent,Mangistau,,,,2.4
2014,Percent,Ontustik Kazakhstan,,,,8.6
2014,Percent,Pavlodar,,,,6.5
2014,Percent,Soltustik Kazakhstan,,,,8.1
2014,Percent,Shygys Kazakhstan,,,,11.6
2014,Percent,Nur-Sultan city,,,,0.3
2014,Percent,Almaty city,,,,1.2
2014,Percent,,Male,,,8.0
2014,Percent,Akmola,Male,,,6.9
2014,Percent,Aktobe,Male,,,6.9
2014,Percent,Almaty,Male,,,10.7
2014,Percent,Atyrau,Male,,,1.8
2014,Percent,Batys Kazakhstan,Male,,,8.4
2014,Percent,Zhambyl,Male,,,20.6
2014,Percent,Karagandy,Male,,,6.3
2014,Percent,Kostanay,Male,,,10.1
2014,Percent,Kyzylorda,Male,,,10.9
2014,Percent,Mangistau,Male,,,2.0
2014,Percent,Ontustik Kazakhstan,Male,,,8.8
2014,Percent,Pavlodar,Male,,,5.7
2014,Percent,Soltustik Kazakhstan,Male,,,7.0
2014,Percent,Shygys Kazakhstan,Male,,,11.2
2014,Percent,Nur-Sultan city,Male,,,0.3
2014,Percent,Almaty city,Male,,,1.5
2014,Percent,,Female,,,8.7
2014,Percent,Akmola,Female,,,9.8
2014,Percent,Aktobe,Female,,,7.0
2014,Percent,Almaty,Female,,,12.5
2014,Percent,Atyrau,Female,,,1.9
2014,Percent,Batys Kazakhstan,Female,,,6.3
2014,Percent,Zhambyl,Female,,,24.3
2014,Percent,Karagandy,Female,,,6.4
2014,Percent,Kostanay,Female,,,11.9
2014,Percent,Kyzylorda,Female,,,9.0
2014,Percent,Mangistau,Female,,,2.9
2014,Percent,Ontustik Kazakhstan,Female,,,8.4
2014,Percent,Pavlodar,Female,,,7.4
2014,Percent,Soltustik Kazakhstan,Female,,,9.3
2014,Percent,Shygys Kazakhstan,Female,,,11.9
2014,Percent,Nur-Sultan city,Female,,,0.2
2014,Percent,Almaty city,Female,,,1.0
2014,Percent,,,urban,,4.8
2014,Percent,Akmola,,urban,,4.0
2014,Percent,Aktobe,,urban,,3.0
2014,Percent,Almaty,,urban,,8.0
2014,Percent,Atyrau,,urban,,0.3
2014,Percent,Batys Kazakhstan,,urban,,2.8
2014,Percent,Zhambyl,,urban,,27.8
2014,Percent,Karagandy,,urban,,3.9
2014,Percent,Kostanay,,urban,,7.8
2014,Percent,Kyzylorda,,urban,,4.9
2014,Percent,Mangistau,,urban,,2.5
2014,Percent,Ontustik Kazakhstan,,urban,,8.3
2014,Percent,Pavlodar,,urban,,2.0
2014,Percent,Soltustik Kazakhstan,,urban,,5.7
2014,Percent,Shygys Kazakhstan,,urban,,2.8
2014,Percent,Nur-Sultan city,,urban,,0.3
2014,Percent,Almaty city,,urban,,1.2
2014,Percent,,,rural,,12.7
2014,Percent,Akmola,,rural,,12.2
2014,Percent,Aktobe,,rural,,13.4
2014,Percent,Almaty,,rural,,12.6
2014,Percent,Atyrau,,rural,,3.4
2014,Percent,Batys Kazakhstan,,rural,,11.3
2014,Percent,Zhambyl,,rural,,18.0
2014,Percent,Karagandy,,rural,,15.4
2014,Percent,Kostanay,,rural,,14.3
2014,Percent,Kyzylorda,,rural,,13.4
2014,Percent,Mangistau,,rural,,2.3
2014,Percent,Ontustik Kazakhstan,,rural,,8.9
2014,Percent,Pavlodar,,rural,,15.6
2014,Percent,Soltustik Kazakhstan,,rural,,9.8
2014,Percent,Shygys Kazakhstan,,rural,,24.4
2014,Percent,,,,Y15,46.0
2014,Percent,,,,16-24,10.2
2014,Percent,,,,25-28,7.3
2014,Percent,,,,29-34,7.6
2014,Percent,,,,35-44,6.7
2014,Percent,,,,45-54,7.7
2014,Percent,,,,55-64,11.7
2014,Percent,,,,65 and older,42.6
2014,Percent,Akmola,,,Y15,89.4
2014,Percent,Akmola,,,16-24,9.5
2014,Percent,Akmola,,,25-28,7.7
2014,Percent,Akmola,,,29-34,6.3
2014,Percent,Akmola,,,35-44,6.9
2014,Percent,Akmola,,,45-54,8.1
2014,Percent,Akmola,,,55-64,10.0
2014,Percent,Akmola,,,65 and older,48.1
2014,Percent,Aktobe,,,16-24,9.6
2014,Percent,Aktobe,,,25-28,6.8
2014,Percent,Aktobe,,,29-34,5.5
2014,Percent,Aktobe,,,35-44,5.8
2014,Percent,Aktobe,,,45-54,7.3
2014,Percent,Aktobe,,,55-64,9.6
2014,Percent,Aktobe,,,65 and older,32.0
2014,Percent,Almaty,,,Y15,16.7
2014,Percent,Almaty,,,16-24,11.6
2014,Percent,Almaty,,,25-28,9.1
2014,Percent,Almaty,,,29-34,11.9
2014,Percent,Almaty,,,35-44,10.9
2014,Percent,Almaty,,,45-54,11.2
2014,Percent,Almaty,,,55-64,14.4
2014,Percent,Almaty,,,65 and older,47.4
2014,Percent,Atyrau,,,16-24,2.1
2014,Percent,Atyrau,,,25-28,1.6
2014,Percent,Atyrau,,,29-34,1.5
2014,Percent,Atyrau,,,35-44,1.5
2014,Percent,Atyrau,,,45-54,2.7
2014,Percent,Atyrau,,,55-64,1.8
2014,Percent,Atyrau,,,65 and older,2.8
2014,Percent,Batys Kazakhstan,,,16-24,8.1
2014,Percent,Batys Kazakhstan,,,25-28,5.6
2014,Percent,Batys Kazakhstan,,,29-34,8.5
2014,Percent,Batys Kazakhstan,,,35-44,6.8
2014,Percent,Batys Kazakhstan,,,45-54,7.2
2014,Percent,Batys Kazakhstan,,,55-64,7.6
2014,Percent,Batys Kazakhstan,,,65 and older,17.9
2014,Percent,Zhambyl,,,Y15,41.6
2014,Percent,Zhambyl,,,16-24,30.5
2014,Percent,Zhambyl,,,25-28,22.6
2014,Percent,Zhambyl,,,29-34,18.0
2014,Percent,Zhambyl,,,35-44,17.5
2014,Percent,Zhambyl,,,45-54,17.0
2014,Percent,Zhambyl,,,55-64,35.9
2014,Percent,Zhambyl,,,65 and older,69.7
2014,Percent,Karagandy,,,Y15,62.9
2014,Percent,Karagandy,,,16-24,7.8
2014,Percent,Karagandy,,,25-28,4.4
2014,Percent,Karagandy,,,29-34,4.5
2014,Percent,Karagandy,,,35-44,4.9
2014,Percent,Karagandy,,,45-54,5.8
2014,Percent,Karagandy,,,55-64,10.5
2014,Percent,Karagandy,,,65 and older,42.0
2014,Percent,Kostanay,,,Y15,59.0
2014,Percent,Kostanay,,,16-24,17.5
2014,Percent,Kostanay,,,25-28,11.6
2014,Percent,Kostanay,,,29-34,10.6
2014,Percent,Kostanay,,,35-44,8.2
2014,Percent,Kostanay,,,45-54,8.4
2014,Percent,Kostanay,,,55-64,13.3
2014,Percent,Kostanay,,,65 and older,26.2
2014,Percent,Kyzylorda,,,16-24,15.1
2014,Percent,Kyzylorda,,,25-28,8.0
2014,Percent,Kyzylorda,,,29-34,9.7
2014,Percent,Kyzylorda,,,35-44,9.5
2014,Percent,Kyzylorda,,,45-54,8.6
2014,Percent,Kyzylorda,,,55-64,7.4
2014,Percent,Kyzylorda,,,65 and older,15.6
2014,Percent,Mangistau,,,16-24,3.2
2014,Percent,Mangistau,,,25-28,2.0
2014,Percent,Mangistau,,,29-34,2.0
2014,Percent,Mangistau,,,35-44,2.5
2014,Percent,Mangistau,,,45-54,2.5
2014,Percent,Mangistau,,,55-64,2.3
2014,Percent,Ontustik Kazakhstan,,,16-24,8.6
2014,Percent,Ontustik Kazakhstan,,,25-28,9.1
2014,Percent,Ontustik Kazakhstan,,,29-34,10.9
2014,Percent,Ontustik Kazakhstan,,,35-44,7.4
2014,Percent,Ontustik Kazakhstan,,,45-54,8.3
2014,Percent,Ontustik Kazakhstan,,,55-64,6.7
2014,Percent,Pavlodar,,,Y15,89.6
2014,Percent,Pavlodar,,,16-24,12.1
2014,Percent,Pavlodar,,,25-28,3.6
2014,Percent,Pavlodar,,,29-34,5.2
2014,Percent,Pavlodar,,,35-44,3.4
2014,Percent,Pavlodar,,,45-54,5.3
2014,Percent,Pavlodar,,,55-64,12.7
2014,Percent,Pavlodar,,,65 and older,40.8
2014,Percent,Soltustik Kazakhstan,,,Y15,100.0
2014,Percent,Soltustik Kazakhstan,,,16-24,10.6
2014,Percent,Soltustik Kazakhstan,,,25-28,5.5
2014,Percent,Soltustik Kazakhstan,,,29-34,4.9
2014,Percent,Soltustik Kazakhstan,,,35-44,5.4
2014,Percent,Soltustik Kazakhstan,,,45-54,5.5
2014,Percent,Soltustik Kazakhstan,,,55-64,13.7
2014,Percent,Soltustik Kazakhstan,,,65 and older,49.9
2014,Percent,Shygys Kazakhstan,,,Y15,76.0
2014,Percent,Shygys Kazakhstan,,,16-24,18.7
2014,Percent,Shygys Kazakhstan,,,25-28,9.6
2014,Percent,Shygys Kazakhstan,,,29-34,10.2
2014,Percent,Shygys Kazakhstan,,,35-44,9.6
2014,Percent,Shygys Kazakhstan,,,45-54,12.4
2014,Percent,Shygys Kazakhstan,,,55-64,13.3
2014,Percent,Shygys Kazakhstan,,,65 and older,25.0
2014,Percent,Nur-Sultan city,,,25-28,0.3
2014,Percent,Nur-Sultan city,,,29-34,0.2
2014,Percent,Nur-Sultan city,,,35-44,0.2
2014,Percent,Nur-Sultan city,,,45-54,0.5
2014,Percent,Almaty city,,,16-24,1.0
2014,Percent,Almaty city,,,25-28,1.1
2014,Percent,Almaty city,,,29-34,1.1
2014,Percent,Almaty city,,,35-44,1.1
2014,Percent,Almaty city,,,45-54,1.6
2014,Percent,Almaty city,,,55-64,1.8
2014,Percent,Almaty city,,,65 and older,5.1
2015,Percent,,,,,3.9
2015,Percent,Akmola,,,,4.5
2015,Percent,Aktobe,,,,3.1
2015,Percent,Almaty,,,,6.0
2015,Percent,Atyrau,,,,1.2
2015,Percent,Batys Kazakhstan,,,,4.2
2015,Percent,Zhambyl,,,,12.8
2015,Percent,Karagandy,,,,2.9
2015,Percent,Kostanay,,,,3.5
2015,Percent,Kyzylorda,,,,12.6
2015,Percent,Mangistau,,,,2.1
2015,Percent,Ontustik Kazakhstan,,,,1.9
2015,Percent,Pavlodar,,,,1.7
2015,Percent,Soltustik Kazakhstan,,,,2.3
2015,Percent,Shygys Kazakhstan,,,,5.3
2015,Percent,Nur-Sultan city,,,,0.6
2015,Percent,Almaty city,,,,1.0
2015,Percent,,Male,,,4.4
2015,Percent,Akmola,Male,,,3.6
2015,Percent,Aktobe,Male,,,3.1
2015,Percent,Almaty,Male,,,6.3
2015,Percent,Atyrau,Male,,,1.4
2015,Percent,Batys Kazakhstan,Male,,,5.1
2015,Percent,Zhambyl,Male,,,13.4
2015,Percent,Karagandy,Male,,,3.3
2015,Percent,Kostanay,Male,,,3.2
2015,Percent,Kyzylorda,Male,,,15.5
2015,Percent,Mangistau,Male,,,2.5
2015,Percent,Ontustik Kazakhstan,Male,,,2.4
2015,Percent,Pavlodar,Male,,,1.8
2015,Percent,Soltustik Kazakhstan,Male,,,2.7
2015,Percent,Shygys Kazakhstan,Male,,,6.2
2015,Percent,Nur-Sultan city,Male,,,0.9
2015,Percent,Almaty city,Male,,,1.2
2015,Percent,,Female,,,3.4
2015,Percent,Akmola,Female,,,5.5
2015,Percent,Aktobe,Female,,,3.2
2015,Percent,Almaty,Female,,,5.6
2015,Percent,Atyrau,Female,,,1.0
2015,Percent,Batys Kazakhstan,Female,,,3.3
2015,Percent,Zhambyl,Female,,,12.0
2015,Percent,Karagandy,Female,,,2.4
2015,Percent,Kostanay,Female,,,3.9
2015,Percent,Kyzylorda,Female,,,9.2
2015,Percent,Mangistau,Female,,,1.6
2015,Percent,Ontustik Kazakhstan,Female,,,1.2
2015,Percent,Pavlodar,Female,,,1.6
2015,Percent,Soltustik Kazakhstan,Female,,,1.9
2015,Percent,Shygys Kazakhstan,Female,,,4.3
2015,Percent,Nur-Sultan city,Female,,,0.4
2015,Percent,Almaty city,Female,,,0.8
2015,Percent,,,urban,,2.5
2015,Percent,Akmola,,urban,,1.6
2015,Percent,Aktobe,,urban,,2.4
2015,Percent,Almaty,,urban,,4.0
2015,Percent,Atyrau,,urban,,0.3
2015,Percent,Batys Kazakhstan,,urban,,2.5
2015,Percent,Zhambyl,,urban,,12.1
2015,Percent,Karagandy,,urban,,2.6
2015,Percent,Kostanay,,urban,,5.0
2015,Percent,Kyzylorda,,urban,,5.0
2015,Percent,Mangistau,,urban,,3.3
2015,Percent,Ontustik Kazakhstan,,urban,,1.6
2015,Percent,Pavlodar,,urban,,0.4
2015,Percent,Soltustik Kazakhstan,,urban,,2.6
2015,Percent,Shygys Kazakhstan,,urban,,2.7
2015,Percent,Nur-Sultan city,,urban,,0.6
2015,Percent,Almaty city,,urban,,1.0
2015,Percent,,,rural,,5.6
2015,Percent,Akmola,,rural,,6.9
2015,Percent,Aktobe,,rural,,4.0
2015,Percent,Almaty,,rural,,6.2
2015,Percent,Atyrau,,rural,,2.2
2015,Percent,Batys Kazakhstan,,rural,,5.5
2015,Percent,Zhambyl,,rural,,12.6
2015,Percent,Karagandy,,rural,,3.4
2015,Percent,Kostanay,,rural,,1.8
2015,Percent,Kyzylorda,,rural,,17.6
2015,Percent,Mangistau,,rural,,0.7
2015,Percent,Ontustik Kazakhstan,,rural,,2.0
2015,Percent,Pavlodar,,rural,,4.3
2015,Percent,Soltustik Kazakhstan,,rural,,2.1
2015,Percent,Shygys Kazakhstan,,rural,,8.7
2015,Percent,,,,Y15,43.9
2015,Percent,,,,16-24,5.0
2015,Percent,,,,25-28,3.6
2015,Percent,,,,29-34,3.7
2015,Percent,,,,35-44,3.6
2015,Percent,,,,45-54,3.9
2015,Percent,,,,55-64,3.8
2015,Percent,,,,65 and older,6.3
2015,Percent,Akmola,,,Y15,38.6
2015,Percent,Akmola,,,16-24,5.6
2015,Percent,Akmola,,,25-28,3.7
2015,Percent,Akmola,,,29-34,4.5
2015,Percent,Akmola,,,35-44,4.1
2015,Percent,Akmola,,,45-54,5.3
2015,Percent,Akmola,,,55-64,4.1
2015,Percent,Akmola,,,65 and older,2.0
2015,Percent,Aktobe,,,16-24,4.0
2015,Percent,Aktobe,,,25-28,2.7
2015,Percent,Aktobe,,,29-34,2.7
2015,Percent,Aktobe,,,35-44,3.5
2015,Percent,Aktobe,,,45-54,3.2
2015,Percent,Aktobe,,,55-64,2.3
2015,Percent,Almaty,,,16-24,5.2
2015,Percent,Almaty,,,25-28,4.6
2015,Percent,Almaty,,,29-34,6.1
2015,Percent,Almaty,,,35-44,5.9
2015,Percent,Almaty,,,45-54,7.2
2015,Percent,Almaty,,,55-64,6.2
2015,Percent,Almaty,,,65 and older,5.2
2015,Percent,Atyrau,,,16-24,1.2
2015,Percent,Atyrau,,,25-28,1.2
2015,Percent,Atyrau,,,29-34,1.2
2015,Percent,Atyrau,,,35-44,0.8
2015,Percent,Atyrau,,,45-54,1.6
2015,Percent,Atyrau,,,55-64,1.4
2015,Percent,Batys Kazakhstan,,,16-24,6.5
2015,Percent,Batys Kazakhstan,,,25-28,5.5
2015,Percent,Batys Kazakhstan,,,29-34,4.2
2015,Percent,Batys Kazakhstan,,,35-44,2.9
2015,Percent,Batys Kazakhstan,,,45-54,3.7
2015,Percent,Batys Kazakhstan,,,55-64,4.0
2015,Percent,Zhambyl,,,Y15,58.7
2015,Percent,Zhambyl,,,16-24,20.2
2015,Percent,Zhambyl,,,25-28,12.9
2015,Percent,Zhambyl,,,29-34,11.2
2015,Percent,Zhambyl,,,35-44,10.2
2015,Percent,Zhambyl,,,45-54,9.8
2015,Percent,Zhambyl,,,55-64,13.3
2015,Percent,Zhambyl,,,65 and older,49.8
2015,Percent,Karagandy,,,Y15,95.0
2015,Percent,Karagandy,,,16-24,3.0
2015,Percent,Karagandy,,,25-28,1.6
2015,Percent,Karagandy,,,29-34,3.1
2015,Percent,Karagandy,,,35-44,3.9
2015,Percent,Karagandy,,,45-54,2.7
2015,Percent,Karagandy,,,55-64,1.7
2015,Percent,Karagandy,,,65 and older,0.5
2015,Percent,Kostanay,,,16-24,3.4
2015,Percent,Kostanay,,,25-28,3.8
2015,Percent,Kostanay,,,29-34,3.9
2015,Percent,Kostanay,,,35-44,3.9
2015,Percent,Kostanay,,,45-54,3.2
2015,Percent,Kostanay,,,55-64,3.0
2015,Percent,Kostanay,,,65 and older,0.8
2015,Percent,Kyzylorda,,,16-24,16.2
2015,Percent,Kyzylorda,,,25-28,10.8
2015,Percent,Kyzylorda,,,29-34,10.2
2015,Percent,Kyzylorda,,,35-44,12.2
2015,Percent,Kyzylorda,,,45-54,13.1
2015,Percent,Kyzylorda,,,55-64,13.2
2015,Percent,Mangistau,,,16-24,2.4
2015,Percent,Mangistau,,,25-28,2.1
2015,Percent,Mangistau,,,29-34,1.3
2015,Percent,Mangistau,,,35-44,2.1
2015,Percent,Mangistau,,,45-54,2.8
2015,Percent,Mangistau,,,55-64,1.4
2015,Percent,Mangistau,,,65 and older,7.2
2015,Percent,Ontustik Kazakhstan,,,16-24,2.4
2015,Percent,Ontustik Kazakhstan,,,25-28,2.2
2015,Percent,Ontustik Kazakhstan,,,29-34,2.0
2015,Percent,Ontustik Kazakhstan,,,35-44,1.7
2015,Percent,Ontustik Kazakhstan,,,45-54,1.4
2015,Percent,Ontustik Kazakhstan,,,55-64,1.8
2015,Percent,Pavlodar,,,Y15,56.3
2015,Percent,Pavlodar,,,16-24,3.9
2015,Percent,Pavlodar,,,25-28,0.6
2015,Percent,Pavlodar,,,29-34,1.2
2015,Percent,Pavlodar,,,35-44,1.2
2015,Percent,Pavlodar,,,45-54,2.5
2015,Percent,Pavlodar,,,55-64,1.8
2015,Percent,Pavlodar,,,65 and older,0.2
2015,Percent,Soltustik Kazakhstan,,,Y15,29.5
2015,Percent,Soltustik Kazakhstan,,,16-24,4.6
2015,Percent,Soltustik Kazakhstan,,,25-28,3.5
2015,Percent,Soltustik Kazakhstan,,,29-34,2.6
2015,Percent,Soltustik Kazakhstan,,,35-44,2.0
2015,Percent,Soltustik Kazakhstan,,,45-54,1.8
2015,Percent,Soltustik Kazakhstan,,,55-64,1.6
2015,Percent,Soltustik Kazakhstan,,,65 and older,0.1
