Year,Units,Регионы,Пол,Местность,GeoCode,Value
2018,процент,Западно-Казахстанская,,,KZ07,0.0
2010,процент,Жамбылская,,,KZ17,1.2
2011,процент,Жамбылская,,,KZ17,1.9
2012,процент,Жамбылская,,,KZ17,1.8
2013,процент,Жамбылская,,,KZ17,2.1
2014,процент,Жамбылская,,,KZ17,1.1
2015,процент,Жамбылская,,,KZ17,1.2
2016,процент,Жамбылская,,,KZ17,0.5
2017,процент,Жамбылская,,,KZ17,0.6
2018,процент,Жамбылская,,,KZ17,0.9
2010,процент,Карагандинская,,,KZ12,0.8
2011,процент,Карагандинская,,,KZ12,0.5
2012,процент,Карагандинская,,,KZ12,0.5
2013,процент,Карагандинская,,,KZ12,0.1
2014,процент,Карагандинская,,,KZ12,0.4
2015,процент,Карагандинская,,,KZ12,0.2
2016,процент,Карагандинская,,,KZ12,0.1
2017,процент,Карагандинская,,,KZ12,0.1
2018,процент,Карагандинская,,,KZ12,0.0
2010,процент,Костанайская,,,KZ13,3.3
2011,процент,Костанайская,,,KZ13,2.1
2012,процент,Костанайская,,,KZ13,1.9
2013,процент,Костанайская,,,KZ13,0.6
2014,процент,Костанайская,,,KZ13,0.4
2015,процент,Костанайская,,,KZ13,0.4
2016,процент,Костанайская,,,KZ13,0.3
2017,процент,Костанайская,,,KZ13,0.4
2018,процент,Костанайская,,,KZ13,0.5
2010,процент,Кызылординская,,,KZ14,0.6
2011,процент,Кызылординская,,,KZ14,1.0
2012,процент,Кызылординская,,,KZ14,0.1
2013,процент,Кызылординская,,,KZ14,0.1
2014,процент,Кызылординская,,,KZ14,0.7
2015,процент,Кызылординская,,,KZ14,0.2
2016,процент,Кызылординская,,,KZ14,0.2
2017,процент,Кызылординская,,,KZ14,0.1
2018,процент,Кызылординская,,,KZ14,0.2
2010,процент,Мангистауская,,,KZ09,1.0
2011,процент,Мангистауская,,,KZ09,0.1
2012,процент,Мангистауская,,,KZ09,0.0
2013,процент,Мангистауская,,,KZ09,0.2
2014,процент,Мангистауская,,,KZ09,0.1
2015,процент,Мангистауская,,,KZ09,0.1
2016,процент,Мангистауская,,,KZ09,0.0
2017,процент,Мангистауская,,,KZ09,0.0
2018,процент,Мангистауская,,,KZ09,0.0
2010,процент,Южно-Казахстанская,,,KZ10,1.1
2011,процент,Южно-Казахстанская,,,KZ10,0.9
2012,процент,Южно-Казахстанская,,,KZ10,0.4
2013,процент,Южно-Казахстанская,,,KZ10,0.2
2014,процент,Южно-Казахстанская,,,KZ10,0.2
2015,процент,Южно-Казахстанская,,,KZ10,0.2
2016,процент,Южно-Казахстанская,,,KZ10,0.2
2017,процент,Южно-Казахстанская,,,KZ10,0.1
2010,процент,Павлодарская,,,KZ11,1.3
2011,процент,Павлодарская,,,KZ11,1.0
2012,процент,Павлодарская,,,KZ11,0.4
2013,процент,Павлодарская,,,KZ11,0.5
2014,процент,Павлодарская,,,KZ11,0.6
2015,процент,Павлодарская,,,KZ11,0.3
2016,процент,Павлодарская,,,KZ11,0.1
2017,процент,Павлодарская,,,KZ11,0.1
2018,процент,Павлодарская,,,KZ11,0.1
2010,процент,Северо-Казахстанская,,,KZ16,0.8
2011,процент,Северо-Казахстанская,,,KZ16,0.2
2012,процент,Северо-Казахстанская,,,KZ16,0.3
2013,процент,Северо-Казахстанская,,,KZ16,0.7
2014,процент,Северо-Казахстанская,,,KZ16,0.4
2015,процент,Северо-Казахстанская,,,KZ16,0.2
2016,процент,Северо-Казахстанская,,,KZ16,0.1
2017,процент,Северо-Казахстанская,,,KZ16,0.2
2018,процент,Северо-Казахстанская,,,KZ16,0.0
2018,процент,Туркестанская,,,KZ10,0.1
2010,процент,Восточно-Казахстанская,,,KZ15,0.2
2011,процент,Восточно-Казахстанская,,,KZ15,0.9
2012,процент,Восточно-Казахстанская,,,KZ15,0.1
2013,процент,Восточно-Казахстанская,,,KZ15,0.3
2014,процент,Восточно-Казахстанская,,,KZ15,0.1
2015,процент,Восточно-Казахстанская,,,KZ15,0.2
2016,процент,Восточно-Казахстанская,,,KZ15,0.1
2017,процент,Восточно-Казахстанская,,,KZ15,0.4
2018,процент,Восточно-Казахстанская,,,KZ15,0.3
2010,процент,г_Нур-Султан,,,KZ05,0.1
2011,процент,г_Нур-Султан,,,KZ05,0.1
2012,процент,г_Нур-Султан,,,KZ05,0.3
2013,процент,г_Нур-Султан,,,KZ05,0.0
2014,процент,г_Нур-Султан,,,KZ05,0.0
2015,процент,г_Нур-Султан,,,KZ05,0.2
2016,процент,г_Нур-Султан,,,KZ05,0.1
2017,процент,г_Нур-Султан,,,KZ05,0.0
2018,процент,г_Нур-Султан,,,KZ05,0.0
2010,процент,г_Алматы,,,KZ02,0.0
2011,процент,г_Алматы,,,KZ02,0.0
2012,процент,г_Алматы,,,KZ02,0.0
2013,процент,г_Алматы,,,KZ02,0.0
2014,процент,г_Алматы,,,KZ02,0.2
2015,процент,г_Алматы,,,KZ02,0.1
2016,процент,г_Алматы,,,KZ02,0.2
2017,процент,г_Алматы,,,KZ02,0.0
2018,процент,г_Алматы,,,KZ02,0.0
2018,процент,г_Шымкент,,,KZ18,0.0
2010,процент,,мужчины,,,0.9
2011,процент,,мужчины,,,0.9
2012,процент,,мужчины,,,0.6
2013,процент,,мужчины,,,0.5
2014,процент,,мужчины,,,0.4
2015,процент,,мужчины,,,0.3
2016,процент,,мужчины,,,0.2
2017,процент,,мужчины,,,0.2
2018,процент,,мужчины,,,0.1
2010,процент,Акмолинская,мужчины,,,0.3
2011,процент,Акмолинская,мужчины,,,0.2
2012,процент,Акмолинская,мужчины,,,0.4
2013,процент,Акмолинская,мужчины,,,0.0
2014,процент,Акмолинская,мужчины,,,0.4
2015,процент,Акмолинская,мужчины,,,0.2
2016,процент,Акмолинская,мужчины,,,0.3
2017,процент,Акмолинская,мужчины,,,0.3
2018,процент,Акмолинская,мужчины,,,0.1
2010,процент,Актюбинская,мужчины,,,0.4
2011,процент,Актюбинская,мужчины,,,0.1
2012,процент,Актюбинская,мужчины,,,0.0
2013,процент,Актюбинская,мужчины,,,0.0
2014,процент,Актюбинская,мужчины,,,0.0
2015,процент,Актюбинская,мужчины,,,0.0
2016,процент,Актюбинская,мужчины,,,0.0
2017,процент,Актюбинская,мужчины,,,0.0
2018,процент,Актюбинская,мужчины,,,0.0
2010,процент,Алматинская,мужчины,,,1.5
2011,процент,Алматинская,мужчины,,,1.9
2012,процент,Алматинская,мужчины,,,1.7
2013,процент,Алматинская,мужчины,,,1.5
2014,процент,Алматинская,мужчины,,,0.8
2015,процент,Алматинская,мужчины,,,0.8
2016,процент,Алматинская,мужчины,,,0.4
2017,процент,Алматинская,мужчины,,,0.2
2018,процент,Алматинская,мужчины,,,0.1
2010,процент,Атырауская,мужчины,,,0.2
2011,процент,Атырауская,мужчины,,,0.0
2012,процент,Атырауская,мужчины,,,0.1
2013,процент,Атырауская,мужчины,,,0.0
2014,процент,Атырауская,мужчины,,,0.2
2015,процент,Атырауская,мужчины,,,0.2
2016,процент,Атырауская,мужчины,,,0.1
2017,процент,Атырауская,мужчины,,,0.1
2018,процент,Атырауская,мужчины,,,0.0
2010,процент,Западно-Казахстанская,мужчины,,,1.4
2011,процент,Западно-Казахстанская,мужчины,,,0.7
2012,процент,Западно-Казахстанская,мужчины,,,0.1
2013,процент,Западно-Казахстанская,мужчины,,,0.0
2014,процент,Западно-Казахстанская,мужчины,,,0.1
2015,процент,Западно-Казахстанская,мужчины,,,0.0
2016,процент,Западно-Казахстанская,мужчины,,,0.0
2017,процент,Западно-Казахстанская,мужчины,,,0.0
2018,процент,Западно-Казахстанская,мужчины,,,0.0
2010,процент,Жамбылская,мужчины,,,1.6
2011,процент,Жамбылская,мужчины,,,2.1
2012,процент,Жамбылская,мужчины,,,1.6
2013,процент,Жамбылская,мужчины,,,2.2
2014,процент,Жамбылская,мужчины,,,1.2
2015,процент,Жамбылская,мужчины,,,1.2
2016,процент,Жамбылская,мужчины,,,0.5
2017,процент,Жамбылская,мужчины,,,0.7
2018,процент,Жамбылская,мужчины,,,0.7
2010,процент,Карагандинская,мужчины,,,0.6
2011,процент,Карагандинская,мужчины,,,0.4
2012,процент,Карагандинская,мужчины,,,0.4
2013,процент,Карагандинская,мужчины,,,0.2
2014,процент,Карагандинская,мужчины,,,0.5
2015,процент,Карагандинская,мужчины,,,0.1
2016,процент,Карагандинская,мужчины,,,0.1
2017,процент,Карагандинская,мужчины,,,0.1
2018,процент,Карагандинская,мужчины,,,0.0
2010,процент,Костанайская,мужчины,,,2.6
2011,процент,Костанайская,мужчины,,,1.6
2012,процент,Костанайская,мужчины,,,1.8
2013,процент,Костанайская,мужчины,,,0.6
2014,процент,Костанайская,мужчины,,,0.5
2015,процент,Костанайская,мужчины,,,0.4
2016,процент,Костанайская,мужчины,,,0.4
2017,процент,Костанайская,мужчины,,,0.4
2018,процент,Костанайская,мужчины,,,0.5
2010,процент,Кызылординская,мужчины,,,0.7
2011,процент,Кызылординская,мужчины,,,1.1
2012,процент,Кызылординская,мужчины,,,0.2
2013,процент,Кызылординская,мужчины,,,0.3
2014,процент,Кызылординская,мужчины,,,0.6
2015,процент,Кызылординская,мужчины,,,0.2
2016,процент,Кызылординская,мужчины,,,0.2
2017,процент,Кызылординская,мужчины,,,0.1
2018,процент,Кызылординская,мужчины,,,0.2
2010,процент,Мангистауская,мужчины,,,0.9
2011,процент,Мангистауская,мужчины,,,0.1
2012,процент,Мангистауская,мужчины,,,0.0
2013,процент,Мангистауская,мужчины,,,0.2
2014,процент,Мангистауская,мужчины,,,0.1
2015,процент,Мангистауская,мужчины,,,0.0
2016,процент,Мангистауская,мужчины,,,0.0
2017,процент,Мангистауская,мужчины,,,0.0
2018,процент,Мангистауская,мужчины,,,0.0
2010,процент,Южно-Казахстанская,мужчины,,,1.1
2011,процент,Южно-Казахстанская,мужчины,,,0.8
2012,процент,Южно-Казахстанская,мужчины,,,0.4
2013,процент,Южно-Казахстанская,мужчины,,,0.2
2014,процент,Южно-Казахстанская,мужчины,,,0.2
2015,процент,Южно-Казахстанская,мужчины,,,0.2
2016,процент,Южно-Казахстанская,мужчины,,,0.2
2017,процент,Южно-Казахстанская,мужчины,,,0.1
2010,процент,Павлодарская,мужчины,,,1.9
2011,процент,Павлодарская,мужчины,,,1.3
2012,процент,Павлодарская,мужчины,,,0.5
2013,процент,Павлодарская,мужчины,,,0.4
2014,процент,Павлодарская,мужчины,,,0.6
2015,процент,Павлодарская,мужчины,,,0.4
2016,процент,Павлодарская,мужчины,,,0.1
2017,процент,Павлодарская,мужчины,,,0.2
2018,процент,Павлодарская,мужчины,,,0.1
2010,процент,Северо-Казахстанская,мужчины,,,0.7
2011,процент,Северо-Казахстанская,мужчины,,,0.2
2012,процент,Северо-Казахстанская,мужчины,,,0.1
2013,процент,Северо-Казахстанская,мужчины,,,0.6
2014,процент,Северо-Казахстанская,мужчины,,,0.5
2015,процент,Северо-Казахстанская,мужчины,,,0.2
2016,процент,Северо-Казахстанская,мужчины,,,0.1
2017,процент,Северо-Казахстанская,мужчины,,,0.2
2018,процент,Северо-Казахстанская,мужчины,,,0.0
2018,процент,Туркестанская,мужчины,,,0.1
2010,процент,Восточно-Казахстанская,мужчины,,,0.1
2011,процент,Восточно-Казахстанская,мужчины,,,1.2
2012,процент,Восточно-Казахстанская,мужчины,,,0.2
2013,процент,Восточно-Казахстанская,мужчины,,,0.2
2014,процент,Восточно-Казахстанская,мужчины,,,0.2
2015,процент,Восточно-Казахстанская,мужчины,,,0.3
2016,процент,Восточно-Казахстанская,мужчины,,,0.1
2017,процент,Восточно-Казахстанская,мужчины,,,0.4
2018,процент,Восточно-Казахстанская,мужчины,,,0.5
2010,процент,г_Нур-Султан,мужчины,,,0.0
2011,процент,г_Нур-Султан,мужчины,,,0.0
2012,процент,г_Нур-Султан,мужчины,,,0.6
2013,процент,г_Нур-Султан,мужчины,,,0.0
2014,процент,г_Нур-Султан,мужчины,,,0.0
2015,процент,г_Нур-Султан,мужчины,,,0.2
2016,процент,г_Нур-Султан,мужчины,,,0.1
2017,процент,г_Нур-Султан,мужчины,,,0.0
2018,процент,г_Нур-Султан,мужчины,,,0.0
2010,процент,г_Алматы,мужчины,,,0.0
2011,процент,г_Алматы,мужчины,,,0.0
2012,процент,г_Алматы,мужчины,,,0.0
2013,процент,г_Алматы,мужчины,,,0.0
2014,процент,г_Алматы,мужчины,,,0.1
2015,процент,г_Алматы,мужчины,,,0.1
2016,процент,г_Алматы,мужчины,,,0.1
2017,процент,г_Алматы,мужчины,,,0.0
2018,процент,г_Алматы,мужчины,,,0.0
2018,процент,г_Шымкент,мужчины,,,0.0
2010,процент,,женщины,,,0.8
2011,процент,,женщины,,,0.8
2012,процент,,женщины,,,0.6
2013,процент,,женщины,,,0.4
2014,процент,,женщины,,,0.3
2015,процент,,женщины,,,0.3
2016,процент,,женщины,,,0.2
2017,процент,,женщины,,,0.1
2018,процент,,женщины,,,0.1
2010,процент,Акмолинская,женщины,,,0.1
2011,процент,Акмолинская,женщины,,,0.1
2012,процент,Акмолинская,женщины,,,0.4
2013,процент,Акмолинская,женщины,,,0.3
2014,процент,Акмолинская,женщины,,,0.2
2015,процент,Акмолинская,женщины,,,0.1
2016,процент,Акмолинская,женщины,,,0.1
2017,процент,Акмолинская,женщины,,,0.3
2018,процент,Акмолинская,женщины,,,0.1
2010,процент,Актюбинская,женщины,,,0.7
2011,процент,Актюбинская,женщины,,,0.0
2012,процент,Актюбинская,женщины,,,0.1
2013,процент,Актюбинская,женщины,,,0.0
2014,процент,Актюбинская,женщины,,,0.0
2015,процент,Актюбинская,женщины,,,0.1
2016,процент,Актюбинская,женщины,,,0.0
2017,процент,Актюбинская,женщины,,,0.0
2018,процент,Актюбинская,женщины,,,0.0
2010,процент,Алматинская,женщины,,,0.6
2011,процент,Алматинская,женщины,,,1.6
2012,процент,Алматинская,женщины,,,1.5
2013,процент,Алматинская,женщины,,,1.0
2014,процент,Алматинская,женщины,,,0.7
2015,процент,Алматинская,женщины,,,0.6
2016,процент,Алматинская,женщины,,,0.4
2017,процент,Алматинская,женщины,,,0.2
2018,процент,Алматинская,женщины,,,0.1
2010,процент,Атырауская,женщины,,,0.2
2011,процент,Атырауская,женщины,,,0.0
2012,процент,Атырауская,женщины,,,0.1
2013,процент,Атырауская,женщины,,,0.1
2014,процент,Атырауская,женщины,,,0.2
2015,процент,Атырауская,женщины,,,0.1
2016,процент,Атырауская,женщины,,,0.3
2017,процент,Атырауская,женщины,,,0.0
2018,процент,Атырауская,женщины,,,0.0
2010,процент,Западно-Казахстанская,женщины,,,1.0
2011,процент,Западно-Казахстанская,женщины,,,0.4
2012,процент,Западно-Казахстанская,женщины,,,0.0
2013,процент,Западно-Казахстанская,женщины,,,0.0
2014,процент,Западно-Казахстанская,женщины,,,0.1
2015,процент,Западно-Казахстанская,женщины,,,0.0
2016,процент,Западно-Казахстанская,женщины,,,0.0
2017,процент,Западно-Казахстанская,женщины,,,0.0
2018,процент,Западно-Казахстанская,женщины,,,0.0
2010,процент,Жамбылская,женщины,,,0.9
2011,процент,Жамбылская,женщины,,,1.6
2012,процент,Жамбылская,женщины,,,1.9
2013,процент,Жамбылская,женщины,,,2.1
2014,процент,Жамбылская,женщины,,,0.9
2015,процент,Жамбылская,женщины,,,1.2
2016,процент,Жамбылская,женщины,,,0.5
2017,процент,Жамбылская,женщины,,,0.5
2018,процент,Жамбылская,женщины,,,1.1
2010,процент,Карагандинская,женщины,,,1.0
2011,процент,Карагандинская,женщины,,,0.7
2012,процент,Карагандинская,женщины,,,0.6
2013,процент,Карагандинская,женщины,,,0.1
2014,процент,Карагандинская,женщины,,,0.4
2015,процент,Карагандинская,женщины,,,0.2
2016,процент,Карагандинская,женщины,,,0.1
2017,процент,Карагандинская,женщины,,,0.1
2018,процент,Карагандинская,женщины,,,0.0
2010,процент,Костанайская,женщины,,,3.9
2011,процент,Костанайская,женщины,,,2.7
2012,процент,Костанайская,женщины,,,1.9
2013,процент,Костанайская,женщины,,,0.6
2014,процент,Костанайская,женщины,,,0.3
2015,процент,Костанайская,женщины,,,0.4
2016,процент,Костанайская,женщины,,,0.3
2017,процент,Костанайская,женщины,,,0.4
2018,процент,Костанайская,женщины,,,0.5
2010,процент,Кызылординская,женщины,,,0.5
2011,процент,Кызылординская,женщины,,,0.8
2012,процент,Кызылординская,женщины,,,0.1
2013,процент,Кызылординская,женщины,,,0.0
2014,процент,Кызылординская,женщины,,,0.7
2015,процент,Кызылординская,женщины,,,0.2
2016,процент,Кызылординская,женщины,,,0.2
2017,процент,Кызылординская,женщины,,,0.0
2018,процент,Кызылординская,женщины,,,0.2
2010,процент,Мангистауская,женщины,,,1.1
2011,процент,Мангистауская,женщины,,,0.1
2012,процент,Мангистауская,женщины,,,0.0
2013,процент,Мангистауская,женщины,,,0.2
2014,процент,Мангистауская,женщины,,,0.0
2015,процент,Мангистауская,женщины,,,0.2
2016,процент,Мангистауская,женщины,,,0.0
2017,процент,Мангистауская,женщины,,,0.0
2018,процент,Мангистауская,женщины,,,0.0
2010,процент,Южно-Казахстанская,женщины,,,1.0
2011,процент,Южно-Казахстанская,женщины,,,1.0
2012,процент,Южно-Казахстанская,женщины,,,0.4
2013,процент,Южно-Казахстанская,женщины,,,0.2
2014,процент,Южно-Казахстанская,женщины,,,0.2
2015,процент,Южно-Казахстанская,женщины,,,0.1
2016,процент,Южно-Казахстанская,женщины,,,0.2
2017,процент,Южно-Казахстанская,женщины,,,0.0
2010,процент,Павлодарская,женщины,,,0.7
2011,процент,Павлодарская,женщины,,,0.6
2012,процент,Павлодарская,женщины,,,0.3
2013,процент,Павлодарская,женщины,,,0.6
2014,процент,Павлодарская,женщины,,,0.5
2015,процент,Павлодарская,женщины,,,0.2
2016,процент,Павлодарская,женщины,,,0.1
2017,процент,Павлодарская,женщины,,,0.1
2018,процент,Павлодарская,женщины,,,0.1
2010,процент,Северо-Казахстанская,женщины,,,0.8
2011,процент,Северо-Казахстанская,женщины,,,0.2
2012,процент,Северо-Казахстанская,женщины,,,0.4
2013,процент,Северо-Казахстанская,женщины,,,0.9
2014,процент,Северо-Казахстанская,женщины,,,0.3
2015,процент,Северо-Казахстанская,женщины,,,0.3
2016,процент,Северо-Казахстанская,женщины,,,0.1
2017,процент,Северо-Казахстанская,женщины,,,0.1
2018,процент,Северо-Казахстанская,женщины,,,0.1
2018,процент,Туркестанская,женщины,,,0.1
2010,процент,Восточно-Казахстанская,женщины,,,0.2
2011,процент,Восточно-Казахстанская,женщины,,,0.6
2012,процент,Восточно-Казахстанская,женщины,,,0.1
2013,процент,Восточно-Казахстанская,женщины,,,0.4
2014,процент,Восточно-Казахстанская,женщины,,,0.1
2015,процент,Восточно-Казахстанская,женщины,,,0.1
2016,процент,Восточно-Казахстанская,женщины,,,0.1
2017,процент,Восточно-Казахстанская,женщины,,,0.3
2018,процент,Восточно-Казахстанская,женщины,,,0.2
2010,процент,г_Нур-Султан,женщины,,,0.2
2011,процент,г_Нур-Султан,женщины,,,0.1
2012,процент,г_Нур-Султан,женщины,,,0.0
2013,процент,г_Нур-Султан,женщины,,,0.0
2014,процент,г_Нур-Султан,женщины,,,0.0
2015,процент,г_Нур-Султан,женщины,,,0.2
2016,процент,г_Нур-Султан,женщины,,,0.0
2017,процент,г_Нур-Султан,женщины,,,0.0
2018,процент,г_Нур-Султан,женщины,,,0.0
2010,процент,г_Алматы,женщины,,,0.1
2011,процент,г_Алматы,женщины,,,0.0
2012,процент,г_Алматы,женщины,,,0.0
2013,процент,г_Алматы,женщины,,,0.0
2014,процент,г_Алматы,женщины,,,0.2
2015,процент,г_Алматы,женщины,,,0.1
2016,процент,г_Алматы,женщины,,,0.3
2017,процент,г_Алматы,женщины,,,0.0
2018,процент,г_Алматы,женщины,,,0.0
2018,процент,г_Шымкент,женщины,,,0.0
2010,процент,,,город,,0.3
2011,процент,,,город,,0.2
2012,процент,,,город,,0.2
2013,процент,,,город,,0.2
2014,процент,,,город,,0.2
2015,процент,,,город,,0.1
2016,процент,,,город,,0.1
2017,процент,,,город,,0.1
2018,процент,,,город,,0.0
2010,процент,Акмолинская,,город,,0.0
2011,процент,Акмолинская,,город,,0.1
2012,процент,Акмолинская,,город,,0.3
2013,процент,Акмолинская,,город,,0.0
2014,процент,Акмолинская,,город,,0.1
2015,процент,Акмолинская,,город,,0.1
2016,процент,Акмолинская,,город,,0.0
2017,процент,Акмолинская,,город,,0.1
2018,процент,Акмолинская,,город,,0.0
2010,процент,Актюбинская,,город,,0.1
2011,процент,Актюбинская,,город,,0.0
2012,процент,Актюбинская,,город,,0.0
2013,процент,Актюбинская,,город,,0.0
2014,процент,Актюбинская,,город,,0.0
2015,процент,Актюбинская,,город,,0.1
2016,процент,Актюбинская,,город,,0.0
2017,процент,Актюбинская,,город,,0.0
2018,процент,Актюбинская,,город,,0.0
2010,процент,Алматинская,,город,,0.1
2011,процент,Алматинская,,город,,0.1
2012,процент,Алматинская,,город,,1.2
2013,процент,Алматинская,,город,,1.9
2014,процент,Алматинская,,город,,0.5
2015,процент,Алматинская,,город,,0.1
2016,процент,Алматинская,,город,,0.1
2017,процент,Алматинская,,город,,0.1
2018,процент,Алматинская,,город,,0.0
2010,процент,Атырауская,,город,,0.0
2011,процент,Атырауская,,город,,0.0
2012,процент,Атырауская,,город,,0.0
2013,процент,Атырауская,,город,0.0,
2014,процент,Атырауская,,город,,0.1
2015,процент,Атырауская,,город,,0.2
2016,процент,Атырауская,,город,,0.1
2017,процент,Атырауская,,город,,0.1
2018,процент,Атырауская,,город,,0.0
2010,процент,Западно-Казахстанская,,город,,0.0
2011,процент,Западно-Казахстанская,,город,,0.1
2012,процент,Западно-Казахстанская,,город,,0.0
2013,процент,Западно-Казахстанская,,город,,0.0
2014,процент,Западно-Казахстанская,,город,,0.0
2015,процент,Западно-Казахстанская,,город,,0.0
2016,процент,Западно-Казахстанская,,город,,0.0
2017,процент,Западно-Казахстанская,,город,,0.0
2018,процент,Западно-Казахстанская,,город,,0.0
2010,процент,Жамбылская,,город,,0.4
2011,процент,Жамбылская,,город,,1.2
2012,процент,Жамбылская,,город,,0.0
2013,процент,Жамбылская,,город,,1.6
2014,процент,Жамбылская,,город,,0.5
2015,процент,Жамбылская,,город,,1.0
2016,процент,Жамбылская,,город,,0.2
2017,процент,Жамбылская,,город,,0.4
2018,процент,Жамбылская,,город,,0.4
2010,процент,Карагандинская,,город,,0.1
2011,процент,Карагандинская,,город,,0.2
2012,процент,Карагандинская,,город,,0.3
2013,процент,Карагандинская,,город,,0.1
2014,процент,Карагандинская,,город,,0.4
2015,процент,Карагандинская,,город,,0.1
2016,процент,Карагандинская,,город,,0.1
2017,процент,Карагандинская,,город,,0.0
2018,процент,Карагандинская,,город,,0.0
2010,процент,Костанайская,,город,,1.3
2011,процент,Костанайская,,город,,0.2
2012,процент,Костанайская,,город,,0.2
2013,процент,Костанайская,,город,,0.0
2014,процент,Костанайская,,город,,0.3
2015,процент,Костанайская,,город,,0.1
2016,процент,Костанайская,,город,,0.0
2017,процент,Костанайская,,город,,0.0
2018,процент,Костанайская,,город,,0.1
2010,процент,Кызылординская,,город,,0.7
2011,процент,Кызылординская,,город,,0.8
2012,процент,Кызылординская,,город,,0.1
2013,процент,Кызылординская,,город,,0.0
2014,процент,Кызылординская,,город,,0.5
2015,процент,Кызылординская,,город,,0.1
2016,процент,Кызылординская,,город,,0.2
2017,процент,Кызылординская,,город,,0.1
2018,процент,Кызылординская,,город,,0.0
2010,процент,Мангистауская,,город,,1.3
2011,процент,Мангистауская,,город,,0.2
2012,процент,Мангистауская,,город,,0.0
2013,процент,Мангистауская,,город,,0.4
2014,процент,Мангистауская,,город,,0.1
2015,процент,Мангистауская,,город,,0.0
2016,процент,Мангистауская,,город,,0.0
2017,процент,Мангистауская,,город,,0.0
2018,процент,Мангистауская,,город,,0.0
2010,процент,Южно-Казахстанская,,город,,1.0
2011,процент,Южно-Казахстанская,,город,,0.4
2012,процент,Южно-Казахстанская,,город,,0.2
2013,процент,Южно-Казахстанская,,город,,0.1
2014,процент,Южно-Казахстанская,,город,,0.0
2015,процент,Южно-Казахстанская,,город,,0.1
2016,процент,Южно-Казахстанская,,город,,0.2
2017,процент,Южно-Казахстанская,,город,,0.0
2010,процент,Павлодарская,,город,,0.0
2011,процент,Павлодарская,,город,,0.0
2012,процент,Павлодарская,,город,,0.1
2013,процент,Павлодарская,,город,,0.0
2014,процент,Павлодарская,,город,,0.0
2015,процент,Павлодарская,,город,,0.0
2016,процент,Павлодарская,,город,,0.0
2017,процент,Павлодарская,,город,,0.0
2018,процент,Павлодарская,,город,,0.0
2010,процент,Северо-Казахстанская,,город,,0.0
2011,процент,Северо-Казахстанская,,город,,0.0
2012,процент,Северо-Казахстанская,,город,,0.2
2013,процент,Северо-Казахстанская,,город,,0.4
2014,процент,Северо-Казахстанская,,город,,0.3
2015,процент,Северо-Казахстанская,,город,,0.2
2016,процент,Северо-Казахстанская,,город,,0.0
2017,процент,Северо-Казахстанская,,город,,0.0
2018,процент,Северо-Казахстанская,,город,,0.0
2018,процент,Туркестанская,,город,,0.1
2010,процент,Восточно-Казахстанская,,город,,0.1
2011,процент,Восточно-Казахстанская,,город,,0.1
2012,процент,Восточно-Казахстанская,,город,,0.0
