Year,Units,Местность,Пол,Регионы,Value
2015,процент,,мужчины,Акмолинская,28.1
2016,процент,,мужчины,Акмолинская,33.1
2017,процент,,мужчины,Акмолинская,29.6
2018,процент,,мужчины,Акмолинская,33.7
2010,процент,,мужчины,Актюбинская,19.9
2011,процент,,мужчины,Актюбинская,31.3
2012,процент,,мужчины,Актюбинская,35.5
2013,процент,,мужчины,Актюбинская,39.0
2014,процент,,мужчины,Актюбинская,23.7
2015,процент,,мужчины,Актюбинская,27.1
2016,процент,,мужчины,Актюбинская,31.5
2017,процент,,мужчины,Актюбинская,32.9
2018,процент,,мужчины,Актюбинская,26.8
2010,процент,,мужчины,Алматинская,22.1
2011,процент,,мужчины,Алматинская,20.3
2012,процент,,мужчины,Алматинская,25.3
2013,процент,,мужчины,Алматинская,25.4
2014,процент,,мужчины,Алматинская,25.0
2015,процент,,мужчины,Алматинская,24.6
2016,процент,,мужчины,Алматинская,24.5
2017,процент,,мужчины,Алматинская,31.9
2018,процент,,мужчины,Алматинская,29.3
2010,процент,,мужчины,Атырауская,20.7
2011,процент,,мужчины,Атырауская,23.4
2012,процент,,мужчины,Атырауская,35.5
2013,процент,,мужчины,Атырауская,32.3
2014,процент,,мужчины,Атырауская,40.0
2015,процент,,мужчины,Атырауская,28.0
2016,процент,,мужчины,Атырауская,39.2
2017,процент,,мужчины,Атырауская,30.5
2018,процент,,мужчины,Атырауская,46.0
2010,процент,,мужчины,Западно-Казахстанская,32.2
2011,процент,,мужчины,Западно-Казахстанская,29.2
2012,процент,,мужчины,Западно-Казахстанская,27.6
2013,процент,,мужчины,Западно-Казахстанская,27.1
2014,процент,,мужчины,Западно-Казахстанская,34.3
2015,процент,,мужчины,Западно-Казахстанская,31.8
2016,процент,,мужчины,Западно-Казахстанская,27.3
2017,процент,,мужчины,Западно-Казахстанская,29.3
2018,процент,,мужчины,Западно-Казахстанская,27.8
2010,процент,,мужчины,Жамбылская,13.4
2011,процент,,мужчины,Жамбылская,16.7
2012,процент,,мужчины,Жамбылская,27.3
2013,процент,,мужчины,Жамбылская,24.3
2014,процент,,мужчины,Жамбылская,26.5
2015,процент,,мужчины,Жамбылская,27.2
2016,процент,,мужчины,Жамбылская,25.2
2017,процент,,мужчины,Жамбылская,30.5
2018,процент,,мужчины,Жамбылская,32.0
2010,процент,,мужчины,Карагандинская,27.4
2011,процент,,мужчины,Карагандинская,32.0
2012,процент,,мужчины,Карагандинская,34.1
2013,процент,,мужчины,Карагандинская,33.5
2014,процент,,мужчины,Карагандинская,35.2
2015,процент,,мужчины,Карагандинская,32.9
2016,процент,,мужчины,Карагандинская,37.7
2017,процент,,мужчины,Карагандинская,35.3
2018,процент,,мужчины,Карагандинская,35.3
2010,процент,,мужчины,Костанайская,23.1
2011,процент,,мужчины,Костанайская,20.0
2012,процент,,мужчины,Костанайская,25.2
2013,процент,,мужчины,Костанайская,22.0
2014,процент,,мужчины,Костанайская,34.3
2015,процент,,мужчины,Костанайская,27.6
2016,процент,,мужчины,Костанайская,28.8
2017,процент,,мужчины,Костанайская,31.5
2018,процент,,мужчины,Костанайская,26.8
2010,процент,,мужчины,Кызылординская,26.1
2011,процент,,мужчины,Кызылординская,30.7
2012,процент,,мужчины,Кызылординская,32.1
2013,процент,,мужчины,Кызылординская,27.7
2014,процент,,мужчины,Кызылординская,30.4
2015,процент,,мужчины,Кызылординская,33.0
2016,процент,,мужчины,Кызылординская,35.6
2017,процент,,мужчины,Кызылординская,35.1
2018,процент,,мужчины,Кызылординская,33.1
2010,процент,,мужчины,Мангистауская,20.3
2011,процент,,мужчины,Мангистауская,27.3
2012,процент,,мужчины,Мангистауская,38.1
2013,процент,,мужчины,Мангистауская,33.8
2014,процент,,мужчины,Мангистауская,37.4
2015,процент,,мужчины,Мангистауская,26.4
2016,процент,,мужчины,Мангистауская,30.2
2017,процент,,мужчины,Мангистауская,27.4
2018,процент,,мужчины,Мангистауская,29.8
2010,процент,,мужчины,Южно-Казахстанская,19.4
2011,процент,,мужчины,Южно-Казахстанская,22.3
2012,процент,,мужчины,Южно-Казахстанская,25.2
2013,процент,,мужчины,Южно-Казахстанская,26.6
2014,процент,,мужчины,Южно-Казахстанская,37.1
2015,процент,,мужчины,Южно-Казахстанская,34.6
2016,процент,,мужчины,Южно-Казахстанская,40.4
2017,процент,,мужчины,Южно-Казахстанская,43.0
2010,процент,,мужчины,Павлодарская,22.7
2011,процент,,мужчины,Павлодарская,21.9
2012,процент,,мужчины,Павлодарская,24.9
2013,процент,,мужчины,Павлодарская,21.7
2014,процент,,мужчины,Павлодарская,32.1
2015,процент,,мужчины,Павлодарская,27.3
2016,процент,,мужчины,Павлодарская,30.2
2017,процент,,мужчины,Павлодарская,32.1
2018,процент,,мужчины,Павлодарская,30.5
2010,процент,,мужчины,Северо-Казахстанская,14.4
2011,процент,,мужчины,Северо-Казахстанская,19.0
2012,процент,,мужчины,Северо-Казахстанская,17.6
2013,процент,,мужчины,Северо-Казахстанская,18.9
2014,процент,,мужчины,Северо-Казахстанская,27.7
2015,процент,,мужчины,Северо-Казахстанская,26.8
2016,процент,,мужчины,Северо-Казахстанская,31.5
2017,процент,,мужчины,Северо-Казахстанская,30.6
2018,процент,,мужчины,Северо-Казахстанская,25.4
2018,процент,,мужчины,Туркестанская,34.4
2010,процент,,мужчины,Восточно-Казахстанская,20.3
2011,процент,,мужчины,Восточно-Казахстанская,24.5
2012,процент,,мужчины,Восточно-Казахстанская,32.2
2013,процент,,мужчины,Восточно-Казахстанская,16.6
2014,процент,,мужчины,Восточно-Казахстанская,32.2
2015,процент,,мужчины,Восточно-Казахстанская,29.6
2016,процент,,мужчины,Восточно-Казахстанская,31.5
2017,процент,,мужчины,Восточно-Казахстанская,32.6
2018,процент,,мужчины,Восточно-Казахстанская,34.8
2010,процент,,мужчины,г_Нур-Султан,51.8
2011,процент,,мужчины,г_Нур-Султан,64.8
2012,процент,,мужчины,г_Нур-Султан,54.3
2013,процент,,мужчины,г_Нур-Султан,33.0
2014,процент,,мужчины,г_Нур-Султан,37.6
2015,процент,,мужчины,г_Нур-Султан,39.7
2016,процент,,мужчины,г_Нур-Султан,40.4
2017,процент,,мужчины,г_Нур-Султан,41.8
2018,процент,,мужчины,г_Нур-Султан,44.0
2010,процент,,мужчины,г_Алматы,57.7
2011,процент,,мужчины,г_Алматы,53.6
2012,процент,,мужчины,г_Алматы,71.4
2013,процент,,мужчины,г_Алматы,59.9
2014,процент,,мужчины,г_Алматы,66.6
2015,процент,,мужчины,г_Алматы,72.9
2016,процент,,мужчины,г_Алматы,61.2
2017,процент,,мужчины,г_Алматы,61.3
2018,процент,,мужчины,г_Алматы,63.0
2018,процент,,мужчины,г_Шымкент,58.9
2010,процент,,женщины,,36.6
2011,процент,,женщины,,40.0
2012,процент,,женщины,,42.6
2013,процент,,женщины,,43.1
2014,процент,,женщины,,47.1
2015,процент,,женщины,,50.4
2016,процент,,женщины,,49.5
2017,процент,,женщины,,51.0
2018,процент,,женщины,,50.5
2010,процент,,женщины,Акмолинская,26.6
2011,процент,,женщины,Акмолинская,25.4
2012,процент,,женщины,Акмолинская,34.5
2013,процент,,женщины,Акмолинская,32.8
2014,процент,,женщины,Акмолинская,39.8
2015,процент,,женщины,Акмолинская,36.5
2016,процент,,женщины,Акмолинская,39.7
2017,процент,,женщины,Акмолинская,39.4
2018,процент,,женщины,Акмолинская,44.2
2010,процент,,женщины,Актюбинская,40.6
2011,процент,,женщины,Актюбинская,49.4
2012,процент,,женщины,Актюбинская,41.4
2013,процент,,женщины,Актюбинская,55.1
2014,процент,,женщины,Актюбинская,45.9
2015,процент,,женщины,Актюбинская,46.2
2016,процент,,женщины,Актюбинская,45.0
2017,процент,,женщины,Актюбинская,57.4
2018,процент,,женщины,Актюбинская,47.6
2010,процент,,женщины,Алматинская,35.9
2011,процент,,женщины,Алматинская,35.0
2012,процент,,женщины,Алматинская,28.3
2013,процент,,женщины,Алматинская,25.4
2014,процент,,женщины,Алматинская,33.4
2015,процент,,женщины,Алматинская,36.2
2016,процент,,женщины,Алматинская,35.5
2017,процент,,женщины,Алматинская,38.6
2018,процент,,женщины,Алматинская,41.2
2010,процент,,женщины,Атырауская,29.0
2011,процент,,женщины,Атырауская,35.4
2012,процент,,женщины,Атырауская,55.3
2013,процент,,женщины,Атырауская,50.6
2014,процент,,женщины,Атырауская,55.2
2015,процент,,женщины,Атырауская,46.5
2016,процент,,женщины,Атырауская,59.1
2017,процент,,женщины,Атырауская,55.6
2018,процент,,женщины,Атырауская,60.1
2010,процент,,женщины,Западно-Казахстанская,34.6
2011,процент,,женщины,Западно-Казахстанская,37.8
2012,процент,,женщины,Западно-Казахстанская,39.0
2013,процент,,женщины,Западно-Казахстанская,41.6
2014,процент,,женщины,Западно-Казахстанская,47.9
2015,процент,,женщины,Западно-Казахстанская,45.4
2016,процент,,женщины,Западно-Казахстанская,46.0
2017,процент,,женщины,Западно-Казахстанская,40.2
2018,процент,,женщины,Западно-Казахстанская,41.0
2010,процент,,женщины,Жамбылская,22.8
2011,процент,,женщины,Жамбылская,29.6
2012,процент,,женщины,Жамбылская,30.5
2013,процент,,женщины,Жамбылская,21.6
2014,процент,,женщины,Жамбылская,34.0
2015,процент,,женщины,Жамбылская,38.2
2016,процент,,женщины,Жамбылская,35.2
2017,процент,,женщины,Жамбылская,42.0
2018,процент,,женщины,Жамбылская,41.3
2010,процент,,женщины,Карагандинская,37.6
2011,процент,,женщины,Карагандинская,38.8
2012,процент,,женщины,Карагандинская,47.4
2013,процент,,женщины,Карагандинская,46.9
2014,процент,,женщины,Карагандинская,46.9
2015,процент,,женщины,Карагандинская,55.7
2016,процент,,женщины,Карагандинская,46.1
2017,процент,,женщины,Карагандинская,49.3
2018,процент,,женщины,Карагандинская,48.5
2010,процент,,женщины,Костанайская,43.5
2011,процент,,женщины,Костанайская,33.8
2012,процент,,женщины,Костанайская,32.8
2013,процент,,женщины,Костанайская,34.1
2014,процент,,женщины,Костанайская,41.2
2015,процент,,женщины,Костанайская,39.7
2016,процент,,женщины,Костанайская,42.1
2017,процент,,женщины,Костанайская,41.7
2018,процент,,женщины,Костанайская,38.1
2010,процент,,женщины,Кызылординская,38.3
2011,процент,,женщины,Кызылординская,42.5
2012,процент,,женщины,Кызылординская,44.9
2013,процент,,женщины,Кызылординская,45.3
2014,процент,,женщины,Кызылординская,39.4
2015,процент,,женщины,Кызылординская,44.9
2016,процент,,женщины,Кызылординская,46.7
2017,процент,,женщины,Кызылординская,44.9
2018,процент,,женщины,Кызылординская,43.8
2010,процент,,женщины,Мангистауская,30.1
2011,процент,,женщины,Мангистауская,40.9
2012,процент,,женщины,Мангистауская,47.6
2013,процент,,женщины,Мангистауская,29.1
2014,процент,,женщины,Мангистауская,50.3
2015,процент,,женщины,Мангистауская,36.7
2016,процент,,женщины,Мангистауская,46.8
2017,процент,,женщины,Мангистауская,36.5
2018,процент,,женщины,Мангистауская,35.9
2010,процент,,женщины,Южно-Казахстанская,26.6
2011,процент,,женщины,Южно-Казахстанская,32.0
2012,процент,,женщины,Южно-Казахстанская,33.9
2013,процент,,женщины,Южно-Казахстанская,34.3
2014,процент,,женщины,Южно-Казахстанская,47.8
2015,процент,,женщины,Южно-Казахстанская,47.4
2016,процент,,женщины,Южно-Казахстанская,52.4
2017,процент,,женщины,Южно-Казахстанская,55.2
2010,процент,,женщины,Павлодарская,27.9
2011,процент,,женщины,Павлодарская,31.5
2012,процент,,женщины,Павлодарская,36.3
2013,процент,,женщины,Павлодарская,32.2
2014,процент,,женщины,Павлодарская,44.0
2015,процент,,женщины,Павлодарская,40.5
2016,процент,,женщины,Павлодарская,37.6
2017,процент,,женщины,Павлодарская,45.4
2018,процент,,женщины,Павлодарская,40.6
2010,процент,,женщины,Северо-Казахстанская,23.0
2011,процент,,женщины,Северо-Казахстанская,32.7
2012,процент,,женщины,Северо-Казахстанская,39.4
2013,процент,,женщины,Северо-Казахстанская,33.1
2014,процент,,женщины,Северо-Казахстанская,36.8
2015,процент,,женщины,Северо-Казахстанская,45.2
2016,процент,,женщины,Северо-Казахстанская,44.6
2017,процент,,женщины,Северо-Казахстанская,38.9
2018,процент,,женщины,Северо-Казахстанская,31.5
2018,процент,,женщины,Туркестанская,49.2
2010,процент,,женщины,Восточно-Казахстанская,34.8
2011,процент,,женщины,Восточно-Казахстанская,35.8
2012,процент,,женщины,Восточно-Казахстанская,37.4
2013,процент,,женщины,Восточно-Казахстанская,46.4
2014,процент,,женщины,Восточно-Казахстанская,46.4
2015,процент,,женщины,Восточно-Казахстанская,46.2
2016,процент,,женщины,Восточно-Казахстанская,46.7
2017,процент,,женщины,Восточно-Казахстанская,49.0
2018,процент,,женщины,Восточно-Казахстанская,44.2
2010,процент,,женщины,г_Нур-Султан,72.2
2011,процент,,женщины,г_Нур-Султан,71.8
2012,процент,,женщины,г_Нур-Султан,67.3
2013,процент,,женщины,г_Нур-Султан,77.8
2014,процент,,женщины,г_Нур-Султан,62.6
2015,процент,,женщины,г_Нур-Султан,66.9
2016,процент,,женщины,г_Нур-Султан,69.6
2017,процент,,женщины,г_Нур-Султан,74.5
2018,процент,,женщины,г_Нур-Султан,80.5
2010,процент,,женщины,г_Алматы,64.6
2011,процент,,женщины,г_Алматы,66.2
2012,процент,,женщины,г_Алматы,71.3
2013,процент,,женщины,г_Алматы,68.8
2014,процент,,женщины,г_Алматы,72.1
2015,процент,,женщины,г_Алматы,80.8
2016,процент,,женщины,г_Алматы,71.8
2017,процент,,женщины,г_Алматы,69.3
2018,процент,,женщины,г_Алматы,69.2
2018,процент,,женщины,г_Шымкент,57.7
2010,процент,городская местность,,,42.7
2011,процент,городская местность,,,44.8
2012,процент,городская местность,,,47.8
2013,процент,городская местность,,,49.3
2014,процент,городская местность,,,52.5
2015,процент,городская местность,,,53.8
2016,процент,городская местность,,,52.8
2017,процент,городская местность,,,53.8
2018,процент,городская местность,,,53.7
2010,процент,городская местность,,Акмолинская,39.9
2011,процент,городская местность,,Акмолинская,32.8
2012,процент,городская местность,,Акмолинская,26.9
2013,процент,городская местность,,Акмолинская,31.3
2014,процент,городская местность,,Акмолинская,43.3
2015,процент,городская местность,,Акмолинская,37.6
2016,процент,городская местность,,Акмолинская,39.9
2017,процент,городская местность,,Акмолинская,38.4
2018,процент,городская местность,,Акмолинская,45.1
2010,процент,городская местность,,Актюбинская,34.2
2011,процент,городская местность,,Актюбинская,55.4
2012,процент,городская местность,,Актюбинская,45.9
2013,процент,городская местность,,Актюбинская,58.1
2014,процент,городская местность,,Актюбинская,38.3
2015,процент,городская местность,,Актюбинская,40.1
2016,процент,городская местность,,Актюбинская,42.7
2017,процент,городская местность,,Актюбинская,49.9
2018,процент,городская местность,,Актюбинская,39.5
2010,процент,городская местность,,Алматинская,30.2
2011,процент,городская местность,,Алматинская,28.0
2012,процент,городская местность,,Алматинская,27.9
2013,процент,городская местность,,Алматинская,30.8
2014,процент,городская местность,,Алматинская,40.2
2015,процент,городская местность,,Алматинская,43.0
2016,процент,городская местность,,Алматинская,42.3
2017,процент,городская местность,,Алматинская,42.0
2018,процент,городская местность,,Алматинская,43.4
2010,процент,городская местность,,Атырауская,33.3
2011,процент,городская местность,,Атырауская,39.1
2012,процент,городская местность,,Атырауская,53.6
2013,процент,городская местность,,Атырауская,49.1
2014,процент,городская местность,,Атырауская,63.9
2015,процент,городская местность,,Атырауская,42.1
2016,процент,городская местность,,Атырауская,58.9
2017,процент,городская местность,,Атырауская,50.0
2018,процент,городская местность,,Атырауская,58.5
2010,процент,городская местность,,Западно-Казахстанская,48.3
2011,процент,городская местность,,Западно-Казахстанская,47.6
2012,процент,городская местность,,Западно-Казахстанская,49.2
2013,процент,городская местность,,Западно-Казахстанская,43.8
2014,процент,городская местность,,Западно-Казахстанская,55.6
2015,процент,городская местность,,Западно-Казахстанская,52.1
2016,процент,городская местность,,Западно-Казахстанская,48.2
2017,процент,городская местность,,Западно-Казахстанская,51.3
2018,процент,городская местность,,Западно-Казахстанская,45.1
2010,процент,городская местность,,Жамбылская,25.8
2011,процент,городская местность,,Жамбылская,30.3
2012,процент,городская местность,,Жамбылская,43.9
2013,процент,городская местность,,Жамбылская,34.0
2014,процент,городская местность,,Жамбылская,38.7
2015,процент,городская местность,,Жамбылская,43.2
2016,процент,городская местность,,Жамбылская,44.3
2017,процент,городская местность,,Жамбылская,47.1
2018,процент,городская местность,,Жамбылская,43.0
2010,процент,городская местность,,Карагандинская,35.9
2011,процент,городская местность,,Карагандинская,37.9
2012,процент,городская местность,,Карагандинская,39.2
2013,процент,городская местность,,Карагандинская,41.2
2014,процент,городская местность,,Карагандинская,44.7
2015,процент,городская местность,,Карагандинская,46.5
2016,процент,городская местность,,Карагандинская,44.2
2017,процент,городская местность,,Карагандинская,43.7
2018,процент,городская местность,,Карагандинская,44.1
2010,процент,городская местность,,Костанайская,46.0
2011,процент,городская местность,,Костанайская,33.6
2012,процент,городская местность,,Костанайская,31.9
2013,процент,городская местность,,Костанайская,35.7
2014,процент,городская местность,,Костанайская,47.0
2015,процент,городская местность,,Костанайская,37.3
2016,процент,городская местность,,Костанайская,42.3
2017,процент,городская местность,,Костанайская,43.4
2018,процент,городская местность,,Костанайская,37.2
2010,процент,городская местность,,Кызылординская,45.9
2011,процент,городская местность,,Кызылординская,46.9
2012,процент,городская местность,,Кызылординская,43.5
2013,процент,городская местность,,Кызылординская,41.2
2014,процент,городская местность,,Кызылординская,41.6
2015,процент,городская местность,,Кызылординская,48.3
2016,процент,городская местность,,Кызылординская,44.7
2017,процент,городская местность,,Кызылординская,43.5
2018,процент,городская местность,,Кызылординская,44.8
2010,процент,городская местность,,Мангистауская,26.4
2011,процент,городская местность,,Мангистауская,36.3
2012,процент,городская местность,,Мангистауская,40.7
2013,процент,городская местность,,Мангистауская,32.6
2014,процент,городская местность,,Мангистауская,47.2
2015,процент,городская местность,,Мангистауская,33.3
2016,процент,городская местность,,Мангистауская,42.4
2017,процент,городская местность,,Мангистауская,35.9
2018,процент,городская местность,,Мангистауская,40.5
2010,процент,городская местность,,Южно-Казахстанская,37.0
2011,процент,городская местность,,Южно-Казахстанская,41.4
2012,процент,городская местность,,Южно-Казахстанская,46.0
2013,процент,городская местность,,Южно-Казахстанская,49.6
2014,процент,городская местность,,Южно-Казахстанская,52.1
2015,процент,городская местность,,Южно-Казахстанская,48.1
2016,процент,городская местность,,Южно-Казахстанская,59.1
2017,процент,городская местность,,Южно-Казахстанская,61.0
2010,процент,городская местность,,Павлодарская,32.0
2011,процент,городская местность,,Павлодарская,32.9
2012,процент,городская местность,,Павлодарская,37.7
2013,процент,городская местность,,Павлодарская,29.6
2014,процент,городская местность,,Павлодарская,44.0
2015,процент,городская местность,,Павлодарская,38.2
2016,процент,городская местность,,Павлодарская,38.5
2017,процент,городская местность,,Павлодарская,45.4
2018,процент,городская местность,,Павлодарская,39.9
2010,процент,городская местность,,Северо-Казахстанская,34.5
2011,процент,городская местность,,Северо-Казахстанская,37.3
2012,процент,городская местность,,Северо-Казахстанская,39.3
2013,процент,городская местность,,Северо-Казахстанская,35.9
2014,процент,городская местность,,Северо-Казахстанская,41.3
2015,процент,городская местность,,Северо-Казахстанская,47.1
2016,процент,городская местность,,Северо-Казахстанская,54.9
2017,процент,городская местность,,Северо-Казахстанская,47.0
2018,процент,городская местность,,Северо-Казахстанская,36.2
2018,процент,городская местность,,Туркестанская,43.9
2010,процент,городская местность,,Восточно-Казахстанская,37.8
2011,процент,городская местность,,Восточно-Казахстанская,37.8
2012,процент,городская местность,,Восточно-Казахстанская,42.4
2013,процент,городская местность,,Восточно-Казахстанская,37.6
2014,процент,городская местность,,Восточно-Казахстанская,48.5
2015,процент,городская местность,,Восточно-Казахстанская,43.1
2016,процент,городская местность,,Восточно-Казахстанская,43.3
2017,процент,городская местность,,Восточно-Казахстанская,46.4
2018,процент,городская местность,,Восточно-Казахстанская,46.3
2010,процент,городская местность,,г_Нур-Султан,61.4
2011,процент,городская местность,,г_Нур-Султан,68.3
2012,процент,городская местность,,г_Нур-Султан,60.4
2013,процент,городская местность,,г_Нур-Султан,75.8
2014,процент,городская местность,,г_Нур-Султан,61.8
2015,процент,городская местность,,г_Нур-Султан,64.1
2016,процент,городская местность,,г_Нур-Султан,64.6
2017,процент,городская местность,,г_Нур-Султан,68.4
2018,процент,городская местность,,г_Нур-Султан,77.0
2010,процент,городская местность,,г_Алматы,61.1
2011,процент,городская местность,,г_Алматы,60.0
2012,процент,городская местность,,г_Алматы,71.4
2013,процент,городская местность,,г_Алматы,66.9
2014,процент,городская местность,,г_Алматы,73.1
2015,процент,городская местность,,г_Алматы,79.9
2016,процент,городская местность,,г_Алматы,68.5
2017,процент,городская местность,,г_Алматы,67.2
2018,процент,городская местность,,г_Алматы,67.9
2018,процент,городская местность,,г_Шымкент,60.0
2010,процент,городская местность,мужчины,,37.6
2011,процент,городская местность,мужчины,,38.6
2012,процент,городская местность,мужчины,,41.9
2013,процент,городская местность,мужчины,,43.8
2014,процент,городская местность,мужчины,,48.3
2015,процент,городская местность,мужчины,,48.2
2016,процент,городская местность,мужчины,,47.8
2017,процент,городская местность,мужчины,,48.4
