Year,Units,Регионы,Местность,Пол,Образование,Брачное состояние,гражданство,GeoCode,Value
2016,на 100 000 населения,,городское население,,,,,,3.09
2017,на 100 000 населения,,городское население,,,,,,3.12
2018,на 100 000 населения,,городское население,,,,,,2.84
2010,на 100 000 населения,Акмолинская,городское население,,,,,,11.97
2011,на 100 000 населения,Акмолинская,городское население,,,,,,11.4
2012,на 100 000 населения,Акмолинская,городское население,,,,,,7.58
2013,на 100 000 населения,Акмолинская,городское население,,,,,,5.21
2014,на 100 000 населения,Акмолинская,городское население,,,,,,8.36
2015,на 100 000 населения,Акмолинская,городское население,,,,,,9.73
2016,на 100 000 населения,Акмолинская,городское население,,,,,,6.86
2017,на 100 000 населения,Акмолинская,городское население,,,,,,6.02
2018,на 100 000 населения,Акмолинская,городское население,,,,,,6.89
2010,на 100 000 населения,Актюбинская,городское население,,,,,,3.18
2011,на 100 000 населения,Актюбинская,городское население,,,,,,2.49
2012,на 100 000 населения,Актюбинская,городское население,,,,,,5.12
2013,на 100 000 населения,Актюбинская,городское население,,,,,,2.22
2014,на 100 000 населения,Актюбинская,городское население,,,,,,2.18
2015,на 100 000 населения,Актюбинская,городское население,,,,,,2.52
2016,на 100 000 населения,Актюбинская,городское население,,,,,,1.9
2017,на 100 000 населения,Актюбинская,городское население,,,,,,2.6
2018,на 100 000 населения,Актюбинская,городское население,,,,,,2.3
2010,на 100 000 населения,Алматинская,городское население,,,,,,9.42
2011,на 100 000 населения,Алматинская,городское население,,,,,,8.61
2012,на 100 000 населения,Алматинская,городское население,,,,,,8.25
2013,на 100 000 населения,Алматинская,городское население,,,,,,7.69
2014,на 100 000 населения,Алматинская,городское население,,,,,,3.47
2015,на 100 000 населения,Алматинская,городское население,,,,,,8.33
2016,на 100 000 населения,Алматинская,городское население,,,,,,4.86
2017,на 100 000 населения,Алматинская,городское население,,,,,,4.68
2018,на 100 000 населения,Алматинская,городское население,,,,,,5.42
2010,на 100 000 населения,Атырауская,городское население,,,,,,2.79
2011,на 100 000 населения,Атырауская,городское население,,,,,,6.22
2012,на 100 000 населения,Атырауская,городское население,,,,,,2.65
2013,на 100 000 населения,Атырауская,городское население,,,,,,2.25
2014,на 100 000 населения,Атырауская,городское население,,,,,,2.97
2015,на 100 000 населения,Атырауская,городское население,,,,,,1.08
2016,на 100 000 населения,Атырауская,городское население,,,,,,1.74
2017,на 100 000 населения,Атырауская,городское население,,,,,,0.68
2018,на 100 000 населения,Атырауская,городское население,,,,,,0.31
2010,на 100 000 населения,Западно-Казахстанская,городское население,,,,,,7.67
2011,на 100 000 населения,Западно-Казахстанская,городское население,,,,,,7.49
2012,на 100 000 населения,Западно-Казахстанская,городское население,,,,,,4.66
2013,на 100 000 населения,Западно-Казахстанская,городское население,,,,,,4.26
2014,на 100 000 населения,Западно-Казахстанская,городское население,,,,,,5.81
2015,на 100 000 населения,Западно-Казахстанская,городское население,,,,,,2.86
2016,на 100 000 населения,Западно-Казахстанская,городское население,,,,,,2.49
2017,на 100 000 населения,Западно-Казахстанская,городское население,,,,,,2.74
2018,на 100 000 населения,Западно-Казахстанская,городское население,,,,,,2.38
2010,на 100 000 населения,Жамбылская,городское население,,,,,,5.93
2011,на 100 000 населения,Жамбылская,городское население,,,,,,6.15
2012,на 100 000 населения,Жамбылская,городское население,,,,,,7.29
2013,на 100 000 населения,Жамбылская,городское население,,,,,,12.3
2014,на 100 000 населения,Жамбылская,городское население,,,,,,3.64
2015,на 100 000 населения,Жамбылская,городское население,,,,,,1.57
2016,на 100 000 населения,Жамбылская,городское население,,,,,,0.67
2017,на 100 000 населения,Жамбылская,городское население,,,,,,1.57
2018,на 100 000 населения,Жамбылская,городское население,,,,,,2.24
2010,на 100 000 населения,Карагандинская,городское население,,,,,,15.4
2011,на 100 000 населения,Карагандинская,городское население,,,,,,11.3
2012,на 100 000 населения,Карагандинская,городское население,,,,,,11.7
2013,на 100 000 населения,Карагандинская,городское население,,,,,,7.64
2014,на 100 000 населения,Карагандинская,городское население,,,,,,6.37
2015,на 100 000 населения,Карагандинская,городское население,,,,,,5.4
2016,на 100 000 населения,Карагандинская,городское население,,,,,,4.19
2017,на 100 000 населения,Карагандинская,городское население,,,,,,4.1
2018,на 100 000 населения,Карагандинская,городское население,,,,,,3.64
2010,на 100 000 населения,Костанайская,городское население,,,,,,10.17
2011,на 100 000 населения,Костанайская,городское население,,,,,,9.44
2012,на 100 000 населения,Костанайская,городское население,,,,,,11.6
2013,на 100 000 населения,Костанайская,городское население,,,,,,9.05
2014,на 100 000 населения,Костанайская,городское население,,,,,,7.21
2015,на 100 000 населения,Костанайская,городское население,,,,,,7.55
2016,на 100 000 населения,Костанайская,городское население,,,,,,3.42
2017,на 100 000 населения,Костанайская,городское население,,,,,,2.76
2018,на 100 000 населения,Костанайская,городское население,,,,,,3.37
2010,на 100 000 населения,Кызылординская,городское население,,,,,,1.02
2011,на 100 000 населения,Кызылординская,городское население,,,,,,0.0
2012,на 100 000 населения,Кызылординская,городское население,,,,,,0.33
2013,на 100 000 населения,Кызылординская,городское население,,,,,,1.91
2014,на 100 000 населения,Кызылординская,городское население,,,,,,1.56
2015,на 100 000 населения,Кызылординская,городское население,,,,,,1.21
2016,на 100 000 населения,Кызылординская,городское население,,,,,,1.48
2017,на 100 000 населения,Кызылординская,городское население,,,,,,3.2
2018,на 100 000 населения,Кызылординская,городское население,,,,,,0.86
2010,на 100 000 населения,Мангистауская,городское население,,,,,,1.47
2011,на 100 000 населения,Мангистауская,городское население,,,,,,1.43
2012,на 100 000 населения,Мангистауская,городское население,,,,,,1.05
2013,на 100 000 населения,Мангистауская,городское население,,,,,,1.03
2014,на 100 000 населения,Мангистауская,городское население,,,,,,1.43
2015,на 100 000 населения,Мангистауская,городское население,,,,,,0.37
2016,на 100 000 населения,Мангистауская,городское население,,,,,,1.1
2017,на 100 000 населения,Мангистауская,городское население,,,,,,2.21
2018,на 100 000 населения,Мангистауская,городское население,,,,,,3.33
2010,на 100 000 населения,Южно-Казахстанская,городское население,,,,,,4.51
2011,на 100 000 населения,Южно-Казахстанская,городское население,,,,,,2.95
2012,на 100 000 населения,Южно-Казахстанская,городское население,,,,,,3.09
2013,на 100 000 населения,Южно-Казахстанская,городское население,,,,,,4.72
2014,на 100 000 населения,Южно-Казахстанская,городское население,,,,,,5.7
2015,на 100 000 населения,Южно-Казахстанская,городское население,,,,,,2.69
2016,на 100 000 населения,Южно-Казахстанская,городское население,,,,,,2.95
2017,на 100 000 населения,Южно-Казахстанская,городское население,,,,,,3.1
2018,на 100 000 населения,Южно-Казахстанская,городское население,,,,,,2.48
2010,на 100 000 населения,Павлодарская,городское население,,,,,,12.15
2011,на 100 000 населения,Павлодарская,городское население,,,,,,7.79
2012,на 100 000 населения,Павлодарская,городское население,,,,,,7.94
2013,на 100 000 населения,Павлодарская,городское население,,,,,,4.03
2014,на 100 000 населения,Павлодарская,городское население,,,,,,4.36
2015,на 100 000 населения,Павлодарская,городское население,,,,,,0.56
2016,на 100 000 населения,Павлодарская,городское население,,,,,,1.68
2017,на 100 000 населения,Павлодарская,городское население,,,,,,1.12
2018,на 100 000 населения,Павлодарская,городское население,,,,,,2.25
2010,на 100 000 населения,Северо-Казахстанская,городское население,,,,,,2.52
2011,на 100 000 населения,Северо-Казахстанская,городское население,,,,,,0.42
2012,на 100 000 населения,Северо-Казахстанская,городское население,,,,,,5.44
2013,на 100 000 населения,Северо-Казахстанская,городское население,,,,,,2.5
2014,на 100 000 населения,Северо-Казахстанская,городское население,,,,,,2.89
2015,на 100 000 населения,Северо-Казахстанская,городское население,,,,,,0.81
2016,на 100 000 населения,Северо-Казахстанская,городское население,,,,,,2.41
2017,на 100 000 населения,Северо-Казахстанская,городское население,,,,,,1.2
2018,на 100 000 населения,Северо-Казахстанская,городское население,,,,,,0.79
2018,на 100 000 населения,Туркестанская,городское население,,,,,,2.31
2010,на 100 000 населения,Восточно-Казахстанская,городское население,,,,,,11.9
2011,на 100 000 населения,Восточно-Казахстанская,городское население,,,,,,7.78
2012,на 100 000 населения,Восточно-Казахстанская,городское население,,,,,,7.37
2013,на 100 000 населения,Восточно-Казахстанская,городское население,,,,,,2.69
2014,на 100 000 населения,Восточно-Казахстанская,городское население,,,,,,3.64
2015,на 100 000 населения,Восточно-Казахстанская,городское население,,,,,,2.89
2016,на 100 000 населения,Восточно-Казахстанская,городское население,,,,,,1.91
2017,на 100 000 населения,Восточно-Казахстанская,городское население,,,,,,1.9
2018,на 100 000 населения,Восточно-Казахстанская,городское население,,,,,,2.01
2010,на 100 000 населения,г_Нур-Султан,городское население,,,,,,10.7
2011,на 100 000 населения,г_Нур-Султан,городское население,,,,,,8.06
2012,на 100 000 населения,г_Нур-Султан,городское население,,,,,,7.63
2013,на 100 000 населения,г_Нур-Султан,городское население,,,,,,6.28
2014,на 100 000 населения,г_Нур-Султан,городское население,,,,,,5.04
2015,на 100 000 населения,г_Нур-Султан,городское население,,,,,,5.22
2016,на 100 000 населения,г_Нур-Султан,городское население,,,,,,3.58
2017,на 100 000 населения,г_Нур-Султан,городское население,,,,,,3
2018,на 100 000 населения,г_Нур-Султан,городское население,,,,,,2.85
2010,на 100 000 населения,г_Алматы,городское население,,,,,,8.99
2011,на 100 000 населения,г_Алматы,городское население,,,,,,10.6
2012,на 100 000 населения,г_Алматы,городское население,,,,,,9.1
2013,на 100 000 населения,г_Алматы,городское население,,,,,,6.84
2014,на 100 000 населения,г_Алматы,городское население,,,,,,5.15
2015,на 100 000 населения,г_Алматы,городское население,,,,,,5.2
2016,на 100 000 населения,г_Алматы,городское население,,,,,,3.94
2017,на 100 000 населения,г_Алматы,городское население,,,,,,4.28
2018,на 100 000 населения,г_Алматы,городское население,,,,,,3.06
2018,на 100 000 населения,г_Шымкент,городское население,,,,,,2.55
2010,на 100 000 населения,,сельское население,,,,,,5.31
2011,на 100 000 населения,,сельское население,,,,,,4.38
2012,на 100 000 населения,,сельское население,,,,,,4.26
2013,на 100 000 населения,,сельское население,,,,,,3.52
2014,на 100 000 населения,,сельское население,,,,,,3.84
2015,на 100 000 населения,,сельское население,,,,,,3.37
2016,на 100 000 населения,,сельское население,,,,,,3.24
2017,на 100 000 населения,,сельское население,,,,,,2.73
2018,на 100 000 населения,,сельское население,,,,,,2.67
2010,на 100 000 населения,Акмолинская,сельское население,,,,,,10.72
2011,на 100 000 населения,Акмолинская,сельское население,,,,,,9.48
2012,на 100 000 населения,Акмолинская,сельское население,,,,,,9.51
2013,на 100 000 населения,Акмолинская,сельское население,,,,,,7.46
2014,на 100 000 населения,Акмолинская,сельское население,,,,,,8.22
2015,на 100 000 населения,Акмолинская,сельское население,,,,,,6.65
2016,на 100 000 населения,Акмолинская,сельское население,,,,,,7.19
2017,на 100 000 населения,Акмолинская,сельское население,,,,,,6.19
2018,на 100 000 населения,Акмолинская,сельское население,,,,,,5.89
2010,на 100 000 населения,Актюбинская,сельское население,,,,,,5.69
2011,на 100 000 населения,Актюбинская,сельское население,,,,,,3
2012,на 100 000 населения,Актюбинская,сельское население,,,,,,2.31
2013,на 100 000 населения,Актюбинская,сельское население,,,,,,4.88
2014,на 100 000 населения,Актюбинская,сельское население,,,,,,2.89
2015,на 100 000 населения,Актюбинская,сельское население,,,,,,2.24
2016,на 100 000 населения,Актюбинская,сельское население,,,,,,1.91
2017,на 100 000 населения,Актюбинская,сельское население,,,,,,2.24
2018,на 100 000 населения,Актюбинская,сельское население,,,,,,1.57
2010,на 100 000 населения,Алматинская,сельское население,,,,,,6.2
2011,на 100 000 населения,Алматинская,сельское население,,,,,,4.76
2012,на 100 000 населения,Алматинская,сельское население,,,,,,5.2
2013,на 100 000 населения,Алматинская,сельское население,,,,,,3.11
2014,на 100 000 населения,Алматинская,сельское население,,,,,,3.82
2015,на 100 000 населения,Алматинская,сельское население,,,,,,4.64
2016,на 100 000 населения,Алматинская,сельское население,,,,,,3.75
2017,на 100 000 населения,Алматинская,сельское население,,,,,,3.66
2018,на 100 000 населения,Алматинская,сельское население,,,,,,2.87
2010,на 100 000 населения,Атырауская,сельское население,,,,,,2.54
2011,на 100 000 населения,Атырауская,сельское население,,,,,,3.57
2012,на 100 000 населения,Атырауская,сельское население,,,,,,3.51
2013,на 100 000 населения,Атырауская,сельское население,,,,,,2.37
2014,на 100 000 населения,Атырауская,сельское население,,,,,,4.26
2015,на 100 000 населения,Атырауская,сельское население,,,,,,0.65
2016,на 100 000 населения,Атырауская,сельское население,,,,,,0.96
2017,на 100 000 населения,Атырауская,сельское население,,,,,,1.25
2018,на 100 000 населения,Атырауская,сельское население,,,,,,1.34
2010,на 100 000 населения,Западно-Казахстанская,сельское население,,,,,,5.64
2011,на 100 000 населения,Западно-Казахстанская,сельское население,,,,,,4.73
2012,на 100 000 населения,Западно-Казахстанская,сельское население,,,,,,4.13
2013,на 100 000 населения,Западно-Казахстанская,сельское население,,,,,,3.17
2014,на 100 000 населения,Западно-Казахстанская,сельское население,,,,,,2.52
2015,на 100 000 населения,Западно-Казахстанская,сельское население,,,,,,2.82
2016,на 100 000 населения,Западно-Казахстанская,сельское население,,,,,,3.14
2017,на 100 000 населения,Западно-Казахстанская,сельское население,,,,,,0.95
2018,на 100 000 населения,Западно-Казахстанская,сельское население,,,,,,4.79
2010,на 100 000 населения,Жамбылская,сельское население,,,,,,2.75
2011,на 100 000 населения,Жамбылская,сельское население,,,,,,4.93
2012,на 100 000 населения,Жамбылская,сельское население,,,,,,5.02
2013,на 100 000 населения,Жамбылская,сельское население,,,,,,4.03
2014,на 100 000 населения,Жамбылская,сельское население,,,,,,3.84
2015,на 100 000 населения,Жамбылская,сельское население,,,,,,1.97
2016,на 100 000 населения,Жамбылская,сельское население,,,,,,2.56
2017,на 100 000 населения,Жамбылская,сельское население,,,,,,1.94
2018,на 100 000 населения,Жамбылская,сельское население,,,,,,1.63
2010,на 100 000 населения,Карагандинская,сельское население,,,,,,6.38
2011,на 100 000 населения,Карагандинская,сельское население,,,,,,4.06
2012,на 100 000 населения,Карагандинская,сельское население,,,,,,8.49
2013,на 100 000 населения,Карагандинская,сельское население,,,,,,2.73
2014,на 100 000 населения,Карагандинская,сельское население,,,,,,2.75
2015,на 100 000 населения,Карагандинская,сельское население,,,,,,5.88
2016,на 100 000 населения,Карагандинская,сельское население,,,,,,2.45
2017,на 100 000 населения,Карагандинская,сельское население,,,,,,2.48
2018,на 100 000 населения,Карагандинская,сельское население,,,,,,0.71
2010,на 100 000 населения,Костанайская,сельское население,,,,,,12.49
2011,на 100 000 населения,Костанайская,сельское население,,,,,,10.1
2012,на 100 000 населения,Костанайская,сельское население,,,,,,7.65
2013,на 100 000 населения,Костанайская,сельское население,,,,,,7.48
2014,на 100 000 населения,Костанайская,сельское население,,,,,,9.68
2015,на 100 000 населения,Костанайская,сельское население,,,,,,7.64
2016,на 100 000 населения,Костанайская,сельское население,,,,,,7.98
2017,на 100 000 населения,Костанайская,сельское население,,,,,,3.94
2018,на 100 000 населения,Костанайская,сельское население,,,,,,3.25
2010,на 100 000 населения,Кызылординская,сельское население,,,,,,2.49
2011,на 100 000 населения,Кызылординская,сельское население,,,,,,0.74
2012,на 100 000 населения,Кызылординская,сельское население,,,,,,0.73
2013,на 100 000 населения,Кызылординская,сельское население,,,,,,2.62
2014,на 100 000 населения,Кызылординская,сельское население,,,,,,1.18
2015,на 100 000 населения,Кызылординская,сельское население,,,,,,1.4
2016,на 100 000 населения,Кызылординская,сельское население,,,,,,0.69
2017,на 100 000 населения,Кызылординская,сельское население,,,,,,0.92
2018,на 100 000 населения,Кызылординская,сельское население,,,,,,0.23
2010,на 100 000 населения,Мангистауская,сельское население,,,,,,1.24
2011,на 100 000 населения,Мангистауская,сельское население,,,,,,2.34
2012,на 100 000 населения,Мангистауская,сельское население,,,,,,1.1
2013,на 100 000 населения,Мангистауская,сельское население,,,,,,1.04
2014,на 100 000 населения,Мангистауская,сельское население,,,,,,1.58
2015,на 100 000 населения,Мангистауская,сельское население,,,,,,0.29
2016,на 100 000 населения,Мангистауская,сельское население,,,,,,1.38
2017,на 100 000 населения,Мангистауская,сельское население,,,,,,1.58
2018,на 100 000 населения,Мангистауская,сельское население,,,,,,1.25
2010,на 100 000 населения,Южно-Казахстанская,сельское население,,,,,,1.62
2011,на 100 000 населения,Южно-Казахстанская,сельское население,,,,,,1.01
2012,на 100 000 населения,Южно-Казахстанская,сельское население,,,,,,1.12
2013,на 100 000 населения,Южно-Казахстанская,сельское население,,,,,,2.13
2014,на 100 000 населения,Южно-Казахстанская,сельское население,,,,,,3
2015,на 100 000 населения,Южно-Казахстанская,сельское население,,,,,,2.13
2016,на 100 000 населения,Южно-Казахстанская,сельское население,,,,,,2.68
2017,на 100 000 населения,Южно-Казахстанская,сельское население,,,,,,2.15
2018,на 100 000 населения,Южно-Казахстанская,сельское население,,,,,,2.58
2010,на 100 000 населения,Павлодарская,сельское население,,,,,,17.45
2011,на 100 000 населения,Павлодарская,сельское население,,,,,,11.6
2012,на 100 000 населения,Павлодарская,сельское население,,,,,,6.47
2013,на 100 000 населения,Павлодарская,сельское население,,,,,,1.31
