Year,Units,Области,Регионы,Value
2015,млн.тонн,регионы,Западно-Казахстанская,39.4995
2016,млн.тонн,регионы,Западно-Казахстанская,39.4149
2017,млн.тонн,регионы,Западно-Казахстанская,39.2652
2018,млн.тонн,регионы,Западно-Казахстанская,39.46835
2010,млн.тонн,регионы,,55.9545
2011,млн.тонн,регионы,,70.458
2012,млн.тонн,регионы,,80.38889999999998
2013,млн.тонн,регионы,,88.3699
2014,млн.тонн,регионы,,88.9071
2015,млн.тонн,регионы,,91.3309
2016,млн.тонн,регионы,,91.2506
2017,млн.тонн,регионы,,100.1437
2018,млн.тонн,регионы,,103.47243
2010,млн.тонн,регионы,,443.9648
2011,млн.тонн,регионы,,551.1137
2012,млн.тонн,регионы,,619.6886999999998
2013,млн.тонн,регионы,,676.6549
2014,млн.тонн,регионы,,719.1646
2015,млн.тонн,регионы,,709.863
2016,млн.тонн,регионы,,727.4763
2017,млн.тонн,регионы,,795.5184
2018,млн.тонн,регионы,,825.63185
2010,млн.тонн,регионы,,221.5098
2011,млн.тонн,регионы,,268.028
2012,млн.тонн,регионы,,275.5625
2013,млн.тонн,регионы,,299.653
2014,млн.тонн,регионы,,297.3363
2015,млн.тонн,регионы,,294.8958
2016,млн.тонн,регионы,,277.25890000000004
2017,млн.тонн,регионы,,291.5305
2018,млн.тонн,регионы,,297.05127999999996
2010,млн.тонн,регионы,,66.32430000000001
2011,млн.тонн,регионы,,95.51799999999999
2012,млн.тонн,регионы,,98.3855
2013,млн.тонн,регионы,,106.1353
2014,млн.тонн,регионы,,107.1732
2015,млн.тонн,регионы,,108.6799
2016,млн.тонн,регионы,,104.2945
2017,млн.тонн,регионы,,104.6007
2018,млн.тонн,регионы,,104.54127
2010,млн.тонн,регионы,,141.5499
2011,млн.тонн,регионы,,186.5845
2012,млн.тонн,регионы,,207.734
2013,млн.тонн,регионы,,215.0696
2014,млн.тонн,регионы,,217.6252
2015,млн.тонн,регионы,,227.8138
2016,млн.тонн,регионы,,218.917
2017,млн.тонн,регионы,,238.5572
2018,млн.тонн,регионы,,237.92486
2010,млн.тонн,регионы,,77.4695
2011,млн.тонн,регионы,,106.5048
2012,млн.тонн,регионы,,123.8486
2013,млн.тонн,регионы,,133.0374
2014,млн.тонн,регионы,,145.4088
2015,млн.тонн,регионы,,154.9665
2016,млн.тонн,регионы,,158.74720000000005
2010,млн.тонн,регионы,,78.54469999999998
2011,млн.тонн,регионы,,97.0415
2012,млн.тонн,регионы,,103.0248
2013,млн.тонн,регионы,,116.4561
2014,млн.тонн,регионы,,128.0527
2015,млн.тонн,регионы,,127.9006
2016,млн.тонн,регионы,,131.4623
2017,млн.тонн,регионы,,133.1318
2018,млн.тонн,регионы,,134.63789000000003
2010,млн.тонн,регионы,Северо-Казахстанская,40.0789
2011,млн.тонн,регионы,Северо-Казахстанская,46.1275
2012,млн.тонн,регионы,Северо-Казахстанская,46.2119
2013,млн.тонн,регионы,Северо-Казахстанская,49.2661
2014,млн.тонн,регионы,Северо-Казахстанская,49.89440000000001
2015,млн.тонн,регионы,Северо-Казахстанская,49.6684
2016,млн.тонн,регионы,Северо-Казахстанская,48.1812
2017,млн.тонн,регионы,Северо-Казахстанская,51.363
2018,млн.тонн,регионы,Северо-Казахстанская,51.46394
2018,млн.тонн,регионы,Туркестанская,70.98138
2010,млн.тонн,регионы,,327.3275
2011,млн.тонн,регионы,,418.2116
2012,млн.тонн,регионы,,476.9061
2013,млн.тонн,регионы,,553.6669
2014,млн.тонн,регионы,,595.4762
2015,млн.тонн,регионы,,598.7569
2016,млн.тонн,регионы,,582.4344
2017,млн.тонн,регионы,,600.835
2018,млн.тонн,регионы,,628.3602900000002
2010,млн.тонн,регионы,г.Нур-Султан,66.7086
2011,млн.тонн,регионы,г.Нур-Султан,97.2251
2012,млн.тонн,регионы,г.Нур-Султан,112.5887
2013,млн.тонн,регионы,г.Нур-Султан,124.117
2014,млн.тонн,регионы,г.Нур-Султан,136.6535
2015,млн.тонн,регионы,г.Нур-Султан,142.5343
2016,млн.тонн,регионы,г.Нур-Султан,142.55360000000005
2018,млн.тонн,регионы,г.Нур-Султан,153.14064000000005
2010,млн.тонн,регионы,г.Алматы,142.44289999999995
2011,млн.тонн,регионы,г.Алматы,155.5848
2012,млн.тонн,регионы,г.Алматы,168.3065
2013,млн.тонн,регионы,г.Алматы,194.412
2014,млн.тонн,регионы,г.Алматы,216.8484
2015,млн.тонн,регионы,г.Алматы,232.0866
2016,млн.тонн,регионы,г.Алматы,252.2656
2017,млн.тонн,регионы,г.Алматы,256.0017
2018,млн.тонн,регионы,г.Алматы,255.73716
2018,млн.тонн,регионы,г.Шымкент,116.32101000000002
2010,млн.тонн,регионы,"Объем, не распределенный по областям",375.3236
2011,млн.тонн,регионы,"Объем, не распределенный по областям",399.3945
2012,млн.тонн,регионы,"Объем, не распределенный по областям",414.0783
2013,млн.тонн,регионы,"Объем, не распределенный по областям",418.282
2014,млн.тонн,регионы,"Объем, не распределенный по областям",511.3469
2015,млн.тонн,регионы,"Объем, не распределенный по областям",453.7961
2016,млн.тонн,регионы,"Объем, не распределенный по областям",441.44493
2017,млн.тонн,регионы,"Объем, не распределенный по областям",496.7663
2018,млн.тонн,регионы,"Объем, не распределенный по областям",520.929
2010,млн.тонн,регионы,,13186.4941
2011,млн.тонн,регионы,,16647.1626
2012,млн.тонн,регионы,,18484.6485
2013,млн.тонн,регионы,,20004.2963
2014,млн.тонн,регионы,,21281.1651
2015,млн.тонн,регионы,,21839.1375
2016,млн.тонн,регионы,,22332.7906
2017,млн.тонн,регионы,,22744.7
2018,млн.тонн,регионы,,23021.597670000006
2010,млн.тонн,регионы,Акмолинская,1057.8989
2011,млн.тонн,регионы,Акмолинская,1385.7958999999996
2012,млн.тонн,регионы,Акмолинская,1482.0797
2013,млн.тонн,регионы,Акмолинская,1604.4809
2014,млн.тонн,регионы,Акмолинская,1723.9165
2015,млн.тонн,регионы,Акмолинская,1729.4592
2016,млн.тонн,регионы,Акмолинская,1700.0768999999998
2017,млн.тонн,регионы,Акмолинская,1643.88891
2018,млн.тонн,регионы,Акмолинская,1652.1817
2010,млн.тонн,регионы,,163.5094
2011,млн.тонн,регионы,,199.3162
2012,млн.тонн,регионы,,220.08700000000002
2013,млн.тонн,регионы,,238.3837
2014,млн.тонн,регионы,,251.0416
2015,млн.тонн,регионы,,264.71320000000003
2016,млн.тонн,регионы,,278.4214
2017,млн.тонн,регионы,,294.68461
2018,млн.тонн,регионы,,304.33635
2010,млн.тонн,регионы,,436.6198
2011,млн.тонн,регионы,,550.8759
2012,млн.тонн,регионы,,597.1945999999998
2013,млн.тонн,регионы,,628.9567
2014,млн.тонн,регионы,,654.3485
2015,млн.тонн,регионы,,706.7371999999998
2016,млн.тонн,регионы,,808.2825
2017,млн.тонн,регионы,,872.9694300000001
2018,млн.тонн,регионы,,882.3444099999999
2010,млн.тонн,регионы,,95.3865
2011,млн.тонн,регионы,,126.935
2012,млн.тонн,регионы,,155.4183
2013,млн.тонн,регионы,,167.9207
2014,млн.тонн,регионы,,172.0829
2015,млн.тонн,регионы,,171.99110000000005
2016,млн.тонн,регионы,,181.0197
2018,млн.тонн,регионы,,181.6095
2010,млн.тонн,регионы,Западно-Казахстанская,270.428
2011,млн.тонн,регионы,Западно-Казахстанская,364.76800000000003
2012,млн.тонн,регионы,Западно-Казахстанская,402.3381
2013,млн.тонн,регионы,Западно-Казахстанская,425.7576
2014,млн.тонн,регионы,Западно-Казахстанская,428.3103
2015,млн.тонн,регионы,Западно-Казахстанская,436.3374
2016,млн.тонн,регионы,Западно-Казахстанская,434.3315
2017,млн.тонн,регионы,Западно-Казахстанская,451.51745999999997
2018,млн.тонн,регионы,Западно-Казахстанская,424.6046
2010,млн.тонн,регионы,,570.5845
2011,млн.тонн,регионы,,745.8124
2012,млн.тонн,регионы,,802.7956999999999
2013,млн.тонн,регионы,,864.5943000000002
2014,млн.тонн,регионы,,882.5405999999998
2015,млн.тонн,регионы,,929.4778
2016,млн.тонн,регионы,,957.2865
2017,млн.тонн,регионы,,957.34209
2018,млн.тонн,регионы,,987.36822
2010,млн.тонн,регионы,,1440.6618999999996
2011,млн.тонн,регионы,,1993.3222
2012,млн.тонн,регионы,,2111.422
2013,млн.тонн,регионы,,2299.8505
2014,млн.тонн,регионы,,2428.7441
2015,млн.тонн,регионы,,2421.1873
2016,млн.тонн,регионы,,2418.1113
2018,млн.тонн,регионы,,2428.0932399999997
2010,млн.тонн,регионы,,1153.3571000000004
2011,млн.тонн,регионы,,1436.4622
2012,млн.тонн,регионы,,1575.5291000000002
2013,млн.тонн,регионы,,1657.3538999999996
2014,млн.тонн,регионы,,1752.0465
2015,млн.тонн,регионы,,1745.1796000000004
2016,млн.тонн,регионы,,1751.7320000000002
2017,млн.тонн,регионы,,1796.55025
2018,млн.тонн,регионы,,1805.54943
2010,млн.тонн,регионы,,139.7043
2011,млн.тонн,регионы,,193.2167
2012,млн.тонн,регионы,,232.3686
2013,млн.тонн,регионы,,251.3166
2014,млн.тонн,регионы,,282.066
2015,млн.тонн,регионы,,298.0711
2016,млн.тонн,регионы,,335.4689
2017,млн.тонн,регионы,,367.48218
2018,млн.тонн,регионы,,397.44738
2010,млн.тонн,регионы,,60.2485
2011,млн.тонн,регионы,,73.79469999999998
2012,млн.тонн,регионы,,81.469
2013,млн.тонн,регионы,,85.4807
2014,млн.тонн,регионы,,85.5305
2015,млн.тонн,регионы,,85.31269999999998
2016,млн.тонн,регионы,,84.8014
2017,млн.тонн,регионы,,88.77477999999998
2018,млн.тонн,регионы,,89.28696000000002
2010,млн.тонн,регионы,,1337.6321
2011,млн.тонн,регионы,,1800.5132
2012,млн.тонн,регионы,,2149.8955
2013,млн.тонн,регионы,,2257.6409
2014,млн.тонн,регионы,,2262.5458
2015,млн.тонн,регионы,,2347.3653
2016,млн.тонн,регионы,,2478.4727000000007
2017,млн.тонн,регионы,,2607.55932
2010,млн.тонн,регионы,,798.2521999999999
2011,млн.тонн,регионы,,1044.0959
2012,млн.тонн,регионы,,1166.3121999999996
2013,млн.тонн,регионы,,1194.5999
2014,млн.тонн,регионы,,1195.6337
2015,млн.тонн,регионы,,1240.8
2016,млн.тонн,регионы,,1244.4928
2017,млн.тонн,регионы,,1225.04715
2018,млн.тонн,регионы,,1233.98653
2010,млн.тонн,регионы,Северо-Казахстанская,365.4984
2011,млн.тонн,регионы,Северо-Казахстанская,453.9025
2012,млн.тонн,регионы,Северо-Казахстанская,470.6909
2013,млн.тонн,регионы,Северо-Казахстанская,492.8016
2014,млн.тонн,регионы,Северо-Казахстанская,496.0558
2015,млн.тонн,регионы,Северо-Казахстанская,495.21
2016,млн.тонн,регионы,Северо-Казахстанская,506.7977
2017,млн.тонн,регионы,Северо-Казахстанская,501.64852
2018,млн.тонн,регионы,Северо-Казахстанская,507.39833
2018,млн.тонн,регионы,Туркестанская,820.61421
2010,млн.тонн,регионы,,1272.7242
2011,млн.тонн,регионы,,1419.3384
2012,млн.тонн,регионы,,1459.8789
2013,млн.тонн,регионы,,1606.7478999999996
2014,млн.тонн,регионы,,1654.1839
2015,млн.тонн,регионы,,1680.9931
2016,млн.тонн,регионы,,1705.1507
2017,млн.тонн,регионы,,1709.1577100000002
2018,млн.тонн,регионы,,1714.90865
2010,млн.тонн,регионы,г.Нур-Султан,1408.8999
2011,млн.тонн,регионы,г.Нур-Султан,1647.9137
2012,млн.тонн,регионы,г.Нур-Султан,1750.0521
2013,млн.тонн,регионы,г.Нур-Султан,1961.0055
2014,млн.тонн,регионы,г.Нур-Султан,2180.2918
2015,млн.тонн,регионы,г.Нур-Султан,2279.047
2016,млн.тонн,регионы,г.Нур-Султан,2441.0568
2018,млн.тонн,регионы,г.Нур-Султан,2558.04555
2010,млн.тонн,регионы,г.Алматы,2595.527
2011,млн.тонн,регионы,г.Алматы,3190.5865
2012,млн.тонн,регионы,г.Алматы,3802.7638
2013,млн.тонн,регионы,г.Алматы,4238.8247999999985
2014,млн.тонн,регионы,г.Алматы,4808.5978
2015,млн.тонн,регионы,г.Алматы,4984.7576
2016,млн.тонн,регионы,г.Алматы,4984.2147
2017,млн.тонн,регионы,г.Алматы,5097.16986
2018,млн.тонн,регионы,г.Алматы,5202.37274
2018,млн.тонн,регионы,г.Шымкент,1808.63645
2010,млн.тонн,регионы,"Объем, не распределенный по областям",19.561399999998685
2011,млн.тонн,регионы,"Объем, не распределенный по областям",20.513199999997603
2012,млн.тонн,регионы,"Объем, не распределенный по областям",24.35299999999916
2013,млн.тонн,регионы,"Объем, не распределенный по областям",28.580100000002858
2014,млн.тонн,регионы,"Объем, не распределенный по областям",23.228800000000767
2015,млн.тонн,регионы,"Объем, не распределенный по областям",22.497900000002122
2016,млн.тонн,регионы,"Объем, не распределенный по областям",23.073100000001432
2017,млн.тонн,регионы,"Объем, не распределенный по областям",22.9143
2018,млн.тонн,регионы,"Объем, не распределенный по областям",22.8134
2010,млн.тонн,регионы,,1971.7708100000002
2011,млн.тонн,регионы,,2475.46041
2012,млн.тонн,регионы,,2718.43909
2013,млн.тонн,регионы,,2983.35009
2014,млн.тонн,регионы,,3129.1097
2015,млн.тонн,регионы,,3174.0218
2016,млн.тонн,регионы,,3180.6557000000007
2017,млн.тонн,регионы,,3322.3
2018,млн.тонн,регионы,,3422.27694
2010,млн.тонн,регионы,Акмолинская,95.84779
2011,млн.тонн,регионы,Акмолинская,112.3756
2012,млн.тонн,регионы,Акмолинская,112.59376
2013,млн.тонн,регионы,Акмолинская,121.52507
2014,млн.тонн,регионы,Акмолинская,121.2567
2015,млн.тонн,регионы,Акмолинская,120.29
2016,млн.тонн,регионы,Акмолинская,113.1055
2017,млн.тонн,регионы,Акмолинская,116.1388
2018,млн.тонн,регионы,Акмолинская,126.53205
2010,млн.тонн,регионы,,40.972570000000005
2011,млн.тонн,регионы,,54.52478000000001
2012,млн.тонн,регионы,,58.05049
2013,млн.тонн,регионы,,62.17330000000001
2014,млн.тонн,регионы,,63.6389
2015,млн.тонн,регионы,,70.0716
2016,млн.тонн,регионы,,76.3227
2017,млн.тонн,регионы,,76.82260000000002
2018,млн.тонн,регионы,,79.12997999999997
2010,млн.тонн,регионы,,116.61975
2011,млн.тонн,регионы,,142.69432999999995
2012,млн.тонн,регионы,,158.06611999999996
2013,млн.тонн,регионы,,159.00998
2014,млн.тонн,регионы,,159.91299999999998
2015,млн.тонн,регионы,,167.2421
2016,млн.тонн,регионы,,178.9613
2017,млн.тонн,регионы,,181.0825
2018,млн.тонн,регионы,,184.52489000000003
2010,млн.тонн,регионы,,52.14737
2011,млн.тонн,регионы,,71.46303
2012,млн.тонн,регионы,,72.35414
2013,млн.тонн,регионы,,82.59600999999998
2014,млн.тонн,регионы,,82.1336
2015,млн.тонн,регионы,,75.7217
2016,млн.тонн,регионы,,74.95530000000002
2017,млн.тонн,регионы,,75.89789999999998
2018,млн.тонн,регионы,,59.85012
2010,млн.тонн,регионы,Западно-Казахстанская,30.02608
2011,млн.тонн,регионы,Западно-Казахстанская,33.808519999999994
2012,млн.тонн,регионы,Западно-Казахстанская,35.67865000000001
2013,млн.тонн,регионы,Западно-Казахстанская,38.78666000000001
2014,млн.тонн,регионы,Западно-Казахстанская,39.8651
2015,млн.тонн,регионы,Западно-Казахстанская,39.4646
2016,млн.тонн,регионы,Западно-Казахстанская,39.4086
2017,млн.тонн,регионы,Западно-Казахстанская,39.257
2018,млн.тонн,регионы,Западно-Казахстанская,39.46102
2010,млн.тонн,регионы,,55.95452
2011,млн.тонн,регионы,,70.45801999999999
2012,млн.тонн,регионы,,80.38894
2013,млн.тонн,регионы,,88.36992
2014,млн.тонн,регионы,,88.9071
2015,млн.тонн,регионы,,91.3309
2016,млн.тонн,регионы,,91.2506
2017,млн.тонн,регионы,,100.1437
2018,млн.тонн,регионы,,103.47243
2010,млн.тонн,регионы,,443.96474000000006
2011,млн.тонн,регионы,,551.1137
2012,млн.тонн,регионы,,619.68872
2013,млн.тонн,регионы,,676.6548799999999
2014,млн.тонн,регионы,,719.1646
2015,млн.тонн,регионы,,709.863
2016,млн.тонн,регионы,,727.4763
2017,млн.тонн,регионы,,795.5184
2018,млн.тонн,регионы,,825.63185
2010,млн.тонн,регионы,,221.50981000000002
2011,млн.тонн,регионы,,268.02796
2012,млн.тонн,регионы,,275.56246000000004
2013,млн.тонн,регионы,,299.65301
2014,млн.тонн,регионы,,297.3363
2015,млн.тонн,регионы,,294.8958
2016,млн.тонн,регионы,,277.25890000000004
2017,млн.тонн,регионы,,291.5305
2018,млн.тонн,регионы,,297.05127999999996
2010,млн.тонн,регионы,,66.32433999999999
2011,млн.тонн,регионы,,95.51799
2012,млн.тонн,регионы,,98.38552
2013,млн.тонн,регионы,,106.13531
2014,млн.тонн,регионы,,107.1732
2015,млн.тонн,регионы,,108.6799
2016,млн.тонн,регионы,,104.2945
2017,млн.тонн,регионы,,104.6007
2018,млн.тонн,регионы,,104.54127
2010,млн.тонн,регионы,,136.89491
2011,млн.тонн,регионы,,182.02755
2012,млн.тонн,регионы,,203.68565
2013,млн.тонн,регионы,,211.08514
2014,млн.тонн,регионы,,213.995
2015,млн.тонн,регионы,,225.3372
2016,млн.тонн,регионы,,216.3514
2017,млн.тонн,регионы,,236.4546
2018,млн.тонн,регионы,,236.09535
2010,млн.тонн,регионы,,77.46876999999999
2011,млн.тонн,регионы,,106.50418
2012,млн.тонн,регионы,,123.84784
2013,млн.тонн,регионы,,133.03631000000001
2014,млн.тонн,регионы,,145.40779999999995
2015,млн.тонн,регионы,,154.9654
2016,млн.тонн,регионы,,158.74620000000004
2010,млн.тонн,регионы,,57.84632
2011,млн.тонн,регионы,,70.22057000000001
2012,млн.тонн,регионы,,76.59103
2013,млн.тонн,регионы,,83.25099
2014,млн.тонн,регионы,,91.8034
2015,млн.тонн,регионы,,93.554
2016,млн.тонн,регионы,,97.68
2017,млн.тонн,регионы,,88.61210000000001
2018,млн.тонн,регионы,,90.44709
2010,млн.тонн,регионы,Северо-Казахстанская,39.99885
2011,млн.тонн,регионы,Северо-Казахстанская,46.00747
2012,млн.тонн,регионы,Северо-Казахстанская,46.09193
2013,млн.тонн,регионы,Северо-Казахстанская,49.26606
2014,млн.тонн,регионы,Северо-Казахстанская,49.89440000000001
2015,млн.тонн,регионы,Северо-Казахстанская,49.6684
2016,млн.тонн,регионы,Северо-Казахстанская,48.1812
2017,млн.тонн,регионы,Северо-Казахстанская,51.363
2018,млн.тонн,регионы,Северо-Казахстанская,51.46394
2018,млн.тонн,регионы,Туркестанская,70.98138
2010,млн.тонн,регионы,,327.07152
2011,млн.тонн,регионы,,417.93773
2012,млн.тонн,регионы,,476.57967
2013,млн.тонн,регионы,,553.30106
2014,млн.тонн,регионы,,595.1364
2015,млн.тонн,регионы,,598.3322
2016,млн.тонн,регионы,,581.861
2017,млн.тонн,регионы,,600.2448
2018,млн.тонн,регионы,,627.92383
2010,млн.тонн,регионы,г.Нур-Султан,66.7086
2011,млн.тонн,регионы,г.Нур-Султан,97.22507
2012,млн.тонн,регионы,г.Нур-Султан,112.58867
2013,млн.тонн,регионы,г.Нур-Султан,124.11701000000001
2014,млн.тонн,регионы,г.Нур-Султан,136.6535
2015,млн.тонн,регионы,г.Нур-Султан,142.5343
2016,млн.тонн,регионы,г.Нур-Султан,142.55360000000005
2018,млн.тонн,регионы,г.Нур-Султан,153.14064000000005
2010,млн.тонн,регионы,г.Алматы,142.41484
2011,млн.тонн,регионы,г.Алматы,155.5539
2012,млн.тонн,регионы,г.Алматы,168.28551000000004
2013,млн.тонн,регионы,г.Алматы,194.38938
2014,млн.тонн,регионы,г.Алматы,216.8306
2015,млн.тонн,регионы,г.Алматы,232.0707
2016,млн.тонн,регионы,г.Алматы,252.2488
2017,млн.тонн,регионы,г.Алматы,254.4981
2018,млн.тонн,регионы,г.Алматы,255.7115
2018,млн.тонн,регионы,г.Шымкент,116.31831000000001
2010,млн.тонн,регионы,,28869.7
2011,млн.тонн,регионы,,31554.9
2012,млн.тонн,регионы,,21954.2
2013,млн.тонн,регионы,,23873.5
2014,млн.тонн,регионы,,19082.4
2015,млн.тонн,регионы,,17178.2
2016,млн.тонн,регионы,,18015.9
2017,млн.тонн,регионы,,22449.9
2018,млн.тонн,регионы,,29135.5
2012,млн.тонн,регионы,Западно-Казахстанская,183.0
2013,млн.тонн,регионы,Западно-Казахстанская,227.2
2014,млн.тонн,регионы,Западно-Казахстанская,239.4
2015,млн.тонн,регионы,Западно-Казахстанская,131.0
2018,млн.тонн,регионы,Западно-Казахстанская,793.0
2010,млн.тонн,регионы,Карагандинская,9.2
2011,млн.тонн,регионы,Карагандинская,6.6
2010,млн.тонн,,Южно-Казахстанская,737.0
2011,млн.тонн,,Южно-Казахстанская,583.0
2012,млн.тонн,,Южно-Казахстанская,768.0
2010,млн.тонн,,Восточно-Казахстанская,32.5
2011,млн.тонн,,Восточно-Казахстанская,44.0
2012,млн.тонн,,Восточно-Казахстанская,5.8
2013,млн.тонн,,Восточно-Казахстанская,1062.0
2014,млн.тонн,,Восточно-Казахстанская,978.0
2010,млн.тонн,,г.Алматы,28091.0
2011,млн.тонн,,г.Алматы,30921.3
2012,млн.тонн,,г.Алматы,20997.4
2013,млн.тонн,,г.Алматы,22584.3
2014,млн.тонн,,г.Алматы,17865.0
2015,млн.тонн,,г.Алматы,15956.2
2016,млн.тонн,,г.Алматы,16810.9
2017,млн.тонн,,г.Алматы,20345.2
2018,млн.тонн,,г.Алматы,25651.2
2018,млн.тонн,,г.Шымкент,2691.3
2010,млн.тонн,,г.Нур-Султан,3379.2
2011,млн.тонн,,г.Нур-Султан,4131.3
2012,млн.тонн,,г.Нур-Султан,4512.0
2013,млн.тонн,,г.Нур-Султан,4985.6
2014,млн.тонн,,г.Нур-Султан,5434.6
2015,млн.тонн,,г.Нур-Султан,5922.8
2016,млн.тонн,,г.Нур-Султан,6021.7
2017,млн.тонн,,г.Нур-Султан,7363.73
2018,млн.тонн,,г.Нур-Султан,7858.53
2010,млн.тонн,регионы,Алматинская,29.3
2011,млн.тонн,регионы,Алматинская,27.8
2012,млн.тонн,регионы,Алматинская,30.0
2013,млн.тонн,регионы,Алматинская,25.5
2014,млн.тонн,регионы,Алматинская,28.5
2015,млн.тонн,регионы,Алматинская,25.2
2016,млн.тонн,регионы,Алматинская,16.2
2017,млн.тонн,регионы,Алматинская,10.56
2018,млн.тонн,регионы,Алматинская,7.6
2010,млн.тонн,регионы,Атырауская,4.7
2011,млн.тонн,регионы,Атырауская,0.8
2012,млн.тонн,регионы,Атырауская,0.4
2015,млн.тонн,регионы,Атырауская,4.3
2016,млн.тонн,регионы,Атырауская,0.1
2017,млн.тонн,регионы,Атырауская,0.16
2018,млн.тонн,регионы,Атырауская,0.01
2010,млн.тонн,регионы,Карагандинская,18.8
2011,млн.тонн,регионы,Карагандинская,12.2
2012,млн.тонн,регионы,Карагандинская,59.7
2013,млн.тонн,регионы,Карагандинская,10.0
2014,млн.тонн,регионы,Карагандинская,8.5
2018,млн.тонн,регионы,Карагандинская,7.95
2012,млн.тонн,регионы,Западно-Казахстанская,7.2
2013,млн.тонн,регионы,Западно-Казахстанская,140.1
2014,млн.тонн,регионы,Западно-Казахстанская,354.7
2015,млн.тонн,регионы,Западно-Казахстанская,332.4
2018,млн.тонн,регионы,Западно-Казахстанская,910.11
2011,млн.тонн,регионы,Мангистауская,23.8
2010,млн.тонн,регионы,Южно-Казахстанская,668.5
2011,млн.тонн,регионы,Южно-Казахстанская,900.2
2012,млн.тонн,регионы,Южно-Казахстанская,1095.8
2013,млн.тонн,регионы,Южно-Казахстанская,1109.6
2014,млн.тонн,регионы,Южно-Казахстанская,1254.7
2015,млн.тонн,регионы,Южно-Казахстанская,1224.7
2016,млн.тонн,регионы,Южно-Казахстанская,1288.9
2017,млн.тонн,регионы,Южно-Казахстанская,1931.83
2010,млн.тонн,регионы,Павлодарская,4.0
2011,млн.тонн,регионы,Павлодарская,0.8
2010,млн.тонн,регионы,Восточно-Казахстанская,16.1
2011,млн.тонн,регионы,Восточно-Казахстанская,17.2
2012,млн.тонн,регионы,Восточно-Казахстанская,5.1
2010,млн.тонн,регионы,г.Нур-Султан,14.8
2011,млн.тонн,регионы,г.Нур-Султан,24.2
2012,млн.тонн,регионы,г.Нур-Султан,5.5
2013,млн.тонн,регионы,г.Нур-Султан,1.3
2014,млн.тонн,регионы,г.Нур-Султан,1.4
2015,млн.тонн,регионы,г.Нур-Султан,5.2
2016,млн.тонн,регионы,г.Нур-Султан,34.6
2017,млн.тонн,регионы,г.Нур-Султан,33.15
2018,млн.тонн,регионы,г.Нур-Султан,31.08
2010,млн.тонн,регионы,г.Алматы,2623.1
2011,млн.тонн,регионы,г.Алматы,3124.3
2012,млн.тонн,регионы,г.Алматы,3308.3
2013,млн.тонн,регионы,г.Алматы,3699.1
2014,млн.тонн,регионы,г.Алматы,3786.8
2015,млн.тонн,регионы,г.Алматы,4324.4
2016,млн.тонн,регионы,г.Алматы,3945.5
2017,млн.тонн,регионы,г.Алматы,4467.04
2018,млн.тонн,регионы,г.Алматы,4694.37
2018,млн.тонн,регионы,г.Шымкент,2207.41
2010,млн.тонн,регионы,,193.9595
2011,млн.тонн,регионы,,214.079
2012,млн.тонн,регионы,,213.2221
2013,млн.тонн,регионы,,225.9157
2014,млн.тонн,регионы,,225.0191
2015,млн.тонн,регионы,,214.643
2016,млн.тонн,регионы,,205.8276
2017,млн.тонн,регионы,,232.81463
