Year,Units,Регионы,гражданство,Value
2010,процент,,,269.2164691179705
2011,процент,,,235.51974160119775
2012,процент,,,230.07333250715274
2013,процент,,,177.80470914127426
2014,процент,,,156.74794896313577
2015,процент,,,174.12225522366765
2016,процент,,,169.66000261500096
2017,процент,,,157.93278417541129
2010,процент,,,329.69823928618536
2011,процент,,,337.20800711956366
2012,процент,,,307.7990087943652
2013,процент,,,286.52246797363983
2014,процент,,,271.8005564249696
2015,процент,,,268.7618054084938
2016,процент,,,248.7976238515621
2017,процент,,,250.42557020380013
2010,процент,,,784.2384836356464
2011,процент,,,645.3772959508233
2012,процент,,,593.8378794521134
2013,процент,,,551.8888712840703
2014,процент,,,530.1224623982905
2015,процент,,,530.5113352720704
2016,процент,,,500.1293210381576
2017,процент,,,490.6886243982978
2010,процент,Северо-Казахстанская,,688.2014393357538
2011,процент,Северо-Казахстанская,,855.7849013631187
2012,процент,Северо-Казахстанская,,855.8865189708048
2013,процент,Северо-Казахстанская,,826.8982489417157
2014,процент,Северо-Казахстанская,,728.0178850540264
2015,процент,Северо-Казахстанская,,651.466939542186
2016,процент,Северо-Казахстанская,,608.7065515396849
2017,процент,Северо-Казахстанская,,574.2884243707967
2010,процент,,,731.4337704101922
2011,процент,,,720.193560074726
2012,процент,,,585.4876506205524
2013,процент,,,627.3722805739088
2014,процент,,,539.024622793881
2015,процент,,,513.9201944198857
2016,процент,,,472.93426019928285
2017,процент,,,463.9531214784764
2010,процент,г.Нур-Султан,,284.62899442477755
2011,процент,г.Нур-Султан,,273.4665250029514
2012,процент,г.Нур-Султан,,255.61928505495027
2013,процент,г.Нур-Султан,,246.26953767635086
2014,процент,г.Нур-Султан,,249.51686098192084
2015,процент,г.Нур-Султан,,282.2553535784415
2016,процент,г.Нур-Султан,,270.2034817555748
2017,процент,г.Нур-Султан,,225.31789122801246
2010,процент,г.Алматы,,621.9500799283247
2011,процент,г.Алматы,,571.5247904117982
2012,процент,г.Алматы,,521.9864209664546
2013,процент,г.Алматы,,421.02820224915047
2014,процент,г.Алматы,,350.94035756041285
2015,процент,г.Алматы,,322.46778760903175
2016,процент,г.Алматы,,359.922804201647
2017,процент,г.Алматы,,361.6640599647455
2010,процент,Республика Казахстан,,595.9240717784014
2011,процент,Республика Казахстан,,562.0871328418519
2012,процент,Республика Казахстан,,522.5636326354843
2013,процент,Республика Казахстан,,462.9145176700935
2014,процент,Республика Казахстан,,417.18472699345114
2015,процент,Республика Казахстан,,414.9330822405642
2016,процент,Республика Казахстан,,406.1781512870162
2017,процент,Республика Казахстан,,386.1669565844862
2010,процент,Акмолинская,,769.8710553600374
2011,процент,Акмолинская,,764.6618651201945
2012,процент,Акмолинская,,651.2834715682988
2013,процент,Акмолинская,,554.5452439419913
2014,процент,Акмолинская,,531.3137835999031
2015,процент,Акмолинская,,580.8926679836239
2016,процент,Акмолинская,,554.9205623499829
2017,процент,Акмолинская,,530.6264690824034
2010,процент,,,448.5131872627342
2011,процент,,,430.23881161063383
2012,процент,,,442.58309451475753
2013,процент,,,398.79210258234565
2014,процент,,,371.6860798015561
2015,процент,,,387.6630122966708
2016,процент,,,377.4108136650445
2017,процент,,,323.3030766716682
2010,процент,,,689.7708884966166
2011,процент,,,647.2755767841412
2012,процент,,,609.8880384760383
2013,процент,,,548.3017814311688
2014,процент,,,511.84358323424254
2015,процент,,,482.2934880771669
2016,процент,,,442.61823595591164
2017,процент,,,437.37037182866567
2010,процент,,,309.9087025714046
2011,процент,,,371.78331675783187
2012,процент,,,374.0289995386094
2013,процент,,,342.71872691616886
2014,процент,,,325.4684632921246
2015,процент,,,323.81491987104783
2016,процент,,,327.17916623205036
2017,процент,,,293.5251211980173
2010,процент,Западно-Казахстанская,,759.2792076722759
2011,процент,Западно-Казахстанская,,612.4499701950098
2012,процент,Западно-Казахстанская,,623.1090140882617
2013,процент,Западно-Казахстанская,,542.1297768221493
2014,процент,Западно-Казахстанская,,510.088781275222
2015,процент,Западно-Казахстанская,,468.4398570861453
2016,процент,Западно-Казахстанская,,471.48644437519476
2017,процент,Западно-Казахстанская,,425.396699906802
2010,процент,,,528.7992769043535
2011,процент,,,520.0233856670478
2012,процент,,,514.3238970034633
2013,процент,,,514.4154338514513
2014,процент,,,485.7107757267462
2015,процент,,,428.3792871553464
2016,процент,,,416.1749315282015
2017,процент,,,431.3090992559582
2010,процент,,,841.513659861928
2011,процент,,,766.2017985638672
2012,процент,,,725.1564260643493
2013,процент,,,587.8186308774873
2014,процент,,,500.3527773365496
2015,процент,,,558.3713132618678
2016,процент,,,520.3986807820556
2017,процент,,,499.2245409136583
2010,процент,,,723.5268315403433
2011,процент,,,697.0418989390398
2012,процент,,,640.9099316526161
2013,процент,,,534.1300018106102
2014,процент,,,483.86991024147596
2015,процент,,,520.8939713422075
2016,процент,,,518.5343446213011
2017,процент,,,485.20589384952666
2010,процент,,,375.9603706382457
2011,процент,,,307.77877396994467
2012,процент,,,367.63023913938576
2013,процент,,,302.87459587465014
2014,процент,,,286.4231083296453
2015,процент,,,289.36924791323173
2016,процент,,,309.84904865964336
2017,процент,,,270.74472266133324
2010,процент,,,323.8691172640945
2011,процент,,,275.3902257984703
2012,процент,,,270.6811263986069
2013,процент,,,215.8838152557896
2014,процент,,,199.20957631437335
2015,процент,,,224.94895104117643
2016,процент,,,230.04531195538516
2017,процент,,,205.61361896491903
2010,процент,,,355.21807945825736
2011,процент,,,366.98384720252267
2012,процент,,,331.8427252571757
2013,процент,,,310.5757218359567
2014,процент,,,300.7459085521812
2015,процент,,,292.90857102121964
2016,процент,,,282.4232425878435
2017,процент,,,275.9135425482148
2010,процент,,,760.2864006709332
2011,процент,,,642.8355693255
2012,процент,,,599.7091497762467
2013,процент,,,555.5395807573972
2014,процент,,,530.0795498494696
2015,процент,,,541.478940189311
2016,процент,,,526.5629004169481
2017,процент,,,519.0564108709737
2010,процент,Северо-Казахстанская,,732.6483539526106
2011,процент,Северо-Казахстанская,,919.2031338374844
2012,процент,Северо-Казахстанская,,919.6354944976747
2013,процент,Северо-Казахстанская,,889.6619451056108
2014,процент,Северо-Казахстанская,,737.9769196480164
2015,процент,Северо-Казахстанская,,720.8949825871761
2016,процент,Северо-Казахстанская,,658.7319109648155
2017,процент,Северо-Казахстанская,,618.2825263199992
2010,процент,,,773.312533094577
2011,процент,,,752.4552014468868
2012,процент,,,627.4638956340508
2013,процент,,,643.4813181661698
2014,процент,,,569.6817781828847
2015,процент,,,528.385544718008
2016,процент,,,505.7654151540888
2017,процент,,,496.69552576147805
2010,процент,г.Нур-Султан,,284.62899442477755
2011,процент,г.Нур-Султан,,273.4665250029514
2012,процент,г.Нур-Султан,,255.61928505495027
2013,процент,г.Нур-Султан,,246.26953767635086
2014,процент,г.Нур-Султан,,249.51686098192084
2015,процент,г.Нур-Султан,,282.2553535784415
2016,процент,г.Нур-Султан,,270.2034817555748
2017,процент,г.Нур-Султан,,225.31789122801246
2010,процент,г.Алматы,,621.9500799283247
2011,процент,г.Алматы,,571.5247904117982
2012,процент,г.Алматы,,521.9864209664546
2013,процент,г.Алматы,,421.02820224915047
2014,процент,г.Алматы,,350.94035756041285
2015,процент,г.Алматы,,322.46778760903175
2016,процент,г.Алматы,,359.922804201647
2017,процент,г.Алматы,,361.6640599647455
2010,процент,Республика Казахстан,,488.42433254443284
2011,процент,Республика Казахстан,,474.6839026445058
2012,процент,Республика Казахстан,,425.44966111865233
2013,процент,Республика Казахстан,,395.633912065988
2014,процент,Республика Казахстан,,359.9118513887065
2015,процент,Республика Казахстан,,353.0136376693369
2016,процент,Республика Казахстан,,323.36040746469683
2017,процент,Республика Казахстан,,309.80450806926257
2010,процент,Акмолинская,,574.2535342114734
2011,процент,Акмолинская,,592.9866642065664
2012,процент,Акмолинская,,545.1475188205692
2013,процент,Акмолинская,,456.4601323862964
2014,процент,Акмолинская,,424.70645666863646
2015,процент,Акмолинская,,514.8261758691207
2016,процент,Акмолинская,,418.0425951509113
2017,процент,Акмолинская,,390.6194605841759
2010,процент,,,424.4138369621609
2011,процент,,,396.86635392355004
2012,процент,,,375.52091575671255
2013,процент,,,362.05977561394167
2014,процент,,,321.17642520029324
2015,процент,,,319.084311155162
2016,процент,,,311.701225769851
2017,процент,,,306.861107829269
2010,процент,,,522.1810711475232
2011,процент,,,466.6480826235517
2012,процент,,,439.73453713986015
2013,процент,,,405.07187047231247
2014,процент,,,368.8955727837938
2015,процент,,,344.1919400299932
2016,процент,,,317.3571658269911
2017,процент,,,300.77781508827997
2010,процент,,,281.37248858737235
2011,процент,,,381.66576218902634
2012,процент,,,335.13547693572355
2013,процент,,,311.7113939163705
2014,процент,,,308.3534255113254
2015,процент,,,256.8856017884932
2016,процент,,,291.63077119428226
2017,процент,,,273.08003309492267
2010,процент,Западно-Казахстанская,,634.6223120174161
2011,процент,Западно-Казахстанская,,534.8977382819527
2012,процент,Западно-Казахстанская,,498.33359784161246
2013,процент,Западно-Казахстанская,,476.5417947735556
2014,процент,Западно-Казахстанская,,415.353586285138
2015,процент,Западно-Казахстанская,,400.4481504379509
2016,процент,Западно-Казахстанская,,390.4556677325929
2017,процент,Западно-Казахстанская,,409.4500176022278
2010,процент,,,395.5705151304105
2011,процент,,,416.1893852615502
2012,процент,,,346.67126595377715
2013,процент,,,324.8384335810065
2014,процент,,,295.6124485516217
2015,процент,,,305.5340848175983
2016,процент,,,280.89972256445634
2017,процент,,,259.4508092163257
2010,процент,,,701.9347728204406
2011,процент,,,641.7868536881599
2012,процент,,,530.6687852675751
2013,процент,,,400.998404190024
2014,процент,,,397.17715612910314
2015,процент,,,477.503693733283
2016,процент,,,460.2449048058375
2017,процент,,,402.0466543848545
2010,процент,,,609.4416896276795
2011,процент,,,624.6486064736727
2012,процент,,,567.1024889884701
2013,процент,,,519.1088164318985
2014,процент,,,487.3650895548103
2015,процент,,,467.9256093776112
2016,процент,,,432.00619225001213
2017,процент,,,399.71663165558937
2010,процент,,,425.99808288413897
2011,процент,,,378.8724070536479
2012,процент,,,330.3679965972338
2013,процент,,,293.6567288593353
2014,процент,,,276.37423327301354
2015,процент,,,274.8473910443037
2016,процент,,,281.58642457026815
2017,процент,,,264.82660874687093
2010,процент,,,207.4069157761997
2011,процент,,,192.10495490219049
2012,процент,,,187.5399901449574
2013,процент,,,139.29225604702506
2014,процент,,,119.10478693828034
2015,процент,,,134.59415682669058
2016,процент,,,124.22566005234043
2017,процент,,,123.68551178506675
2010,процент,,,313.17007658945005
2011,процент,,,318.02265705458285
2012,процент,,,292.3438275840907
2013,процент,,,271.0555317734282
2014,процент,,,250.86967947481534
2015,процент,,,249.11752083604512
2016,процент,,,221.16819102001088
2017,процент,,,229.1468325000482
2010,процент,,,836.2591765081391
2011,процент,,,650.9635974304067
2012,процент,,,580.7556727230365
2013,процент,,,543.5872398671328
2014,процент,,,530.2222261399999
2015,процент,,,504.5610541102832
2016,процент,,,436.81817163594
2017,процент,,,422.39457603891253
2010,процент,Северо-Казахстанская,,658.1484506147634
2011,процент,Северо-Казахстанская,,812.2767029498924
2012,процент,Северо-Казахстанская,,811.4643401966533
2013,процент,Северо-Казахстанская,,782.2083162965993
2014,процент,Северо-Казахстанская,,720.7413684435907
2015,процент,Северо-Казахстанская,,598.8374421262425
2016,процент,Северо-Казахстанская,,569.4351656939734
2017,процент,Северо-Казахстанская,,538.8962439736118
2010,процент,,,674.3566992014197
2011,процент,,,675.6411174418722
2012,процент,,,526.6764460789377
2013,процент,,,604.4271331443774
2014,процент,,,494.6438441494635
2015,процент,,,492.5855064959936
2016,процент,,,423.4702967891485
2017,процент,,,413.33240298348505
2010,процент,Республика Казахстан,,594.4985934589901
2011,процент,Республика Казахстан,,565.27541957558
2012,процент,Республика Казахстан,,529.2497162154406
2013,процент,Республика Казахстан,,472.4172704204223
2014,процент,Республика Казахстан,,427.9987068888592
2015,процент,Республика Казахстан,,422.30854533986684
2016,процент,Республика Казахстан,,415.437798273799
2017,процент,Республика Казахстан,,394.12507806668617
2010,процент,Акмолинская,,777.2313605788254
2011,процент,Акмолинская,,753.6159699798792
2012,процент,Акмолинская,,692.9732512325024
2013,процент,Акмолинская,,589.1045272781622
2014,процент,Акмолинская,,554.7116736990155
2015,процент,Акмолинская,,602.938381206883
2016,процент,Акмолинская,,568.9239952226047
2017,процент,Акмолинская,,527.9308503107167
2010,процент,,,489.2573752717349
2011,процент,,,465.08290434972105
2012,процент,,,466.8384618210637
2013,процент,,,434.71631013209486
2014,процент,,,400.2336389262768
2015,процент,,,391.863035252688
2016,процент,,,392.08447168278815
2017,процент,,,366.1750360351177
2010,процент,,,588.3432636180087
2011,процент,,,544.5561086699148
2012,процент,,,524.7569513395666
2013,процент,,,474.798291016232
2014,процент,,,431.6869544099472
2015,процент,,,413.6609996124882
2016,процент,,,397.3195386632799
2017,процент,,,382.03958537319704
2010,процент,,,383.66495071321333
2011,процент,,,417.6808083262769
2012,процент,,,388.555805677521
2013,процент,,,363.0778838368618
2014,процент,,,334.02478591564284
2015,процент,,,316.09304837643117
2016,процент,,,347.12002029941635
2017,процент,,,301.414597267417
2010,процент,Западно-Казахстанская,,734.7885430456779
2011,процент,Западно-Казахстанская,,622.6214604105771
2012,процент,Западно-Казахстанская,,600.2061313986621
2013,процент,Западно-Казахстанская,,532.0710406575664
2014,процент,Западно-Казахстанская,,478.7105847862474
2015,процент,Западно-Казахстанская,,459.65070466707175
2016,процент,Западно-Казахстанская,,496.39836130293236
2017,процент,Западно-Казахстанская,,466.7021638301011
2010,процент,,,518.344217641455
2011,процент,,,493.91327389488123
2012,процент,,,465.88122144746336
2013,процент,,,442.96788482835
2014,процент,,,401.1289930652909
2015,процент,,,384.66647479466013
2016,процент,,,383.4221155534742
2017,процент,,,369.1310934643208
2010,процент,,,843.0774445009323
2011,процент,,,795.7020836393526
2012,процент,,,732.0671559564495
2013,процент,,,595.8419617093709
2014,процент,,,509.13345701155447
2015,процент,,,566.7144028690682
2016,процент,,,547.0376044483237
2017,процент,,,509.0302081098149
2010,процент,,,764.9138991389914
2011,процент,,,726.5052905660194
2012,процент,,,687.6095456383982
2013,процент,,,592.1343774652222
2014,процент,,,521.7153192623925
2015,процент,,,551.1727998619672
2016,процент,,,533.9711588468332
2017,процент,,,509.3819595091848
2010,процент,,,435.65431927568136
2011,процент,,,380.3295054581964
2012,процент,,,394.50694977687266
2013,процент,,,341.85700438243214
2014,процент,,,322.91546534425095
2015,процент,,,328.4886096706414
2016,процент,,,326.74896477505786
2017,процент,,,301.31072732919097
2010,процент,,,329.3442590736702
2011,процент,,,274.71699250840356
2012,процент,,,273.90122911819725
2013,процент,,,209.58584999093304
2014,процент,,,203.5788075809512
2015,процент,,,207.30455189947685
2016,процент,,,202.84296600086068
2017,процент,,,186.44010342032848
2010,процент,,,357.43004213450683
2011,процент,,,362.445561112933
2012,процент,,,327.3680114468387
2013,процент,,,301.1350302289803
2014,процент,,,289.0907286662425
2015,процент,,,284.9534564103444
2016,процент,,,271.281499206477
2017,процент,,,267.67034393251134
2010,процент,,,842.6108957518603
2011,процент,,,721.6054654141759
2012,процент,,,694.3418945168289
2013,процент,,,625.6378650849969
2014,процент,,,592.7975658179648
2015,процент,,,597.1143671371542
2016,процент,,,541.2988377584584
2017,процент,,,540.582889376371
2010,процент,Северо-Казахстанская,,842.2474146202777
2011,процент,Северо-Казахстанская,,917.8975706501893
2012,процент,Северо-Казахстанская,,910.8789404355908
2013,процент,Северо-Казахстанская,,891.2610635545801
2014,процент,Северо-Казахстанская,,773.5267333033432
2015,процент,Северо-Казахстанская,,691.6523950577357
2016,процент,Северо-Казахстанская,,680.274625275587
2017,процент,Северо-Казахстанская,,677.1044267474912
2010,процент,,,816.124868008598
2011,процент,,,799.4900142868338
2012,процент,,,700.4841848047423
2013,процент,,,689.0529706643501
2014,процент,,,603.615668398528
2015,процент,,,571.3296919905506
2016,процент,,,576.2837534397689
2017,процент,,,545.1219678252463
2010,процент,г.Нур-Султан,,290.70210812410204
2011,процент,г.Нур-Султан,,306.2466875796772
2012,процент,г.Нур-Султан,,291.13586521769884
2013,процент,г.Нур-Султан,,265.6059770449839
2014,процент,г.Нур-Султан,,285.58078033891906
2015,процент,г.Нур-Султан,,305.92577995453166
2016,процент,г.Нур-Султан,,297.4497561721386
2017,процент,г.Нур-Султан,,245.62493528010768
2010,процент,г.Алматы,,622.9001833982544
2011,процент,г.Алматы,,594.0563772349765
2012,процент,г.Алматы,,556.3059007143286
2013,процент,г.Алматы,,455.74517132397216
2014,процент,г.Алматы,,399.53708026677305
2015,процент,г.Алматы,,362.92537469592736
2016,процент,г.Алматы,,395.8856262870082
2017,процент,г.Алматы,,396.1933398852087
2010,процент,Республика Казахстан,,644.9371854802953
2011,процент,Республика Казахстан,,617.2138893772055
2012,процент,Республика Казахстан,,584.2992573694028
2013,процент,Республика Казахстан,,507.6300765003589
2014,процент,Республика Казахстан,,458.7977429768703
2015,процент,Республика Казахстан,,456.50013000367005
2016,процент,Республика Казахстан,,456.72200786758333
2017,процент,Республика Казахстан,,428.20852681088775
2010,процент,Акмолинская,,901.8537757694859
2011,процент,Акмолинская,,866.3366336633666
2012,процент,Акмолинская,,769.1062176165802
2013,процент,Акмолинская,,664.2915460550731
2014,процент,Акмолинская,,618.0743659197243
2015,процент,Акмолинская,,651.6985695613403
2016,процент,Акмолинская,,639.1215426567977
2017,процент,Акмолинская,,617.9787276226731
2010,процент,,,495.18569463548835
2011,процент,,,487.2489210285679
2012,процент,,,499.82149232416987
2013,процент,,,453.7002921847018
2014,процент,,,418.69588177604174
2015,процент,,,421.640385780485
2016,процент,,,418.3882434506609
2017,процент,,,378.25688576328787
2010,процент,,,736.9328862962462
2011,процент,,,738.0425661759098
2012,процент,,,696.1775909628267
2013,процент,,,592.8178020921894
2014,процент,,,564.1450634069699
2015,процент,,,553.3494204604979
2016,процент,,,518.5729722069686
2017,процент,,,497.53679235626834
2010,процент,,,415.6943433785829
2011,процент,,,419.2923322423592
2012,процент,,,417.5646551724138
2013,процент,,,395.21654409453765
2014,процент,,,343.1277413344719
2015,процент,,,356.15205818399943
2016,процент,,,384.60422048706863
2017,процент,,,308.7283013924638
2010,процент,Западно-Казахстанская,,813.509368139304
2011,процент,Западно-Казахстанская,,679.0559430269858
2012,процент,Западно-Казахстанская,,689.7496144032982
2013,процент,Западно-Казахстанская,,583.340421309291
2014,процент,Западно-Казахстанская,,526.3855094087052
2015,процент,Западно-Казахстанская,,500.7511266900351
2016,процент,Западно-Казахстанская,,552.0695876982738
2017,процент,Западно-Казахстанская,,475.2680347830648
2010,процент,,,615.1191130981516
2011,процент,,,571.5720743345053
2012,процент,,,569.5379417905316
2013,процент,,,564.3794275860042
2014,процент,,,506.17319591597135
2015,процент,,,469.61025189477334
2016,процент,,,483.7861195656258
2017,процент,,,488.7772312845736
2010,процент,,,873.8552025820403
2011,процент,,,831.4739747425543
2012,процент,,,787.1102358702291
2013,процент,,,641.1556056953248
2014,процент,,,541.5496191856478
2015,процент,,,586.9600745071092
2016,процент,,,571.2316914174297
2017,процент,,,530.0960933500588
2010,процент,,,839.0159774808708
2011,процент,,,799.7204669383258
2012,процент,,,759.6442641494714
2013,процент,,,613.5087871849125
2014,процент,,,528.9791705491922
2015,процент,,,577.7053749670422
2016,процент,,,583.4653742194054
2017,процент,,,549.997453715492
2010,процент,,,404.36092020189966
2011,процент,,,344.9484295226381
2012,процент,,,440.9892098384827
2013,процент,,,361.0226358576577
2014,процент,,,332.40184256530006
2015,процент,,,341.5767181308922
2016,процент,,,346.8201082903345
2017,процент,,,312.92015181981515
2010,процент,,,388.3788582870528
2011,процент,,,326.5805614531729
2012,процент,,,313.63105452133414
2013,процент,,,250.22265575300054
2014,процент,,,259.11223385059543
2015,процент,,,255.0530066683424
2016,процент,,,269.8078441695183
2017,процент,,,233.011416093908
2010,процент,,,393.0010763723748
2011,процент,,,400.3361351410479
2012,процент,,,357.16358092006135
2013,процент,,,323.1953297101024
2014,процент,,,320.3683344944755
2015,процент,,,317.0052291201721
2016,процент,,,316.5353076984317
2017,процент,,,294.51489311796666
2010,процент,,,825.2027842069145
2011,процент,,,733.1067623801814
2012,процент,,,704.421052631579
2013,процент,,,637.1523581721352
2014,процент,,,581.5342289729249
2015,процент,,,608.9652078149855
2016,процент,,,560.31387314429
2017,процент,,,574.9574969669673
2010,процент,Северо-Казахстанская,,939.337178464791
2011,процент,Северо-Казахстанская,,1012.4870312731584
2012,процент,Северо-Казахстанская,,1023.4581039189377
2013,процент,Северо-Казахстанская,,951.513311063873
2014,процент,Северо-Казахстанская,,810.0637651544866
2015,процент,Северо-Казахстанская,,776.5980342922736
2016,процент,Северо-Казахстанская,,743.2444389389301
2017,процент,Северо-Казахстанская,,725.8249211634338
2010,процент,,,856.6288103908452
2011,процент,,,847.2298379726692
2012,процент,,,749.6043457804013
2013,процент,,,705.3185476488055
2014,процент,,,634.543818000937
2015,процент,,,611.9813744799071
2016,процент,,,618.988174476968
2017,процент,,,584.4876664612899
2010,процент,г.Нур-Султан,,290.70210812410204
2011,процент,г.Нур-Султан,,306.2466875796772
2012,процент,г.Нур-Султан,,291.13586521769884
2013,процент,г.Нур-Султан,,265.6059770449839
2014,процент,г.Нур-Султан,,285.58078033891906
2015,процент,г.Нур-Султан,,305.92577995453166
2016,процент,г.Нур-Султан,,297.4497561721386
2017,процент,г.Нур-Султан,,245.62493528010768
2010,процент,г.Алматы,,622.9001833982544
2011,процент,г.Алматы,,594.0563772349765
2012,процент,г.Алматы,,556.3059007143286
2013,процент,г.Алматы,,455.74517132397216
2014,процент,г.Алматы,,399.53708026677305
2015,процент,г.Алматы,,362.92537469592736
2016,процент,г.Алматы,,395.8856262870082
2017,процент,г.Алматы,,396.1933398852087
2010,процент,Республика Казахстан,,537.7238985036685
2011,процент,Республика Казахстан,,506.5078962474469
2012,процент,Республика Казахстан,,466.6543196392136
2013,процент,Республика Казахстан,,432.19443355873705
2014,процент,Республика Казахстан,,391.58529441824317
2015,процент,Республика Казахстан,,380.31218770584144
2016,процент,Республика Казахстан,,363.99286996827817
2017,процент,Республика Казахстан,,351.14243025424736
2010,процент,Акмолинская,,674.6101279130892
2011,процент,Акмолинская,,660.361259495602
2012,процент,Акмолинская,,629.6217605571762
2013,процент,Акмолинская,,526.0975483335925
2014,процент,Акмолинская,,501.39852895472916
2015,процент,Акмолинская,,561.7919617362979
2016,процент,Акмолинская,,509.240331420232
2017,процент,Акмолинская,,451.3525011154113
2010,процент,,,480.43695606954265
2011,процент,,,431.6095634539438
2012,процент,,,416.7987740435426
2013,процент,,,405.84997231360535
2014,процент,,,371.8454360322739
2015,процент,,,345.26714965633425
2016,процент,,,350.2146579825339
2017,процент,,,346.486638250083
2010,процент,,,544.7460860590777
2011,процент,,,488.0764332983084
2012,процент,,,474.9441081847429
2013,процент,,,440.688649462894
2014,процент,,,390.22228347595086
2015,процент,,,370.8520954583997
2016,процент,,,360.4523090760734
2017,процент,,,348.0434183181919
2010,процент,,,355.9594264133471
2011,процент,,,416.2723346117994
2012,процент,,,362.9522917045471
2013,процент,,,335.46854223056204
2014,процент,,,326.37075718015666
2015,процент,,,281.7281901858248
2016,процент,,,314.37970222664495
2017,процент,,,294.9999068421347
2010,процент,Западно-Казахстанская,,669.0726502432136
2011,процент,Западно-Казахстанская,,574.2670373242055
2012,процент,Западно-Казахстанская,,521.6500581718852
2013,процент,Западно-Казахстанская,,486.4892115345836
2014,процент,Западно-Казахстанская,,435.82958122734635
2015,процент,Западно-Казахстанская,,422.27780515341095
2016,процент,Западно-Казахстанская,,444.8764439792142
2017,процент,Западно-Казахстанская,,458.4951936514117
2010,процент,,,456.2439690958663
2011,процент,,,444.6948572010645
2012,процент,,,400.70679791720187
2013,процент,,,366.2980998286072
2014,процент,,,334.39704605753826
2015,процент,,,330.42211198074915
2016,процент,,,319.39883506316073
2017,процент,,,293.85661578099075
2010,процент,,,742.2221029178858
2011,процент,,,677.0928170163406
2012,процент,,,548.0840710954923
2013,процент,,,442.7779058571448
2014,процент,,,397.859882348124
2015,процент,,,496.1536086082308
2016,процент,,,461.5214292633648
2017,процент,,,433.6255643252052
2010,процент,,,695.195643254131
2011,процент,,,656.4479291752019
2012,процент,,,617.3426679856938
2013,процент,,,570.941382712738
2014,процент,,,514.3734786136548
2015,процент,,,523.6700829673011
2016,процент,,,481.56865067029815
2017,процент,,,465.47245454135947
2010,процент,,,457.53783769188857
2011,процент,,,405.1965613831739
2012,процент,,,361.51570214911567
2013,процент,,,328.1208984887689
2014,процент,,,316.0354440922657
2015,процент,,,318.83460454889024
