Year,Units,Местность,Пол,Регионы,Value
2014,процент,,,г_Нур-Султан,32.0
2015,процент,,,г_Нур-Султан,32.4
2016,процент,,,г_Нур-Султан,33.7
2017,процент,,,г_Нур-Султан,34.6
2018,процент,,,г_Нур-Султан,36.3
2010,процент,,,г_Алматы,18.7
2011,процент,,,г_Алматы,20.2
2012,процент,,,г_Алматы,18.7
2013,процент,,,г_Алматы,18.0
2014,процент,,,г_Алматы,16.9
2015,процент,,,г_Алматы,14.4
2016,процент,,,г_Алматы,26.3
2017,процент,,,г_Алматы,25.3
2018,процент,,,г_Алматы,25.9
2018,процент,,,г_Шымкент,28.6
2010,процент,,мужчины,,23.6
2011,процент,,мужчины,,26.0
2012,процент,,мужчины,,28.1
2013,процент,,мужчины,,28.4
2014,процент,,мужчины,,33.6
2015,процент,,мужчины,,34.5
2016,процент,,мужчины,,35.8
2017,процент,,мужчины,,38.4
2018,процент,,мужчины,,42.0
2010,процент,,мужчины,Акмолинская,26.7
2011,процент,,мужчины,Акмолинская,29.5
2012,процент,,мужчины,Акмолинская,33.9
2013,процент,,мужчины,Акмолинская,34.0
2014,процент,,мужчины,Акмолинская,37.2
2015,процент,,мужчины,Акмолинская,45.4
2016,процент,,мужчины,Акмолинская,43.0
2017,процент,,мужчины,Акмолинская,42.0
2018,процент,,мужчины,Акмолинская,44.5
2010,процент,,мужчины,Актюбинская,28.3
2011,процент,,мужчины,Актюбинская,38.1
2012,процент,,мужчины,Актюбинская,38.9
2013,процент,,мужчины,Актюбинская,41.8
2014,процент,,мужчины,Актюбинская,61.1
2015,процент,,мужчины,Актюбинская,49.6
2016,процент,,мужчины,Актюбинская,55.5
2017,процент,,мужчины,Актюбинская,54.6
2018,процент,,мужчины,Актюбинская,57.2
2010,процент,,мужчины,Алматинская,17.0
2011,процент,,мужчины,Алматинская,21.0
2012,процент,,мужчины,Алматинская,25.1
2013,процент,,мужчины,Алматинская,20.2
2014,процент,,мужчины,Алматинская,29.0
2015,процент,,мужчины,Алматинская,26.0
2016,процент,,мужчины,Алматинская,25.5
2017,процент,,мужчины,Алматинская,26.9
2018,процент,,мужчины,Алматинская,38.4
2010,процент,,мужчины,Атырауская,31.3
2011,процент,,мужчины,Атырауская,36.9
2012,процент,,мужчины,Атырауская,29.7
2013,процент,,мужчины,Атырауская,29.6
2014,процент,,мужчины,Атырауская,32.1
2015,процент,,мужчины,Атырауская,42.6
2016,процент,,мужчины,Атырауская,34.1
2017,процент,,мужчины,Атырауская,43.7
2018,процент,,мужчины,Атырауская,34.9
2010,процент,,мужчины,Западно-Казахстанская,23.9
2011,процент,,мужчины,Западно-Казахстанская,27.1
2012,процент,,мужчины,Западно-Казахстанская,44.3
2013,процент,,мужчины,Западно-Казахстанская,49.0
2014,процент,,мужчины,Западно-Казахстанская,36.5
2015,процент,,мужчины,Западно-Казахстанская,39.0
2016,процент,,мужчины,Западно-Казахстанская,42.8
2017,процент,,мужчины,Западно-Казахстанская,47.2
2018,процент,,мужчины,Западно-Казахстанская,52.9
2010,процент,,мужчины,Жамбылская,21.1
2011,процент,,мужчины,Жамбылская,25.0
2012,процент,,мужчины,Жамбылская,23.5
2013,процент,,мужчины,Жамбылская,38.5
2014,процент,,мужчины,Жамбылская,23.1
2015,процент,,мужчины,Жамбылская,27.0
2016,процент,,мужчины,Жамбылская,31.3
2017,процент,,мужчины,Жамбылская,26.0
2018,процент,,мужчины,Жамбылская,33.6
2010,процент,,мужчины,Карагандинская,29.2
2011,процент,,мужчины,Карагандинская,29.3
2012,процент,,мужчины,Карагандинская,29.1
2013,процент,,мужчины,Карагандинская,28.0
2014,процент,,мужчины,Карагандинская,37.6
2015,процент,,мужчины,Карагандинская,37.2
2016,процент,,мужчины,Карагандинская,41.3
2017,процент,,мужчины,Карагандинская,44.6
2018,процент,,мужчины,Карагандинская,48.3
2010,процент,,мужчины,Костанайская,29.0
2011,процент,,мужчины,Костанайская,36.0
2012,процент,,мужчины,Костанайская,38.3
2013,процент,,мужчины,Костанайская,39.1
2014,процент,,мужчины,Костанайская,39.6
2015,процент,,мужчины,Костанайская,48.2
2016,процент,,мужчины,Костанайская,47.4
2017,процент,,мужчины,Костанайская,48.4
2018,процент,,мужчины,Костанайская,54.2
2010,процент,,мужчины,Кызылординская,18.0
2011,процент,,мужчины,Кызылординская,19.6
2012,процент,,мужчины,Кызылординская,26.8
2013,процент,,мужчины,Кызылординская,25.6
2014,процент,,мужчины,Кызылординская,40.0
2015,процент,,мужчины,Кызылординская,40.6
2016,процент,,мужчины,Кызылординская,39.8
2017,процент,,мужчины,Кызылординская,44.8
2018,процент,,мужчины,Кызылординская,44.0
2010,процент,,мужчины,Мангистауская,43.7
2011,процент,,мужчины,Мангистауская,40.8
2012,процент,,мужчины,Мангистауская,43.7
2013,процент,,мужчины,Мангистауская,34.6
2014,процент,,мужчины,Мангистауская,48.6
2015,процент,,мужчины,Мангистауская,65.8
2016,процент,,мужчины,Мангистауская,64.8
2017,процент,,мужчины,Мангистауская,74.0
2018,процент,,мужчины,Мангистауская,69.2
2010,процент,,мужчины,Южно-Казахстанская,13.0
2011,процент,,мужчины,Южно-Казахстанская,13.1
2012,процент,,мужчины,Южно-Казахстанская,15.9
2013,процент,,мужчины,Южно-Казахстанская,14.9
2014,процент,,мужчины,Южно-Казахстанская,27.1
2015,процент,,мужчины,Южно-Казахстанская,25.7
2016,процент,,мужчины,Южно-Казахстанская,23.1
2017,процент,,мужчины,Южно-Казахстанская,29.1
2010,процент,,мужчины,Павлодарская,37.4
2011,процент,,мужчины,Павлодарская,38.3
2012,процент,,мужчины,Павлодарская,39.1
2013,процент,,мужчины,Павлодарская,47.1
2014,процент,,мужчины,Павлодарская,43.9
2015,процент,,мужчины,Павлодарская,53.7
2016,процент,,мужчины,Павлодарская,45.5
2017,процент,,мужчины,Павлодарская,53.7
2018,процент,,мужчины,Павлодарская,61.6
2010,процент,,мужчины,Северо-Казахстанская,25.3
2011,процент,,мужчины,Северо-Казахстанская,31.0
2012,процент,,мужчины,Северо-Казахстанская,38.2
2013,процент,,мужчины,Северо-Казахстанская,30.8
2014,процент,,мужчины,Северо-Казахстанская,42.9
2015,процент,,мужчины,Северо-Казахстанская,40.6
2016,процент,,мужчины,Северо-Казахстанская,37.0
2017,процент,,мужчины,Северо-Казахстанская,42.4
2018,процент,,мужчины,Северо-Казахстанская,50.2
2018,процент,,мужчины,Туркестанская,39.4
2010,процент,,мужчины,Восточно-Казахстанская,24.5
2011,процент,,мужчины,Восточно-Казахстанская,27.4
2012,процент,,мужчины,Восточно-Казахстанская,33.4
2013,процент,,мужчины,Восточно-Казахстанская,38.4
2014,процент,,мужчины,Восточно-Казахстанская,39.6
2015,процент,,мужчины,Восточно-Казахстанская,43.9
2016,процент,,мужчины,Восточно-Казахстанская,40.9
2017,процент,,мужчины,Восточно-Казахстанская,50.8
2018,процент,,мужчины,Восточно-Казахстанская,53.0
2010,процент,,мужчины,г_Нур-Султан,36.2
2011,процент,,мужчины,г_Нур-Султан,23.6
2012,процент,,мужчины,г_Нур-Султан,26.9
2013,процент,,мужчины,г_Нур-Султан,24.3
2014,процент,,мужчины,г_Нур-Султан,31.7
2015,процент,,мужчины,г_Нур-Султан,32.5
2016,процент,,мужчины,г_Нур-Султан,34.0
2017,процент,,мужчины,г_Нур-Султан,35.5
2018,процент,,мужчины,г_Нур-Султан,38.6
2010,процент,,мужчины,г_Алматы,21.1
2011,процент,,мужчины,г_Алматы,25.0
2012,процент,,мужчины,г_Алматы,17.5
2013,процент,,мужчины,г_Алматы,20.1
2014,процент,,мужчины,г_Алматы,18.6
2015,процент,,мужчины,г_Алматы,16.5
2016,процент,,мужчины,г_Алматы,29.8
2017,процент,,мужчины,г_Алматы,26.7
2018,процент,,мужчины,г_Алматы,27.8
2018,процент,,мужчины,г_Шымкент,25.3
2010,процент,,женщины,,23.1
2011,процент,,женщины,,23.9
2012,процент,,женщины,,27.4
2013,процент,,женщины,,26.3
2014,процент,,женщины,,31.0
2015,процент,,женщины,,30.2
2016,процент,,женщины,,33.0
2017,процент,,женщины,,34.4
2018,процент,,женщины,,37.7
2010,процент,,женщины,Акмолинская,28.1
2011,процент,,женщины,Акмолинская,30.6
2012,процент,,женщины,Акмолинская,34.7
2013,процент,,женщины,Акмолинская,31.5
2014,процент,,женщины,Акмолинская,35.1
2015,процент,,женщины,Акмолинская,38.1
2016,процент,,женщины,Акмолинская,42.2
2017,процент,,женщины,Акмолинская,41.7
2018,процент,,женщины,Акмолинская,40.2
2010,процент,,женщины,Актюбинская,33.2
2011,процент,,женщины,Актюбинская,30.5
2012,процент,,женщины,Актюбинская,41.7
2013,процент,,женщины,Актюбинская,32.0
2014,процент,,женщины,Актюбинская,44.1
2015,процент,,женщины,Актюбинская,42.9
2016,процент,,женщины,Актюбинская,43.9
2017,процент,,женщины,Актюбинская,41.5
2018,процент,,женщины,Актюбинская,46.3
2010,процент,,женщины,Алматинская,15.5
2011,процент,,женщины,Алматинская,18.2
2012,процент,,женщины,Алматинская,28.7
2013,процент,,женщины,Алматинская,19.6
2014,процент,,женщины,Алматинская,29.4
2015,процент,,женщины,Алматинская,25.6
2016,процент,,женщины,Алматинская,27.2
2017,процент,,женщины,Алматинская,28.9
2018,процент,,женщины,Алматинская,37.5
2010,процент,,женщины,Атырауская,34.8
2011,процент,,женщины,Атырауская,33.8
2012,процент,,женщины,Атырауская,23.4
2013,процент,,женщины,Атырауская,26.4
2014,процент,,женщины,Атырауская,28.2
2015,процент,,женщины,Атырауская,37.2
2016,процент,,женщины,Атырауская,29.4
2017,процент,,женщины,Атырауская,35.8
2018,процент,,женщины,Атырауская,32.7
2010,процент,,женщины,Западно-Казахстанская,27.1
2011,процент,,женщины,Западно-Казахстанская,30.9
2012,процент,,женщины,Западно-Казахстанская,38.0
2013,процент,,женщины,Западно-Казахстанская,45.2
2014,процент,,женщины,Западно-Казахстанская,33.0
2015,процент,,женщины,Западно-Казахстанская,36.1
2016,процент,,женщины,Западно-Казахстанская,36.4
2017,процент,,женщины,Западно-Казахстанская,43.8
2018,процент,,женщины,Западно-Казахстанская,47.8
2010,процент,,женщины,Жамбылская,16.4
2011,процент,,женщины,Жамбылская,19.4
2012,процент,,женщины,Жамбылская,24.8
2013,процент,,женщины,Жамбылская,36.7
2014,процент,,женщины,Жамбылская,24.1
2015,процент,,женщины,Жамбылская,24.0
2016,процент,,женщины,Жамбылская,31.4
2017,процент,,женщины,Жамбылская,23.7
2018,процент,,женщины,Жамбылская,27.8
2010,процент,,женщины,Карагандинская,26.7
2011,процент,,женщины,Карагандинская,27.7
2012,процент,,женщины,Карагандинская,30.1
2013,процент,,женщины,Карагандинская,24.5
2014,процент,,женщины,Карагандинская,35.9
2015,процент,,женщины,Карагандинская,29.3
2016,процент,,женщины,Карагандинская,35.9
2017,процент,,женщины,Карагандинская,38.8
2018,процент,,женщины,Карагандинская,40.6
2010,процент,,женщины,Костанайская,25.2
2011,процент,,женщины,Костанайская,30.7
2012,процент,,женщины,Костанайская,37.4
2013,процент,,женщины,Костанайская,36.9
2014,процент,,женщины,Костанайская,38.3
2015,процент,,женщины,Костанайская,43.6
2016,процент,,женщины,Костанайская,39.5
2017,процент,,женщины,Костанайская,40.9
2018,процент,,женщины,Костанайская,47.9
2010,процент,,женщины,Кызылординская,23.2
2011,процент,,женщины,Кызылординская,28.0
2012,процент,,женщины,Кызылординская,31.1
2013,процент,,женщины,Кызылординская,28.8
2014,процент,,женщины,Кызылординская,39.7
2015,процент,,женщины,Кызылординская,38.2
2016,процент,,женщины,Кызылординская,37.3
2017,процент,,женщины,Кызылординская,41.2
2018,процент,,женщины,Кызылординская,43.6
2010,процент,,женщины,Мангистауская,41.1
2011,процент,,женщины,Мангистауская,30.5
2012,процент,,женщины,Мангистауская,25.8
2013,процент,,женщины,Мангистауская,52.9
2014,процент,,женщины,Мангистауская,38.9
2015,процент,,женщины,Мангистауская,54.9
2016,процент,,женщины,Мангистауская,52.8
2017,процент,,женщины,Мангистауская,65.2
2018,процент,,женщины,Мангистауская,64.8
2010,процент,,женщины,Южно-Казахстанская,10.7
2011,процент,,женщины,Южно-Казахстанская,12.5
2012,процент,,женщины,Южно-Казахстанская,18.0
2013,процент,,женщины,Южно-Казахстанская,14.5
2014,процент,,женщины,Южно-Казахстанская,27.8
2015,процент,,женщины,Южно-Казахстанская,27.7
2016,процент,,женщины,Южно-Казахстанская,29.1
2017,процент,,женщины,Южно-Казахстанская,29.4
2010,процент,,женщины,Павлодарская,40.9
2011,процент,,женщины,Павлодарская,34.5
2012,процент,,женщины,Павлодарская,36.9
2013,процент,,женщины,Павлодарская,44.1
2014,процент,,женщины,Павлодарская,40.4
2015,процент,,женщины,Павлодарская,42.8
2016,процент,,женщины,Павлодарская,43.6
2017,процент,,женщины,Павлодарская,45.6
2018,процент,,женщины,Павлодарская,55.5
2010,процент,,женщины,Северо-Казахстанская,29.5
2011,процент,,женщины,Северо-Казахстанская,28.9
2012,процент,,женщины,Северо-Казахстанская,24.3
2013,процент,,женщины,Северо-Казахстанская,29.6
2014,процент,,женщины,Северо-Казахстанская,37.7
2015,процент,,женщины,Северо-Казахстанская,34.1
2016,процент,,женщины,Северо-Казахстанская,33.1
2017,процент,,женщины,Северо-Казахстанская,41.8
2018,процент,,женщины,Северо-Казахстанская,49.7
2018,процент,,женщины,Туркестанская,34.5
2010,процент,,женщины,Восточно-Казахстанская,27.1
2011,процент,,женщины,Восточно-Казахстанская,29.2
2012,процент,,женщины,Восточно-Казахстанская,31.1
2013,процент,,женщины,Восточно-Казахстанская,27.7
2014,процент,,женщины,Восточно-Казахстанская,34.1
2015,процент,,женщины,Восточно-Казахстанская,32.8
2016,процент,,женщины,Восточно-Казахстанская,38.7
2017,процент,,женщины,Восточно-Казахстанская,41.4
2018,процент,,женщины,Восточно-Казахстанская,47.9
2010,процент,,женщины,г_Нур-Султан,26.9
2011,процент,,женщины,г_Нур-Султан,23.1
2012,процент,,женщины,г_Нур-Султан,21.2
2013,процент,,женщины,г_Нур-Султан,16.7
2014,процент,,женщины,г_Нур-Султан,34.3
2015,процент,,женщины,г_Нур-Султан,31.9
2016,процент,,женщины,г_Нур-Султан,31.0
2017,процент,,женщины,г_Нур-Султан,28.0
2018,процент,,женщины,г_Нур-Султан,18.5
2010,процент,,женщины,г_Алматы,16.2
2011,процент,,женщины,г_Алматы,15.4
2012,процент,,женщины,г_Алматы,19.8
2013,процент,,женщины,г_Алматы,15.7
2014,процент,,женщины,г_Алматы,14.9
2015,процент,,женщины,г_Алматы,12.2
2016,процент,,женщины,г_Алматы,22.2
2017,процент,,женщины,г_Алматы,23.6
2018,процент,,женщины,г_Алматы,23.9
2018,процент,,женщины,г_Шымкент,32.2
2010,процент,городская местность,,,28.3
2011,процент,городская местность,,,29.1
2012,процент,городская местность,,,30.6
2013,процент,городская местность,,,29.3
2014,процент,городская местность,,,32.7
2015,процент,городская местность,,,32.7
2016,процент,городская местность,,,35.6
2017,процент,городская местность,,,37.5
2018,процент,городская местность,,,38.4
2010,процент,городская местность,,Акмолинская,32.4
2011,процент,городская местность,,Акмолинская,36.9
2012,процент,городская местность,,Акмолинская,45.0
2013,процент,городская местность,,Акмолинская,43.3
2014,процент,городская местность,,Акмолинская,40.4
2015,процент,городская местность,,Акмолинская,44.0
2016,процент,городская местность,,Акмолинская,46.7
2017,процент,городская местность,,Акмолинская,44.6
2018,процент,городская местность,,Акмолинская,41.1
2010,процент,городская местность,,Актюбинская,35.8
2011,процент,городская местность,,Актюбинская,35.7
2012,процент,городская местность,,Актюбинская,38.7
2013,процент,городская местность,,Актюбинская,33.0
2014,процент,городская местность,,Актюбинская,56.1
2015,процент,городская местность,,Актюбинская,47.3
2016,процент,городская местность,,Актюбинская,51.7
2017,процент,городская местность,,Актюбинская,47.5
2018,процент,городская местность,,Актюбинская,53.7
2010,процент,городская местность,,Алматинская,15.0
2011,процент,городская местность,,Алматинская,23.2
2012,процент,городская местность,,Алматинская,27.2
2013,процент,городская местность,,Алматинская,22.9
2014,процент,городская местность,,Алматинская,29.9
2015,процент,городская местность,,Алматинская,28.2
2016,процент,городская местность,,Алматинская,27.8
2017,процент,городская местность,,Алматинская,35.2
2018,процент,городская местность,,Алматинская,38.8
2010,процент,городская местность,,Атырауская,38.0
2011,процент,городская местность,,Атырауская,37.8
2012,процент,городская местность,,Атырауская,27.3
2013,процент,городская местность,,Атырауская,29.5
2014,процент,городская местность,,Атырауская,30.5
2015,процент,городская местность,,Атырауская,49.4
2016,процент,городская местность,,Атырауская,34.9
2017,процент,городская местность,,Атырауская,42.3
2018,процент,городская местность,,Атырауская,35.7
2010,процент,городская местность,,Западно-Казахстанская,33.8
2011,процент,городская местность,,Западно-Казахстанская,35.1
2012,процент,городская местность,,Западно-Казахстанская,44.7
2013,процент,городская местность,,Западно-Казахстанская,42.8
2014,процент,городская местность,,Западно-Казахстанская,35.7
2015,процент,городская местность,,Западно-Казахстанская,40.1
2016,процент,городская местность,,Западно-Казахстанская,41.5
2017,процент,городская местность,,Западно-Казахстанская,38.8
2018,процент,городская местность,,Западно-Казахстанская,44.3
2010,процент,городская местность,,Жамбылская,33.9
2011,процент,городская местность,,Жамбылская,35.4
2012,процент,городская местность,,Жамбылская,25.4
2013,процент,городская местность,,Жамбылская,42.2
2014,процент,городская местность,,Жамбылская,23.8
2015,процент,городская местность,,Жамбылская,29.1
2016,процент,городская местность,,Жамбылская,41.1
2017,процент,городская местность,,Жамбылская,31.0
2018,процент,городская местность,,Жамбылская,33.5
2010,процент,городская местность,,Карагандинская,30.7
2011,процент,городская местность,,Карагандинская,30.0
2012,процент,городская местность,,Карагандинская,30.4
2013,процент,городская местность,,Карагандинская,26.7
2014,процент,городская местность,,Карагандинская,35.6
2015,процент,городская местность,,Карагандинская,31.8
2016,процент,городская местность,,Карагандинская,38.4
2017,процент,городская местность,,Карагандинская,42.4
2018,процент,городская местность,,Карагандинская,44.3
2010,процент,городская местность,,Костанайская,27.7
2011,процент,городская местность,,Костанайская,35.5
2012,процент,городская местность,,Костанайская,41.8
2013,процент,городская местность,,Костанайская,40.5
2014,процент,городская местность,,Костанайская,41.4
2015,процент,городская местность,,Костанайская,48.9
2016,процент,городская местность,,Костанайская,45.4
2017,процент,городская местность,,Костанайская,47.0
2018,процент,городская местность,,Костанайская,54.8
2010,процент,городская местность,,Кызылординская,20.1
2011,процент,городская местность,,Кызылординская,23.9
2012,процент,городская местность,,Кызылординская,29.4
2013,процент,городская местность,,Кызылординская,31.8
2014,процент,городская местность,,Кызылординская,44.0
2015,процент,городская местность,,Кызылординская,33.7
2016,процент,городская местность,,Кызылординская,38.3
2017,процент,городская местность,,Кызылординская,43.8
2018,процент,городская местность,,Кызылординская,45.3
2010,процент,городская местность,,Мангистауская,46.3
2011,процент,городская местность,,Мангистауская,37.9
2012,процент,городская местность,,Мангистауская,38.7
2013,процент,городская местность,,Мангистауская,45.8
2014,процент,городская местность,,Мангистауская,39.3
2015,процент,городская местность,,Мангистауская,59.5
2016,процент,городская местность,,Мангистауская,55.5
2017,процент,городская местность,,Мангистауская,67.1
2018,процент,городская местность,,Мангистауская,60.9
2010,процент,городская местность,,Южно-Казахстанская,18.8
2011,процент,городская местность,,Южно-Казахстанская,19.1
2012,процент,городская местность,,Южно-Казахстанская,26.6
2013,процент,городская местность,,Южно-Казахстанская,24.0
2014,процент,городская местность,,Южно-Казахстанская,28.9
2015,процент,городская местность,,Южно-Казахстанская,32.5
2016,процент,городская местность,,Южно-Казахстанская,25.4
2017,процент,городская местность,,Южно-Казахстанская,28.6
2010,процент,городская местность,,Павлодарская,41.2
2011,процент,городская местность,,Павлодарская,43.5
2012,процент,городская местность,,Павлодарская,42.9
2013,процент,городская местность,,Павлодарская,48.6
2014,процент,городская местность,,Павлодарская,45.8
2015,процент,городская местность,,Павлодарская,52.8
2016,процент,городская местность,,Павлодарская,46.9
2017,процент,городская местность,,Павлодарская,50.4
2018,процент,городская местность,,Павлодарская,59.7
2010,процент,городская местность,,Северо-Казахстанская,29.8
2011,процент,городская местность,,Северо-Казахстанская,39.7
2012,процент,городская местность,,Северо-Казахстанская,41.0
2013,процент,городская местность,,Северо-Казахстанская,40.0
2014,процент,городская местность,,Северо-Казахстанская,42.1
2015,процент,городская местность,,Северо-Казахстанская,38.9
2016,процент,городская местность,,Северо-Казахстанская,31.2
2017,процент,городская местность,,Северо-Казахстанская,45.6
2018,процент,городская местность,,Северо-Казахстанская,54.3
2018,процент,городская местность,,Туркестанская,42.9
2010,процент,городская местность,,Восточно-Казахстанская,32.9
2011,процент,городская местность,,Восточно-Казахстанская,32.3
2012,процент,городская местность,,Восточно-Казахстанская,36.9
2013,процент,городская местность,,Восточно-Казахстанская,35.3
2014,процент,городская местность,,Восточно-Казахстанская,37.1
2015,процент,городская местность,,Восточно-Казахстанская,37.1
2016,процент,городская местность,,Восточно-Казахстанская,38.2
2017,процент,городская местность,,Восточно-Казахстанская,49.2
2018,процент,городская местность,,Восточно-Казахстанская,53.2
2010,процент,городская местность,,г_Нур-Султан,31.6
2011,процент,городская местность,,г_Нур-Султан,23.3
2012,процент,городская местность,,г_Нур-Султан,24.2
2013,процент,городская местность,,г_Нур-Султан,18.0
2014,процент,городская местность,,г_Нур-Султан,33.4
2015,процент,городская местность,,г_Нур-Султан,34.1
2016,процент,городская местность,,г_Нур-Султан,34.6
2017,процент,городская местность,,г_Нур-Султан,32.7
2018,процент,городская местность,,г_Нур-Султан,21.2
2010,процент,городская местность,,г_Алматы,18.7
2011,процент,городская местность,,г_Алматы,20.2
2012,процент,городская местность,,г_Алматы,18.7
2013,процент,городская местность,,г_Алматы,17.5
2014,процент,городская местность,,г_Алматы,15.6
2015,процент,городская местность,,г_Алматы,12.7
2016,процент,городская местность,,г_Алматы,25.3
2017,процент,городская местность,,г_Алматы,24.2
2018,процент,городская местность,,г_Алматы,24.7
2018,процент,городская местность,,г_Шымкент,26.9
2010,процент,городская местность,мужчины,,30.7
2011,процент,городская местность,мужчины,,32.0
2012,процент,городская местность,мужчины,,32.4
2013,процент,городская местность,мужчины,,31.2
2014,процент,городская местность,мужчины,,34.8
2015,процент,городская местность,мужчины,,36.2
2016,процент,городская местность,мужчины,,38.2
2017,процент,городская местность,мужчины,,40.8
