Year,Units,Области,Регионы,Value
2018,человек,регионы,Западно-Казахстанская,619.333633802126
2010,человек,регионы,,182.6266323456757
2011,человек,регионы,,88.48370329987128
2012,человек,регионы,,167.4814923541876
2013,человек,регионы,,153.1923901448086
2014,человек,регионы,,178.66485130961337
2015,человек,регионы,,229.03824757676628
2016,человек,регионы,,213.83109858871475
2017,человек,регионы,,225.7530476661435
2018,человек,регионы,,207.056448208784
2010,человек,регионы,,481.6527357875393
2011,человек,регионы,,408.82802877736077
2012,человек,регионы,,603.5109488353562
2013,человек,регионы,,603.1248307371153
2014,человек,регионы,,778.8105306829514
2015,человек,регионы,,880.2243413880617
2016,человек,регионы,,771.0807849848096
2017,человек,регионы,,765.7588539962769
2018,человек,регионы,,779.8026047583191
2010,человек,регионы,,231.15702020470997
2011,человек,регионы,,152.1612000295238
2012,человек,регионы,,151.15766312525855
2013,человек,регионы,,433.82371312214514
2014,человек,регионы,,475.45128156247597
2015,человек,регионы,,523.4012470997679
2016,человек,регионы,,500.3006341679241
2017,человек,регионы,,492.3778315999429
2018,человек,регионы,,466.349503171635
2010,человек,регионы,,77.72457003199659
2011,человек,регионы,,79.24098456923329
2012,человек,регионы,,145.87486714967457
2013,человек,регионы,,162.30024454146087
2014,человек,регионы,,182.21671999185384
2015,человек,регионы,,181.81099561282159
2016,человек,регионы,,184.63138733584708
2017,человек,регионы,,174.7735012529718
2018,человек,регионы,,161.17557434538162
2010,человек,регионы,,728.0329678244467
2011,человек,регионы,,768.2429666515262
2012,человек,регионы,,664.536557592869
2013,человек,регионы,,786.01108033241
2014,человек,регионы,,782.0650872412863
2015,человек,регионы,,849.5350254860507
2016,человек,регионы,,938.8798659103118
2017,человек,регионы,,888.621500956918
2018,человек,регионы,,859.5980089174077
2010,человек,регионы,,113.40390889098457
2011,человек,регионы,,177.29532892330474
2012,человек,регионы,,331.6848458137146
2013,человек,регионы,,502.6061607689283
2014,человек,регионы,,445.5746826638845
2015,человек,регионы,,438.4612214094148
2016,человек,регионы,,349.68042705771194
2017,человек,регионы,,342.9851276689822
2010,человек,регионы,,169.05739766995967
2011,человек,регионы,,259.81156965025883
2012,человек,регионы,,296.7184542839729
2013,человек,регионы,,953.3231166209756
2014,человек,регионы,,923.9693830747898
2015,человек,регионы,,673.5394099794768
2016,человек,регионы,,824.7515188623971
2017,человек,регионы,,673.3392068619747
2018,человек,регионы,,634.1170914455216
2010,человек,регионы,Северо-Казахстанская,123.49730843537368
2011,человек,регионы,Северо-Казахстанская,85.23753997640625
2012,человек,регионы,Северо-Казахстанская,250.9729499291775
2013,человек,регионы,Северо-Казахстанская,271.70997296745367
2014,человек,регионы,Северо-Казахстанская,261.37549726688354
2015,человек,регионы,Северо-Казахстанская,192.7416980894041
2016,человек,регионы,Северо-Казахстанская,142.99660868536685
2017,человек,регионы,Северо-Казахстанская,114.09379222807348
2018,человек,регионы,Северо-Казахстанская,122.62880081656355
2018,человек,регионы,,91.8381609761488
2010,человек,регионы,,525.0072242138482
2011,человек,регионы,,521.2775022215156
2012,человек,регионы,,568.6365057465989
2013,человек,регионы,,1097.3814899715112
2014,человек,регионы,,1192.177081668073
2015,человек,регионы,,1134.163763790156
2016,человек,регионы,,1097.7933563757454
2017,человек,регионы,,1184.1437241824935
2018,человек,регионы,,1212.9090666403579
2010,человек,регионы,г.Нур-Султан,1647.461142051557
2011,человек,регионы,г.Нур-Султан,1713.8531836142306
2012,человек,регионы,г.Нур-Султан,3142.6445024759832
2013,человек,регионы,г.Нур-Султан,3245.0815163472234
2014,человек,регионы,г.Нур-Султан,3278.507601267257
2015,человек,регионы,г.Нур-Султан,2780.8237915181976
2016,человек,регионы,г.Нур-Султан,2577.3922166656907
2017,человек,регионы,г.Нур-Султан,2540.8482539530405
2018,человек,регионы,г.Нур-Султан,2171.812434043484
2010,человек,регионы,г.Алматы,3972.5197787829356
2011,человек,регионы,г.Алматы,4030.7170120851642
2012,человек,регионы,г.Алматы,3987.396271271528
2013,человек,регионы,г.Алматы,4515.4721324538505
2014,человек,регионы,г.Алматы,5297.3346857344895
2015,человек,регионы,г.Алматы,4662.386632418419
2016,человек,регионы,г.Алматы,4093.1375529302495
2017,человек,регионы,г.Алматы,3922.550868207019
2018,человек,регионы,г.Алматы,3986.938113489159
2018,человек,регионы,,616.8988770265472
