Year,Units,Регионы,Местность,Пол,Образование,Брачное состояние,гражданство,GeoCode,Value
2013,на 100 000 населения,Карагандинская,,,,,,KZ12,0.51
2014,на 100 000 населения,Карагандинская,,,,,,KZ12,0.73
2015,на 100 000 населения,Карагандинская,,,,,,KZ12,1.23
2016,на 100 000 населения,Карагандинская,,,,,,KZ12,0.58
2017,на 100 000 населения,Карагандинская,,,,,,KZ12,0.43
2018,на 100 000 населения,Карагандинская,,,,,,KZ12,0.72
2010,на 100 000 населения,Костанайская,,,,,,KZ13,0.23
2011,на 100 000 населения,Костанайская,,,,,,KZ13,0.0
2012,на 100 000 населения,Костанайская,,,,,,KZ13,0.34
2013,на 100 000 населения,Костанайская,,,,,,KZ13,0.34
2014,на 100 000 населения,Костанайская,,,,,,KZ13,0.23
2015,на 100 000 населения,Костанайская,,,,,,KZ13,0.11
2016,на 100 000 населения,Костанайская,,,,,,KZ13,0.57
2017,на 100 000 населения,Костанайская,,,,,,KZ13,0.23
2018,на 100 000 населения,Костанайская,,,,,,KZ13,0.34
2010,на 100 000 населения,Кызылординская,,,,,,KZ14,2.45
2011,на 100 000 населения,Кызылординская,,,,,,KZ14,1.84
2012,на 100 000 населения,Кызылординская,,,,,,KZ14,0.28
2013,на 100 000 населения,Кызылординская,,,,,,KZ14,0.27
2014,на 100 000 населения,Кызылординская,,,,,,KZ14,0.13
2015,на 100 000 населения,Кызылординская,,,,,,KZ14,0.4
2016,на 100 000 населения,Кызылординская,,,,,,KZ14,0.39
2017,на 100 000 населения,Кызылординская,,,,,,KZ14,0.13
2018,на 100 000 населения,Кызылординская,,,,,,KZ14,0.25
2010,на 100 000 населения,Мангистауская,,,,,,KZ09,0.39
2011,на 100 000 населения,Мангистауская,,,,,,KZ09,0.75
2012,на 100 000 населения,Мангистауская,,,,,,KZ09,0.54
2013,на 100 000 населения,Мангистауская,,,,,,KZ09,0.17
2014,на 100 000 населения,Мангистауская,,,,,,KZ09,0.67
2015,на 100 000 населения,Мангистауская,,,,,,KZ09,0.49
2016,на 100 000 населения,Мангистауская,,,,,,KZ09,1.26
2017,на 100 000 населения,Мангистауская,,,,,,KZ09,0.31
2018,на 100 000 населения,Мангистауская,,,,,,KZ09,0.3
2010,на 100 000 населения,Южно-Казахстанская,,,,,,KZ10,1.97
2011,на 100 000 населения,Южно-Казахстанская,,,,,,KZ10,1.31
2012,на 100 000 населения,Южно-Казахстанская,,,,,,KZ10,1.13
2013,на 100 000 населения,Южно-Казахстанская,,,,,,KZ10,1.03
2014,на 100 000 населения,Южно-Казахстанская,,,,,,KZ10,0.54
2015,на 100 000 населения,Южно-Казахстанская,,,,,,KZ10,0.92
2016,на 100 000 населения,Южно-Казахстанская,,,,,,KZ10,1.96
2017,на 100 000 населения,Южно-Казахстанская,,,,,,KZ10,3.06
2010,на 100 000 населения,Павлодарская,,,,,,KZ11,0.4
2011,на 100 000 населения,Павлодарская,,,,,,KZ11,0.27
2012,на 100 000 населения,Павлодарская,,,,,,KZ11,0.13
2013,на 100 000 населения,Павлодарская,,,,,,KZ11,0.27
2014,на 100 000 населения,Павлодарская,,,,,,KZ11,0.13
2015,на 100 000 населения,Павлодарская,,,,,,KZ11,0.4
2016,на 100 000 населения,Павлодарская,,,,,,KZ11,0.92
2017,на 100 000 населения,Павлодарская,,,,,,KZ11,0.13
2018,на 100 000 населения,Павлодарская,,,,,,KZ11,1.86
2010,на 100 000 населения,Северо-Казахстанская,,,,,,KZ16,0.17
2011,на 100 000 населения,Северо-Казахстанская,,,,,,KZ16,0.34
2012,на 100 000 населения,Северо-Казахстанская,,,,,,KZ16,0.0
2013,на 100 000 населения,Северо-Казахстанская,,,,,,KZ16,0.17
2014,на 100 000 населения,Северо-Казахстанская,,,,,,KZ16,0.17
2015,на 100 000 населения,Северо-Казахстанская,,,,,,KZ16,0.18
2016,на 100 000 населения,Северо-Казахстанская,,,,,,KZ16,0.18
2017,на 100 000 населения,Северо-Казахстанская,,,,,,KZ16,0.0
2018,на 100 000 населения,Северо-Казахстанская,,,,,,KZ16,0.0
2010,на 100 000 населения,Восточно-Казахстанская,,,,,,KZ15,0.57
2011,на 100 000 населения,Восточно-Казахстанская,,,,,,KZ15,2.72
2012,на 100 000 населения,Восточно-Казахстанская,,,,,,KZ15,0.57
2013,на 100 000 населения,Восточно-Казахстанская,,,,,,KZ15,3.01
2014,на 100 000 населения,Восточно-Казахстанская,,,,,,KZ15,3.01
2015,на 100 000 населения,Восточно-Казахстанская,,,,,,KZ15,2.15
2016,на 100 000 населения,Восточно-Казахстанская,,,,,,KZ15,1.51
2017,на 100 000 населения,Восточно-Казахстанская,,,,,,KZ15,3.32
2018,на 100 000 населения,Восточно-Казахстанская,,,,,,KZ15,1.59
2010,на 100 000 населения,г_Нур-Султан,,,,,,KZ05,0.45
2011,на 100 000 населения,г_Нур-Султан,,,,,,KZ05,0.14
2012,на 100 000 населения,г_Нур-Султан,,,,,,KZ05,0.26
2013,на 100 000 населения,г_Нур-Султан,,,,,,KZ05,0.63
2014,на 100 000 населения,г_Нур-Султан,,,,,,KZ05,0.48
2015,на 100 000 населения,г_Нур-Султан,,,,,,KZ05,1.28
2016,на 100 000 населения,г_Нур-Султан,,,,,,KZ05,0.22
2017,на 100 000 населения,г_Нур-Султан,,,,,,KZ05,0.0
2018,на 100 000 населения,г_Нур-Султан,,,,,,KZ05,0.28
2010,на 100 000 населения,г_Алматы,,,,,,KZ02,0.21
2011,на 100 000 населения,г_Алматы,,,,,,KZ02,0.14
2012,на 100 000 населения,г_Алматы,,,,,,KZ02,0.27
2013,на 100 000 населения,г_Алматы,,,,,,KZ02,0.2
2014,на 100 000 населения,г_Алматы,,,,,,KZ02,0.06
2015,на 100 000 населения,г_Алматы,,,,,,KZ02,0.06
2016,на 100 000 населения,г_Алматы,,,,,,KZ02,0.17
2017,на 100 000 населения,г_Алматы,,,,,,KZ02,0.11
2018,на 100 000 населения,г_Алматы,,,,,,KZ02,0.05
2010,на 100 000 населения,,городское население,,,,,,0.63
2011,на 100 000 населения,,городское население,,,,,,1.07
2012,на 100 000 населения,,городское население,,,,,,0.52
2013,на 100 000 населения,,городское население,,,,,,0.63
2014,на 100 000 населения,,городское население,,,,,,0.42
2015,на 100 000 населения,,городское население,,,,,,0.72
2016,на 100 000 населения,,городское население,,,,,,0.64
2017,на 100 000 населения,,городское население,,,,,,0.63
2018,на 100 000 населения,,городское население,,,,,,0.62
2010,на 100 000 населения,Акмолинская,городское население,,,,,,0.0
2011,на 100 000 населения,Акмолинская,городское население,,,,,,29.0
2012,на 100 000 населения,Акмолинская,городское население,,,,,,0.29
2013,на 100 000 населения,Акмолинская,городское население,,,,,,0.87
2014,на 100 000 населения,Акмолинская,городское население,,,,,,0.86
2015,на 100 000 населения,Акмолинская,городское население,,,,,,0.29
2016,на 100 000 населения,Акмолинская,городское население,,,,,,0.57
2017,на 100 000 населения,Акмолинская,городское население,,,,,,0.29
2018,на 100 000 населения,Акмолинская,городское население,,,,,,0.57
2010,на 100 000 населения,Актюбинская,городское население,,,,,,0.42
2011,на 100 000 населения,Актюбинская,городское население,,,,,,0.62
2012,на 100 000 населения,Актюбинская,городское население,,,,,,0.0
2013,на 100 000 населения,Актюбинская,городское население,,,,,,0.2
2014,на 100 000 населения,Актюбинская,городское население,,,,,,0.2
2015,на 100 000 населения,Актюбинская,городское население,,,,,,0.19
2016,на 100 000 населения,Актюбинская,городское население,,,,,,0.0
2017,на 100 000 населения,Актюбинская,городское население,,,,,,0.0
2018,на 100 000 населения,Актюбинская,городское население,,,,,,0.16
2010,на 100 000 населения,Алматинская,городское население,,,,,,0.23
2011,на 100 000 населения,Алматинская,городское население,,,,,,5.21
2012,на 100 000 населения,Алматинская,городское население,,,,,,0.0
2013,на 100 000 населения,Алматинская,городское население,,,,,,0.44
2014,на 100 000 населения,Алматинская,городское население,,,,,,0.0
2015,на 100 000 населения,Алматинская,городское население,,,,,,0.43
2016,на 100 000 населения,Алматинская,городское население,,,,,,0.42
2017,на 100 000 населения,Алматинская,городское население,,,,,,0.21
2018,на 100 000 населения,Алматинская,городское население,,,,,,0.22
2010,на 100 000 населения,Атырауская,городское население,,,,,,0.4
2011,на 100 000 населения,Атырауская,городское население,,,,,,0.39
2012,на 100 000 населения,Атырауская,городское население,,,,,,1.51
2013,на 100 000 населения,Атырауская,городское население,,,,,,0.37
2014,на 100 000 населения,Атырауская,городское население,,,,,,0.37
2015,на 100 000 населения,Атырауская,городское население,,,,,,0.36
2016,на 100 000 населения,Атырауская,городское население,,,,,,1.04
2017,на 100 000 населения,Атырауская,городское население,,,,,,0.34
2018,на 100 000 населения,Атырауская,городское население,,,,,,0.0
2010,на 100 000 населения,Западно-Казахстанская,городское население,,,,,,0.0
2011,на 100 000 населения,Западно-Казахстанская,городское население,,,,,,0.0
2012,на 100 000 населения,Западно-Казахстанская,городское население,,,,,,0.0
2013,на 100 000 населения,Западно-Казахстанская,городское население,,,,,,0.33
2014,на 100 000 населения,Западно-Казахстанская,городское население,,,,,,0.0
2015,на 100 000 населения,Западно-Казахстанская,городское население,,,,,,0.64
2016,на 100 000 населения,Западно-Казахстанская,городское население,,,,,,0.31
2017,на 100 000 населения,Западно-Казахстанская,городское население,,,,,,2.43
2018,на 100 000 населения,Западно-Казахстанская,городское население,,,,,,2.68
2010,на 100 000 населения,Жамбылская,городское население,,,,,,0.47
2011,на 100 000 населения,Жамбылская,городское население,,,,,,1.66
2012,на 100 000 населения,Жамбылская,городское население,,,,,,0.47
2013,на 100 000 населения,Жамбылская,городское население,,,,,,0.23
2014,на 100 000 населения,Жамбылская,городское население,,,,,,0.23
2015,на 100 000 населения,Жамбылская,городское население,,,,,,0.45
2016,на 100 000 населения,Жамбылская,городское население,,,,,,0.45
2017,на 100 000 населения,Жамбылская,городское население,,,,,,0.67
2018,на 100 000 населения,Жамбылская,городское население,,,,,,0.22
2010,на 100 000 населения,Карагандинская,городское население,,,,,,0.57
2011,на 100 000 населения,Карагандинская,городское население,,,,,,0.57
2012,на 100 000 населения,Карагандинская,городское население,,,,,,0.75
2013,на 100 000 населения,Карагандинская,городское население,,,,,,0.37
2014,на 100 000 населения,Карагандинская,городское население,,,,,,0.37
2015,на 100 000 населения,Карагандинская,городское население,,,,,,0.92
2016,на 100 000 населения,Карагандинская,городское население,,,,,,0.18
2017,на 100 000 населения,Карагандинская,городское население,,,,,,0.36
2018,на 100 000 населения,Карагандинская,городское население,,,,,,0.64
2010,на 100 000 населения,Костанайская,городское население,,,,,,0.0
2011,на 100 000 населения,Костанайская,городское население,,,,,,0.0
2012,на 100 000 населения,Костанайская,городское население,,,,,,0.22
2013,на 100 000 населения,Костанайская,городское население,,,,,,0.22
2014,на 100 000 населения,Костанайская,городское население,,,,,,0.0
2015,на 100 000 населения,Костанайская,городское население,,,,,,0.0
2016,на 100 000 населения,Костанайская,городское население,,,,,,0.43
2017,на 100 000 населения,Костанайская,городское население,,,,,,0.42
2018,на 100 000 населения,Костанайская,городское население,,,,,,0.63
2010,на 100 000 населения,Кызылординская,городское население,,,,,,1.02
2011,на 100 000 населения,Кызылординская,городское население,,,,,,1.0
2012,на 100 000 населения,Кызылординская,городское население,,,,,,0.33
2013,на 100 000 населения,Кызылординская,городское население,,,,,,0.0
2014,на 100 000 населения,Кызылординская,городское население,,,,,,0.0
2015,на 100 000 населения,Кызылординская,городское население,,,,,,0.61
2016,на 100 000 населения,Кызылординская,городское население,,,,,,0.0
2017,на 100 000 населения,Кызылординская,городское население,,,,,,0.29
2018,на 100 000 населения,Кызылординская,городское население,,,,,,0.0
2010,на 100 000 населения,Мангистауская,городское население,,,,,,0.73
2011,на 100 000 населения,Мангистауская,городское население,,,,,,0.36
2012,на 100 000 населения,Мангистауская,городское население,,,,,,0.35
2013,на 100 000 населения,Мангистауская,городское население,,,,,,0.34
2014,на 100 000 населения,Мангистауская,городское население,,,,,,0.71
2015,на 100 000 населения,Мангистауская,городское население,,,,,,0.74
2016,на 100 000 населения,Мангистауская,городское население,,,,,,1.83
2017,на 100 000 населения,Мангистауская,городское население,,,,,,0.37
2018,на 100 000 населения,Мангистауская,городское население,,,,,,0.0
2010,на 100 000 населения,Южно-Казахстанская,городское население,,,,,,2.5
2011,на 100 000 населения,Южно-Казахстанская,городское население,,,,,,2.66
2012,на 100 000 населения,Южно-Казахстанская,городское население,,,,,,1.93
2013,на 100 000 населения,Южно-Казахстанская,городское население,,,,,,1.42
2014,на 100 000 населения,Южно-Казахстанская,городское население,,,,,,0.35
2015,на 100 000 населения,Южно-Казахстанская,городское население,,,,,,1.43
2016,на 100 000 населения,Южно-Казахстанская,городское население,,,,,,2.02
2017,на 100 000 населения,Южно-Казахстанская,городское население,,,,,,2.19
2010,на 100 000 населения,Павлодарская,городское население,,,,,,0.39
2011,на 100 000 населения,Павлодарская,городское население,,,,,,0.39
2012,на 100 000 населения,Павлодарская,городское население,,,,,,0.19
2013,на 100 000 населения,Павлодарская,городское население,,,,,,0.38
2014,на 100 000 населения,Павлодарская,городское население,,,,,,0.19
2015,на 100 000 населения,Павлодарская,городское население,,,,,,0.0
2016,на 100 000 населения,Павлодарская,городское население,,,,,,1.12
2017,на 100 000 населения,Павлодарская,городское население,,,,,,0.19
2018,на 100 000 населения,Павлодарская,городское население,,,,,,2.25
2010,на 100 000 населения,Северо-Казахстанская,городское население,,,,,,0.0
2011,на 100 000 населения,Северо-Казахстанская,городское население,,,,,,0.0
2012,на 100 000 населения,Северо-Казахстанская,городское население,,,,,,0.0
2013,на 100 000 населения,Северо-Казахстанская,городское население,,,,,,0.0
2014,на 100 000 населения,Северо-Казахстанская,городское население,,,,,,0.41
2015,на 100 000 населения,Северо-Казахстанская,городское население,,,,,,0.41
2016,на 100 000 населения,Северо-Казахстанская,городское население,,,,,,0.0
2017,на 100 000 населения,Северо-Казахстанская,городское население,,,,,,0.0
2018,на 100 000 населения,Северо-Казахстанская,городское население,,,,,,0.0
2018,на 100 000 населения,Туркестанская,городское население,,,,,,1.28
2010,на 100 000 населения,Восточно-Казахстанская,городское население,,,,,,0.74
2011,на 100 000 населения,Восточно-Казахстанская,городское население,,,,,,2.47
2012,на 100 000 населения,Восточно-Казахстанская,городское население,,,,,,0.37
2013,на 100 000 населения,Восточно-Казахстанская,городское население,,,,,,2.32
2014,на 100 000 населения,Восточно-Казахстанская,городское население,,,,,,2.06
2015,на 100 000 населения,Восточно-Казахстанская,городское население,,,,,,2.16
2016,на 100 000 населения,Восточно-Казахстанская,городское население,,,,,,1.08
2017,на 100 000 населения,Восточно-Казахстанская,городское население,,,,,,1.31
2018,на 100 000 населения,Восточно-Казахстанская,городское население,,,,,,0.35
2010,на 100 000 населения,г_Нур-Султан,городское население,,,,,,0.45
2011,на 100 000 населения,г_Нур-Султан,городское население,,,,,,0.14
2012,на 100 000 населения,г_Нур-Султан,городское население,,,,,,0.26
2013,на 100 000 населения,г_Нур-Султан,городское население,,,,,,0.63
2014,на 100 000 населения,г_Нур-Султан,городское население,,,,,,0.48
2015,на 100 000 населения,г_Нур-Султан,городское население,,,,,,1.28
2016,на 100 000 населения,г_Нур-Султан,городское население,,,,,,0.22
2017,на 100 000 населения,г_Нур-Султан,городское население,,,,,,0.0
2018,на 100 000 населения,г_Нур-Султан,городское население,,,,,,0.28
2010,на 100 000 населения,г_Алматы,городское население,,,,,,0.21
2011,на 100 000 населения,г_Алматы,городское население,,,,,,0.14
2012,на 100 000 населения,г_Алматы,городское население,,,,,,0.27
2013,на 100 000 населения,г_Алматы,городское население,,,,,,0.2
2014,на 100 000 населения,г_Алматы,городское население,,,,,,0.06
2015,на 100 000 населения,г_Алматы,городское население,,,,,,0.06
2016,на 100 000 населения,г_Алматы,городское население,,,,,,0.17
2017,на 100 000 населения,г_Алматы,городское население,,,,,,0.11
2018,на 100 000 населения,г_Алматы,городское население,,,,,,0.05
2018,на 100 000 населения,г_Шымкент,городское население,,,,,,1.84
2010,на 100 000 населения,,сельское население,,,,,,0.96
2011,на 100 000 населения,,сельское население,,,,,,1.08
2012,на 100 000 населения,,сельское население,,,,,,0.65
2013,на 100 000 населения,,сельское население,,,,,,0.69
2014,на 100 000 населения,,сельское население,,,,,,0.76
2015,на 100 000 населения,,сельское население,,,,,,0.59
2016,на 100 000 населения,,сельское население,,,,,,1.01
2017,на 100 000 населения,,сельское население,,,,,,1.47
2018,на 100 000 населения,,сельское население,,,,,,1.12
2010,на 100 000 населения,Акмолинская,сельское население,,,,,,0.26
2011,на 100 000 населения,Акмолинская,сельское население,,,,,,0.26
2012,на 100 000 населения,Акмолинская,сельское население,,,,,,0.77
2013,на 100 000 населения,Акмолинская,сельское население,,,,,,0.51
2014,на 100 000 населения,Акмолинская,сельское население,,,,,,0.0
2015,на 100 000 населения,Акмолинская,сельское население,,,,,,0.51
2016,на 100 000 населения,Акмолинская,сельское население,,,,,,1.28
2017,на 100 000 населения,Акмолинская,сельское население,,,,,,1.29
2018,на 100 000 населения,Акмолинская,сельское население,,,,,,1.54
2010,на 100 000 населения,Актюбинская,сельское население,,,,,,0.33
2011,на 100 000 населения,Актюбинская,сельское население,,,,,,0.0
2012,на 100 000 населения,Актюбинская,сельское население,,,,,,0.33
2013,на 100 000 населения,Актюбинская,сельское население,,,,,,0.0
2014,на 100 000 населения,Актюбинская,сельское население,,,,,,0.0
2015,на 100 000 населения,Актюбинская,сельское население,,,,,,0.0
2016,на 100 000 населения,Актюбинская,сельское население,,,,,,0.0
2017,на 100 000 населения,Актюбинская,сельское население,,,,,,0.64
2018,на 100 000 населения,Актюбинская,сельское население,,,,,,0.39
2010,на 100 000 населения,Алматинская,сельское население,,,,,,1.2
2011,на 100 000 населения,Алматинская,сельское население,,,,,,1.66
2012,на 100 000 населения,Алматинская,сельское население,,,,,,0.27
2013,на 100 000 населения,Алматинская,сельское население,,,,,,0.07
2014,на 100 000 населения,Алматинская,сельское население,,,,,,0.2
2015,на 100 000 населения,Алматинская,сельское население,,,,,,0.2
2016,на 100 000 населения,Алматинская,сельское население,,,,,,0.13
2017,на 100 000 населения,Алматинская,сельское население,,,,,,0.2
2018,на 100 000 населения,Алматинская,сельское население,,,,,,0.32
2010,на 100 000 населения,Атырауская,сельское население,,,,,,0.0
2011,на 100 000 населения,Атырауская,сельское население,,,,,,0.36
2012,на 100 000 населения,Атырауская,сельское население,,,,,,0.35
2013,на 100 000 населения,Атырауская,сельское население,,,,,,0.34
2014,на 100 000 населения,Атырауская,сельское население,,,,,,0.33
2015,на 100 000 населения,Атырауская,сельское население,,,,,,1.29
2016,на 100 000 населения,Атырауская,сельское население,,,,,,0.96
2017,на 100 000 населения,Атырауская,сельское население,,,,,,0.31
2018,на 100 000 населения,Атырауская,сельское население,,,,,,0.0
2010,на 100 000 населения,Западно-Казахстанская,сельское население,,,,,,0.31
2011,на 100 000 населения,Западно-Казахстанская,сельское население,,,,,,0.32
2012,на 100 000 населения,Западно-Казахстанская,сельское население,,,,,,1.27
2013,на 100 000 населения,Западно-Казахстанская,сельское население,,,,,,0.63
2014,на 100 000 населения,Западно-Казахстанская,сельское население,,,,,,1.58
2015,на 100 000 населения,Западно-Казахстанская,сельское население,,,,,,0.94
2016,на 100 000 населения,Западно-Казахстанская,сельское население,,,,,,1.26
2017,на 100 000 населения,Западно-Казахстанская,сельское население,,,,,,0.63
2018,на 100 000 населения,Западно-Казахстанская,сельское население,,,,,,0.96
2010,на 100 000 населения,Жамбылская,сельское население,,,,,,0.48
2011,на 100 000 населения,Жамбылская,сельское население,,,,,,1.27
2012,на 100 000 населения,Жамбылская,сельское население,,,,,,0.78
2013,на 100 000 населения,Жамбылская,сельское население,,,,,,0.47
2014,на 100 000 населения,Жамбылская,сельское население,,,,,,0.31
2015,на 100 000 населения,Жамбылская,сельское население,,,,,,0.0
2016,на 100 000 населения,Жамбылская,сельское население,,,,,,0.6
2017,на 100 000 населения,Жамбылская,сельское население,,,,,,0.3
2018,на 100 000 населения,Жамбылская,сельское население,,,,,,0.3
2010,на 100 000 населения,Карагандинская,сельское население,,,,,,1.01
2011,на 100 000 населения,Карагандинская,сельское население,,,,,,2.03
2012,на 100 000 населения,Карагандинская,сельское население,,,,,,3.73
2013,на 100 000 населения,Карагандинская,сельское население,,,,,,1.02
2014,на 100 000 населения,Карагандинская,сельское население,,,,,,2.06
2015,на 100 000 населения,Карагандинская,сельское население,,,,,,2.42
2016,на 100 000 населения,Карагандинская,сельское население,,,,,,2.1
2017,на 100 000 населения,Карагандинская,сельское население,,,,,,0.71
2018,на 100 000 населения,Карагандинская,сельское население,,,,,,1.07
2010,на 100 000 населения,Костанайская,сельское население,,,,,,0.45
2011,на 100 000 населения,Костанайская,сельское население,,,,,,0.0
2012,на 100 000 населения,Костанайская,сельское население,,,,,,0.46
2013,на 100 000 населения,Костанайская,сельское население,,,,,,0.47
2014,на 100 000 населения,Костанайская,сельское население,,,,,,0.47
2015,на 100 000 населения,Костанайская,сельское население,,,,,,0.24
2016,на 100 000 населения,Костанайская,сельское население,,,,,,0.73
2017,на 100 000 населения,Костанайская,сельское население,,,,,,0.0
2018,на 100 000 населения,Костанайская,сельское население,,,,,,0.0
2010,на 100 000 населения,Кызылординская,сельское население,,,,,,3.49
2011,на 100 000 населения,Кызылординская,сельское население,,,,,,2.45
2012,на 100 000 населения,Кызылординская,сельское население,,,,,,0.24
2013,на 100 000 населения,Кызылординская,сельское население,,,,,,0.48
2014,на 100 000 населения,Кызылординская,сельское население,,,,,,0.24
2015,на 100 000 населения,Кызылординская,сельское население,,,,,,0.23
2016,на 100 000 населения,Кызылординская,сельское население,,,,,,0.69
2017,на 100 000 населения,Кызылординская,сельское население,,,,,,0.0
2018,на 100 000 населения,Кызылординская,сельское население,,,,,,0.45
2010,на 100 000 населения,Мангистауская,сельское население,,,,,,0.0
2011,на 100 000 населения,Мангистауская,сельское население,,,,,,1.17
2012,на 100 000 населения,Мангистауская,сельское население,,,,,,0.74
2013,на 100 000 населения,Мангистауская,сельское население,,,,,,0.0
2014,на 100 000 населения,Мангистауская,сельское население,,,,,,0.63
2015,на 100 000 населения,Мангистауская,сельское население,,,,,,0.29
2016,на 100 000 населения,Мангистауская,сельское население,,,,,,0.83
2017,на 100 000 населения,Мангистауская,сельское население,,,,,,0.26
2018,на 100 000 населения,Мангистауская,сельское население,,,,,,0.5
2010,на 100 000 населения,Южно-Казахстанская,сельское население,,,,,,1.62
2011,на 100 000 населения,Южно-Казахстанская,сельское население,,,,,,0.44
2012,на 100 000 населения,Южно-Казахстанская,сельское население,,,,,,0.62
2013,на 100 000 населения,Южно-Казахстанская,сельское население,,,,,,0.79
2014,на 100 000 населения,Южно-Казахстанская,сельское население,,,,,,0.69
2015,на 100 000 населения,Южно-Казахстанская,сельское население,,,,,,0.52
2016,на 100 000 населения,Южно-Казахстанская,сельское население,,,,,,1.91
2017,на 100 000 населения,Южно-Казахстанская,сельское население,,,,,,3.79
2010,на 100 000 населения,Павлодарская,сельское население,,,,,,0.43
2011,на 100 000 населения,Павлодарская,сельское население,,,,,,0.0
2012,на 100 000 населения,Павлодарская,сельское население,,,,,,0.0
2013,на 100 000 населения,Павлодарская,сельское население,,,,,,0.0
2014,на 100 000 населения,Павлодарская,сельское население,,,,,,0.0
2015,на 100 000 населения,Павлодарская,сельское население,,,,,,1.33
2016,на 100 000 населения,Павлодарская,сельское население,,,,,,0.45
2017,на 100 000 населения,Павлодарская,сельское население,,,,,,0.0
