Year,Units,Регионы,Местность,Пол,Образование,Брачное состояние,гражданство,GeoCode,Value
2013,на 100 000 населения,Западно-Казахстанская,,,,,,KZ07,26.41
2014,на 100 000 населения,Западно-Казахстанская,,,,,,KZ07,23.76
2015,на 100 000 населения,Западно-Казахстанская,,,,,,KZ07,19.1
2016,на 100 000 населения,Западно-Казахстанская,,,,,,KZ07,17.52
2017,на 100 000 населения,Западно-Казахстанская,,,,,,KZ07,15.83
2018,на 100 000 населения,Западно-Казахстанская,,,,,,KZ07,21.24
2010,на 100 000 населения,Жамбылская,,,,,,KZ17,17.4
2011,на 100 000 населения,Жамбылская,,,,,,KZ17,17.89
2012,на 100 000 населения,Жамбылская,,,,,,KZ17,14.49
2013,на 100 000 населения,Жамбылская,,,,,,KZ17,19.59
2014,на 100 000 населения,Жамбылская,,,,,,KZ17,17.04
2015,на 100 000 населения,Жамбылская,,,,,,KZ17,12.76
2016,на 100 000 населения,Жамбылская,,,,,,KZ17,10.33
2017,на 100 000 населения,Жамбылская,,,,,,KZ17,9.5
2018,на 100 000 населения,Жамбылская,,,,,,KZ17,8.83
2010,на 100 000 населения,Карагандинская,,,,,,KZ12,33.57
2011,на 100 000 населения,Карагандинская,,,,,,KZ12,29.0
2012,на 100 000 населения,Карагандинская,,,,,,KZ12,26.83
2013,на 100 000 населения,Карагандинская,,,,,,KZ12,25.76
2014,на 100 000 населения,Карагандинская,,,,,,KZ12,26.57
2015,на 100 000 населения,Карагандинская,,,,,,KZ12,22.87
2016,на 100 000 населения,Карагандинская,,,,,,KZ12,21.82
2017,на 100 000 населения,Карагандинская,,,,,,KZ12,22.15
2018,на 100 000 населения,Карагандинская,,,,,,KZ12,20.01
2010,на 100 000 населения,Костанайская,,,,,,KZ13,38.19
2011,на 100 000 населения,Костанайская,,,,,,KZ13,40.99
2012,на 100 000 населения,Костанайская,,,,,,KZ13,38.87
2013,на 100 000 населения,Костанайская,,,,,,KZ13,42.25
2014,на 100 000 населения,Костанайская,,,,,,KZ13,31.66
2015,на 100 000 населения,Костанайская,,,,,,KZ13,36.82
2016,на 100 000 населения,Костанайская,,,,,,KZ13,31.99
2017,на 100 000 населения,Костанайская,,,,,,KZ13,28.61
2018,на 100 000 населения,Костанайская,,,,,,KZ13,25.85
2010,на 100 000 населения,Кызылординская,,,,,,KZ14,8.64
2011,на 100 000 населения,Кызылординская,,,,,,KZ14,7.22
2012,на 100 000 населения,Кызылординская,,,,,,KZ14,14.17
2013,на 100 000 населения,Кызылординская,,,,,,KZ14,16.91
2014,на 100 000 населения,Кызылординская,,,,,,KZ14,9.38
2015,на 100 000 населения,Кызылординская,,,,,,KZ14,7.38
2016,на 100 000 населения,Кызылординская,,,,,,KZ14,7.28
2017,на 100 000 населения,Кызылординская,,,,,,KZ14,5.27
2018,на 100 000 населения,Кызылординская,,,,,,KZ14,4.44
2010,на 100 000 населения,Мангистауская,,,,,,KZ09,13.24
2011,на 100 000 населения,Мангистауская,,,,,,KZ09,10.65
2012,на 100 000 населения,Мангистауская,,,,,,KZ09,5.21
2013,на 100 000 населения,Мангистауская,,,,,,KZ09,12.47
2014,на 100 000 населения,Мангистауская,,,,,,KZ09,8.37
2015,на 100 000 населения,Мангистауская,,,,,,KZ09,8.11
2016,на 100 000 населения,Мангистауская,,,,,,KZ09,11.18
2017,на 100 000 населения,Мангистауская,,,,,,KZ09,9.52
2018,на 100 000 населения,Мангистауская,,,,,,KZ09,9.56
2010,на 100 000 населения,Южно-Казахстанская,,,,,,KZ10,11.46
2011,на 100 000 населения,Южно-Казахстанская,,,,,,KZ10,10.68
2012,на 100 000 населения,Южно-Казахстанская,,,,,,KZ10,11.66
2013,на 100 000 населения,Южно-Казахстанская,,,,,,KZ10,13.53
2014,на 100 000 населения,Южно-Казахстанская,,,,,,KZ10,13.11
2015,на 100 000 населения,Южно-Казахстанская,,,,,,KZ10,11.12
2016,на 100 000 населения,Южно-Казахстанская,,,,,,KZ10,8.71
2017,на 100 000 населения,Южно-Казахстанская,,,,,,KZ10,11.26
2010,на 100 000 населения,Павлодарская,,,,,,KZ11,27.1
2011,на 100 000 населения,Павлодарская,,,,,,KZ11,32.01
2012,на 100 000 населения,Павлодарская,,,,,,KZ11,28.34
2013,на 100 000 населения,Павлодарская,,,,,,KZ11,25.43
2014,на 100 000 населения,Павлодарская,,,,,,KZ11,13.52
2015,на 100 000 населения,Павлодарская,,,,,,KZ11,4.89
2016,на 100 000 населения,Павлодарская,,,,,,KZ11,4.49
2017,на 100 000 населения,Павлодарская,,,,,,KZ11,9.66
2018,на 100 000 населения,Павлодарская,,,,,,KZ11,7.82
2010,на 100 000 населения,Северо-Казахстанская,,,,,,KZ16,26.22
2011,на 100 000 населения,Северо-Казахстанская,,,,,,KZ16,17.56
2012,на 100 000 населения,Северо-Казахстанская,,,,,,KZ16,8.42
2013,на 100 000 населения,Северо-Казахстанская,,,,,,KZ16,10.56
2014,на 100 000 населения,Северо-Казахстанская,,,,,,KZ16,11.33
2015,на 100 000 населения,Северо-Казахстанская,,,,,,KZ16,16.65
2016,на 100 000 населения,Северо-Казахстанская,,,,,,KZ16,17.48
2017,на 100 000 населения,Северо-Казахстанская,,,,,,KZ16,11.59
2018,на 100 000 населения,Северо-Казахстанская,,,,,,KZ16,15.09
2018,на 100 000 населения,Туркестанская,,,,,,KZ10,1.97
2010,на 100 000 населения,Восточно-Казахстанская,,,,,,KZ15,40.41
2011,на 100 000 населения,Восточно-Казахстанская,,,,,,KZ15,36.88
2012,на 100 000 населения,Восточно-Казахстанская,,,,,,KZ15,30.91
2013,на 100 000 населения,Восточно-Казахстанская,,,,,,KZ15,31.27
2014,на 100 000 населения,Восточно-Казахстанская,,,,,,KZ15,28.32
2015,на 100 000 населения,Восточно-Казахстанская,,,,,,KZ15,26.72
2016,на 100 000 населения,Восточно-Казахстанская,,,,,,KZ15,22.69
2017,на 100 000 населения,Восточно-Казахстанская,,,,,,KZ15,22.0
2018,на 100 000 населения,Восточно-Казахстанская,,,,,,KZ15,19.84
2010,на 100 000 населения,г_Нур-Султан,,,,,,KZ05,12.18
2011,на 100 000 населения,г_Нур-Султан,,,,,,KZ05,11.81
2012,на 100 000 населения,г_Нур-Султан,,,,,,KZ05,10.12
2013,на 100 000 населения,г_Нур-Султан,,,,,,KZ05,12.56
2014,на 100 000 населения,г_Нур-Султан,,,,,,KZ05,8.4
2015,на 100 000 населения,г_Нур-Султан,,,,,,KZ05,12.98
2016,на 100 000 населения,г_Нур-Султан,,,,,,KZ05,10.51
2017,на 100 000 населения,г_Нур-Султан,,,,,,KZ05,9.98
2018,на 100 000 населения,г_Нур-Султан,,,,,,KZ05,11.19
2010,на 100 000 населения,г_Алматы,,,,,,KZ02,7.63
2011,на 100 000 населения,г_Алматы,,,,,,KZ02,8.24
2012,на 100 000 населения,г_Алматы,,,,,,KZ02,7.25
2013,на 100 000 населения,г_Алматы,,,,,,KZ02,5.63
2014,на 100 000 населения,г_Алматы,,,,,,KZ02,6.71
2015,на 100 000 населения,г_Алматы,,,,,,KZ02,5.68
2016,на 100 000 населения,г_Алматы,,,,,,KZ02,4.75
2017,на 100 000 населения,г_Алматы,,,,,,KZ02,5.01
2018,на 100 000 населения,г_Алматы,,,,,,KZ02,7.6
2018,на 100 000 населения,г_Шымкент,,,,,,KZ18,2.24
2010,на 100 000 населения,,городское население,,,,,,19.38
2011,на 100 000 населения,,городское население,,,,,,18.21
2012,на 100 000 населения,,городское население,,,,,,17.11
2013,на 100 000 населения,,городское население,,,,,,17.71
2014,на 100 000 населения,,городское население,,,,,,14.85
2015,на 100 000 населения,,городское население,,,,,,13.49
2016,на 100 000 населения,,городское население,,,,,,11.95
2017,на 100 000 населения,,городское население,,,,,,12.35
2018,на 100 000 населения,,городское население,,,,,,12.36
2010,на 100 000 населения,Акмолинская,городское население,,,,,,39.43
2011,на 100 000 населения,Акмолинская,городское население,,,,,,27.77
2012,на 100 000 населения,Акмолинская,городское население,,,,,,29.15
2013,на 100 000 населения,Акмолинская,городское население,,,,,,32.72
2014,на 100 000 населения,Акмолинская,городское население,,,,,,30.56
2015,на 100 000 населения,Акмолинская,городское население,,,,,,30.06
2016,на 100 000 населения,Акмолинская,городское население,,,,,,26.0
2017,на 100 000 населения,Акмолинская,городское население,,,,,,28.39
2018,на 100 000 населения,Акмолинская,городское население,,,,,,27.26
2010,на 100 000 населения,Актюбинская,городское население,,,,,,15.05
2011,на 100 000 населения,Актюбинская,городское население,,,,,,15.57
2012,на 100 000 населения,Актюбинская,городское население,,,,,,16.19
2013,на 100 000 населения,Актюбинская,городское население,,,,,,17.99
2014,на 100 000 населения,Актюбинская,городское население,,,,,,13.27
2015,на 100 000 населения,Актюбинская,городское население,,,,,,19.19
2016,на 100 000 населения,Актюбинская,городское население,,,,,,15.95
2017,на 100 000 населения,Актюбинская,городское население,,,,,,12.44
2018,на 100 000 населения,Актюбинская,городское население,,,,,,13.32
2010,на 100 000 населения,Алматинская,городское население,,,,,,22.07
2011,на 100 000 населения,Алматинская,городское население,,,,,,22.19
2012,на 100 000 населения,Алматинская,городское население,,,,,,23.87
2013,на 100 000 населения,Алматинская,городское население,,,,,,26.16
2014,на 100 000 населения,Алматинская,городское население,,,,,,21.4
2015,на 100 000 населения,Алматинская,городское население,,,,,,14.94
2016,на 100 000 населения,Алматинская,городское население,,,,,,16.92
2017,на 100 000 населения,Алматинская,городское население,,,,,,20.44
2018,на 100 000 населения,Алматинская,городское население,,,,,,15.84
2010,на 100 000 населения,Атырауская,городское население,,,,,,9.97
2011,на 100 000 населения,Атырауская,городское население,,,,,,12.04
2012,на 100 000 населения,Атырауская,городское население,,,,,,16.26
2013,на 100 000 населения,Атырауская,городское население,,,,,,17.62
2014,на 100 000 населения,Атырауская,городское население,,,,,,12.6
2015,на 100 000 населения,Атырауская,городское население,,,,,,13.27
2016,на 100 000 населения,Атырауская,городское население,,,,,,13.56
2017,на 100 000 населения,Атырауская,городское население,,,,,,10.53
2018,на 100 000 населения,Атырауская,городское население,,,,,,11.9
2010,на 100 000 населения,Западно-Казахстанская,городское население,,,,,,24.75
2011,на 100 000 населения,Западно-Казахстанская,городское население,,,,,,26.91
2012,на 100 000 населения,Западно-Казахстанская,городское население,,,,,,24.99
2013,на 100 000 населения,Западно-Казахстанская,городское население,,,,,,22.94
2014,на 100 000 населения,Западно-Казахстанская,городское население,,,,,,23.24
2015,на 100 000 населения,Западно-Казахстанская,городское население,,,,,,15.24
2016,на 100 000 населения,Западно-Казахстанская,городское население,,,,,,14.33
2017,на 100 000 населения,Западно-Казахстанская,городское население,,,,,,9.12
2018,на 100 000 населения,Западно-Казахстанская,городское население,,,,,,16.95
2010,на 100 000 населения,Жамбылская,городское население,,,,,,16.13
2011,на 100 000 населения,Жамбылская,городское население,,,,,,20.36
2012,на 100 000 населения,Жамбылская,городское население,,,,,,13.41
2013,на 100 000 населения,Жамбылская,городское население,,,,,,22.68
2014,на 100 000 населения,Жамбылская,городское население,,,,,,15.47
2015,на 100 000 населения,Жамбылская,городское население,,,,,,14.57
2016,на 100 000 населения,Жамбылская,городское население,,,,,,10.47
2017,на 100 000 населения,Жамбылская,городское население,,,,,,10.53
2018,на 100 000 населения,Жамбылская,городское население,,,,,,10.1
2010,на 100 000 населения,Карагандинская,городское население,,,,,,31.09
2011,на 100 000 населения,Карагандинская,городское население,,,,,,26.52
2012,на 100 000 населения,Карагандинская,городское население,,,,,,24.39
2013,на 100 000 населения,Карагандинская,городское население,,,,,,21.81
2014,на 100 000 населения,Карагандинская,городское население,,,,,,24.2
2015,на 100 000 населения,Карагандинская,городское население,,,,,,21.79
2016,на 100 000 населения,Карагандинская,городское население,,,,,,19.22
2017,на 100 000 населения,Карагандинская,городское население,,,,,,21.39
2018,на 100 000 населения,Карагандинская,городское население,,,,,,18.67
2010,на 100 000 населения,Костанайская,городское население,,,,,,26.23
2011,на 100 000 населения,Костанайская,городское население,,,,,,31.92
2012,на 100 000 населения,Костанайская,городское население,,,,,,31.87
2013,на 100 000 населения,Костанайская,городское население,,,,,,33.34
2014,на 100 000 населения,Костанайская,городское население,,,,,,24.7
2015,на 100 000 населения,Костанайская,городское население,,,,,,27.81
2016,на 100 000 населения,Костанайская,городское население,,,,,,23.5
2017,на 100 000 населения,Костанайская,городское население,,,,,,21.24
2018,на 100 000 населения,Костанайская,городское население,,,,,,19.82
2010,на 100 000 населения,Кызылординская,городское население,,,,,,6.48
2011,на 100 000 населения,Кызылординская,городское население,,,,,,6.02
2012,на 100 000 населения,Кызылординская,городское население,,,,,,15.69
2013,на 100 000 населения,Кызылординская,городское население,,,,,,15.32
2014,на 100 000 населения,Кызылординская,городское население,,,,,,11.53
2015,на 100 000 населения,Кызылординская,городское население,,,,,,8.5
2016,на 100 000 населения,Кызылординская,городское население,,,,,,9.19
2017,на 100 000 населения,Кызылординская,городское население,,,,,,6.11
2018,на 100 000 населения,Кызылординская,городское население,,,,,,6.59
2010,на 100 000 населения,Мангистауская,городское население,,,,,,11.0
2011,на 100 000 населения,Мангистауская,городское население,,,,,,11.12
2012,на 100 000 населения,Мангистауская,городское население,,,,,,6.32
2013,на 100 000 населения,Мангистауская,городское население,,,,,,13.43
2014,на 100 000 населения,Мангистауская,городское население,,,,,,7.48
2015,на 100 000 населения,Мангистауская,городское население,,,,,,7.04
2016,на 100 000 населения,Мангистауская,городское население,,,,,,10.07
2017,на 100 000 населения,Мангистауская,городское население,,,,,,10.69
2018,на 100 000 населения,Мангистауская,городское население,,,,,,10.36
2010,на 100 000 населения,Южно-Казахстанская,городское население,,,,,,11.02
2011,на 100 000 населения,Южно-Казахстанская,городское население,,,,,,10.23
2012,на 100 000 населения,Южно-Казахстанская,городское население,,,,,,12.15
2013,на 100 000 населения,Южно-Казахстанская,городское население,,,,,,12.56
2014,на 100 000 населения,Южно-Казахстанская,городское население,,,,,,9.58
2015,на 100 000 населения,Южно-Казахстанская,городское население,,,,,,6.89
2016,на 100 000 населения,Южно-Казахстанская,городское население,,,,,,5.66
2017,на 100 000 населения,Южно-Казахстанская,городское население,,,,,,9.46
2010,на 100 000 населения,Павлодарская,городское население,,,,,,23.91
2011,на 100 000 населения,Павлодарская,городское население,,,,,,25.33
2012,на 100 000 населения,Павлодарская,городское население,,,,,,25.37
2013,на 100 000 населения,Павлодарская,городское население,,,,,,22.62
2014,на 100 000 населения,Павлодарская,городское население,,,,,,12.32
2015,на 100 000 населения,Павлодарская,городское население,,,,,,3.19
2016,на 100 000 населения,Павлодарская,городское население,,,,,,4.12
2017,на 100 000 населения,Павлодарская,городское население,,,,,,8.24
2018,на 100 000 населения,Павлодарская,городское население,,,,,,7.32
2010,на 100 000 населения,Северо-Казахстанская,городское население,,,,,,26.42
2011,на 100 000 населения,Северо-Казахстанская,городское население,,,,,,12.57
2012,на 100 000 населения,Северо-Казахстанская,городское население,,,,,,3.77
2013,на 100 000 населения,Северо-Казахстанская,городское население,,,,,,3.75
2014,на 100 000 населения,Северо-Казахстанская,городское население,,,,,,6.19
2015,на 100 000 населения,Северо-Казахстанская,городское население,,,,,,12.19
2016,на 100 000 населения,Северо-Казахстанская,городское население,,,,,,12.44
2017,на 100 000 населения,Северо-Казахстанская,городское население,,,,,,9.2
2018,на 100 000 населения,Северо-Казахстанская,городское население,,,,,,5.55
2018,на 100 000 населения,Туркестанская,городское население,,,,,,4.37
2010,на 100 000 населения,Восточно-Казахстанская,городское население,,,,,,34.97
2011,на 100 000 населения,Восточно-Казахстанская,городское население,,,,,,30.25
2012,на 100 000 населения,Восточно-Казахстанская,городское население,,,,,,24.09
2013,на 100 000 населения,Восточно-Казахстанская,городское население,,,,,,25.03
2014,на 100 000 населения,Восточно-Казахстанская,городское население,,,,,,22.06
2015,на 100 000 населения,Восточно-Казахстанская,городское население,,,,,,19.36
2016,на 100 000 населения,Восточно-Казахстанская,городское население,,,,,,16.84
2017,на 100 000 населения,Восточно-Казахстанская,городское население,,,,,,16.75
2018,на 100 000 населения,Восточно-Казахстанская,городское население,,,,,,15.34
2010,на 100 000 населения,г_Нур-Султан,городское население,,,,,,12.18
2011,на 100 000 населения,г_Нур-Султан,городское население,,,,,,11.81
2012,на 100 000 населения,г_Нур-Султан,городское население,,,,,,10.12
2013,на 100 000 населения,г_Нур-Султан,городское население,,,,,,12.56
2014,на 100 000 населения,г_Нур-Султан,городское население,,,,,,8.4
2015,на 100 000 населения,г_Нур-Султан,городское население,,,,,,12.98
2016,на 100 000 населения,г_Нур-Султан,городское население,,,,,,10.51
2017,на 100 000 населения,г_Нур-Султан,городское население,,,,,,9.98
2018,на 100 000 населения,г_Нур-Султан,городское население,,,,,,11.19
2010,на 100 000 населения,г_Алматы,городское население,,,,,,7.63
2011,на 100 000 населения,г_Алматы,городское население,,,,,,8.24
2012,на 100 000 населения,г_Алматы,городское население,,,,,,7.25
2013,на 100 000 населения,г_Алматы,городское население,,,,,,5.63
2014,на 100 000 населения,г_Алматы,городское население,,,,,,6.71
2015,на 100 000 населения,г_Алматы,городское население,,,,,,5.68
2016,на 100 000 населения,г_Алматы,городское население,,,,,,4.75
2017,на 100 000 населения,г_Алматы,городское население,,,,,,5.01
2018,на 100 000 населения,г_Алматы,городское население,,,,,,7.6
2018,на 100 000 населения,г_Шымкент,городское население,,,,,,2.24
2010,на 100 000 населения,,сельское население,,,,,,25.71
2011,на 100 000 населения,,сельское население,,,,,,23.93
2012,на 100 000 населения,,сельское население,,,,,,22.8
2013,на 100 000 населения,,сельское население,,,,,,24.28
2014,на 100 000 населения,,сельское население,,,,,,22.2
2015,на 100 000 населения,,сельское население,,,,,,20.48
2016,на 100 000 населения,,сельское население,,,,,,17.81
2017,на 100 000 населения,,сельское население,,,,,,18.02
2018,на 100 000 населения,,сельское население,,,,,,15.42
2010,на 100 000 населения,Акмолинская,сельское население,,,,,,48.24
2011,на 100 000 населения,Акмолинская,сельское население,,,,,,41.26
2012,на 100 000 населения,Акмолинская,сельское население,,,,,,40.61
2013,на 100 000 населения,Акмолинская,сельское население,,,,,,40.89
2014,на 100 000 населения,Акмолинская,сельское население,,,,,,41.88
2015,на 100 000 населения,Акмолинская,сельское население,,,,,,37.32
2016,на 100 000 населения,Акмолинская,сельское население,,,,,,28.25
2017,на 100 000 населения,Акмолинская,сельское население,,,,,,39.69
2018,на 100 000 населения,Акмолинская,сельское население,,,,,,24.08
2010,на 100 000 населения,Актюбинская,сельское население,,,,,,24.1
2011,на 100 000 населения,Актюбинская,сельское население,,,,,,20.31
2012,на 100 000 населения,Актюбинская,сельское население,,,,,,30.0
2013,на 100 000 населения,Актюбинская,сельское население,,,,,,25.68
2014,на 100 000 населения,Актюбинская,сельское население,,,,,,26.04
2015,на 100 000 населения,Актюбинская,сельское население,,,,,,22.38
2016,на 100 000 населения,Актюбинская,сельское население,,,,,,20.72
2017,на 100 000 населения,Актюбинская,сельское население,,,,,,19.16
2018,на 100 000 населения,Актюбинская,сельское население,,,,,,18.8
2010,на 100 000 населения,Алматинская,сельское население,,,,,,21.35
2011,на 100 000 населения,Алматинская,сельское население,,,,,,19.94
2012,на 100 000 населения,Алматинская,сельское население,,,,,,20.28
2013,на 100 000 населения,Алматинская,сельское население,,,,,,21.11
2014,на 100 000 населения,Алматинская,сельское население,,,,,,21.46
2015,на 100 000 населения,Алматинская,сельское население,,,,,,18.14
2016,на 100 000 населения,Алматинская,сельское население,,,,,,16.41
2017,на 100 000 населения,Алматинская,сельское население,,,,,,18.42
2018,на 100 000 населения,Алматинская,сельское население,,,,,,15.0
2010,на 100 000 населения,Атырауская,сельское население,,,,,,24.66
2011,на 100 000 населения,Атырауская,сельское население,,,,,,14.64
2012,на 100 000 населения,Атырауская,сельское население,,,,,,18.62
2013,на 100 000 населения,Атырауская,сельское население,,,,,,21.71
2014,на 100 000 населения,Атырауская,сельское население,,,,,,19.03
2015,на 100 000 населения,Атырауская,сельское население,,,,,,22.97
2016,на 100 000 населения,Атырауская,сельское население,,,,,,14.36
2017,на 100 000 населения,Атырауская,сельское население,,,,,,15.32
2018,на 100 000 населения,Атырауская,сельское население,,,,,,9.35
2010,на 100 000 населения,Западно-Казахстанская,сельское население,,,,,,31.95
2011,на 100 000 населения,Западно-Казахстанская,сельское население,,,,,,40.08
2012,на 100 000 населения,Западно-Казахстанская,сельское население,,,,,,39.04
2013,на 100 000 населения,Западно-Казахстанская,сельское население,,,,,,29.76
2014,на 100 000 населения,Западно-Казахстанская,сельское население,,,,,,24.27
2015,на 100 000 населения,Западно-Казахстанская,сельское население,,,,,,22.91
2016,на 100 000 населения,Западно-Казахстанская,сельское население,,,,,,20.73
2017,на 100 000 населения,Западно-Казахстанская,сельское население,,,,,,22.83
2018,на 100 000 населения,Западно-Казахстанская,сельское население,,,,,,25.85
2010,на 100 000 населения,Жамбылская,сельское население,,,,,,18.26
2011,на 100 000 населения,Жамбылская,сельское население,,,,,,16.23
2012,на 100 000 населения,Жамбылская,сельское население,,,,,,15.21
2013,на 100 000 населения,Жамбылская,сельское население,,,,,,17.52
2014,на 100 000 населения,Жамбылская,сельское население,,,,,,18.1
2015,на 100 000 населения,Жамбылская,сельское население,,,,,,11.54
2016,на 100 000 населения,Жамбылская,сельское население,,,,,,10.24
2017,на 100 000 населения,Жамбылская,сельское население,,,,,,8.81
2018,на 100 000 населения,Жамбылская,сельское население,,,,,,7.99
2010,на 100 000 населения,Карагандинская,сельское население,,,,,,42.34
2011,на 100 000 населения,Карагандинская,сельское население,,,,,,37.89
2012,на 100 000 населения,Карагандинская,сельское население,,,,,,35.65
2013,на 100 000 населения,Карагандинская,сельское население,,,,,,40.24
2014,на 100 000 населения,Карагандинская,сельское население,,,,,,35.39
2015,на 100 000 населения,Карагандинская,сельское население,,,,,,26.99
2016,на 100 000 населения,Карагандинская,сельское население,,,,,,31.8
2017,на 100 000 населения,Карагандинская,сельское население,,,,,,25.1
2018,на 100 000 населения,Карагандинская,сельское население,,,,,,25.24
2010,на 100 000 населения,Костанайская,сельское население,,,,,,50.2
2011,на 100 000 населения,Костанайская,сельское население,,,,,,50.26
2012,на 100 000 населения,Костанайская,сельское население,,,,,,46.16
2013,на 100 000 населения,Костанайская,сельское население,,,,,,51.68
2014,на 100 000 населения,Костанайская,сельское население,,,,,,39.18
2015,на 100 000 населения,Костанайская,сельское население,,,,,,46.79
2016,на 100 000 населения,Костанайская,сельское население,,,,,,41.6
2017,на 100 000 населения,Костанайская,сельское население,,,,,,37.14
2018,на 100 000 населения,Костанайская,сельское население,,,,,,33.0
2010,на 100 000 населения,Кызылординская,сельское население,,,,,,10.21
2011,на 100 000 населения,Кызылординская,сельское население,,,,,,8.09
2012,на 100 000 населения,Кызылординская,сельское население,,,,,,13.05
2013,на 100 000 населения,Кызылординская,сельское население,,,,,,18.1
2014,на 100 000 населения,Кызылординская,сельское население,,,,,,7.76
2015,на 100 000 населения,Кызылординская,сельское население,,,,,,6.52
2016,на 100 000 населения,Кызылординская,сельское население,,,,,,5.79
2017,на 100 000 населения,Кызылординская,сельское население,,,,,,4.6
2018,на 100 000 населения,Кызылординская,сельское население,,,,,,2.73
2010,на 100 000 населения,Мангистауская,сельское население,,,,,,15.76
2011,на 100 000 населения,Мангистауская,сельское население,,,,,,10.15
2012,на 100 000 населения,Мангистауская,сельское население,,,,,,4.04
2013,на 100 000 населения,Мангистауская,сельское население,,,,,,11.49
2014,на 100 000 населения,Мангистауская,сельское население,,,,,,9.16
2015,на 100 000 населения,Мангистауская,сельское население,,,,,,8.93
2016,на 100 000 населения,Мангистауская,сельское население,,,,,,12.11
2017,на 100 000 населения,Мангистауская,сельское население,,,,,,8.68
2018,на 100 000 населения,Мангистауская,сельское население,,,,,,9.02
2010,на 100 000 населения,Южно-Казахстанская,сельское население,,,,,,11.74
2011,на 100 000 населения,Южно-Казахстанская,сельское население,,,,,,10.96
2012,на 100 000 населения,Южно-Казахстанская,сельское население,,,,,,11.34
2013,на 100 000 населения,Южно-Казахстанская,сельское население,,,,,,14.15
2014,на 100 000 населения,Южно-Казахстанская,сельское население,,,,,,15.67
2015,на 100 000 населения,Южно-Казахстанская,сельское население,,,,,,14.56
2016,на 100 000 населения,Южно-Казахстанская,сельское население,,,,,,11.21
2017,на 100 000 населения,Южно-Казахстанская,сельское население,,,,,,12.77
2018,на 100 000 населения,Южно-Казахстанская,сельское население,,,,,,9.93
2010,на 100 000 населения,Павлодарская,сельское население,,,,,,34.05
2011,на 100 000 населения,Павлодарская,сельское население,,,,,,46.68
2012,на 100 000 населения,Павлодарская,сельское население,,,,,,34.95
2013,на 100 000 населения,Павлодарская,сельское население,,,,,,31.82
2014,на 100 000 населения,Павлодарская,сельское население,,,,,,16.31
