Year,UNIT_MEASURE,Регионы,Пол,Value
2013,процент,Восточно-Казахстанская,женщины,4.75
2014,процент,,,6.38
2014,процент,Акмолинская,,7.24
2014,процент,Актюбинская,,7.09
2014,процент,Алматинская,,10.61
2014,процент,Атырауская,,3.09
2014,процент,Западно-Казахстанская,,10.13
2014,процент,Жымбылская,,4.47
2014,процент,Карагандинская,,6.75
2014,процент,Костанайская,,12.09
2014,процент,Кызылординская,,2.98
2014,процент,Мангистауская,,1.23
2014,процент,Туркестанская,,6.53
2014,процент,Павлодарская,,10.31
2014,процент,Северо-Казахстанская,,8.19
2014,процент,Восточно-Казахстанская,,8.25
2014,процент,,мужчины,9.71
2014,процент,Акмолинская,мужчины,9.84
2014,процент,Актюбинская,мужчины,8.46
2014,процент,Алматинская,мужчины,15.16
2014,процент,Атырауская,мужчины,4.71
2014,процент,Западно-Казахстанская,мужчины,14.58
2014,процент,Жымбылская,мужчины,7.72
2014,процент,Карагандинская,мужчины,9.83
2014,процент,Костанайская,мужчины,12.08
2014,процент,Кызылординская,мужчины,5.85
2014,процент,Мангистауская,мужчины,2.51
2014,процент,Туркестанская,мужчины,12.2
2014,процент,Павлодарская,мужчины,22.25
2014,процент,Северо-Казахстанская,мужчины,11.12
2014,процент,Восточно-Казахстанская,мужчины,11.93
2014,процент,,женщины,3.43
2014,процент,Акмолинская,женщины,4.92
2014,процент,Актюбинская,женщины,5.87
2014,процент,Алматинская,женщины,6.38
2014,процент,Атырауская,женщины,1.61
2014,процент,Западно-Казахстанская,женщины,6.16
2014,процент,Жымбылская,женщины,1.5
2014,процент,Карагандинская,женщины,4.14
2014,процент,Костанайская,женщины,12.1
2014,процент,Кызылординская,женщины,0.2
2014,процент,Мангистауская,женщины,0.01
2014,процент,Туркестанская,женщины,1.16
2014,процент,Павлодарская,женщины,0.23
2014,процент,Северо-Казахстанская,женщины,5.65
2014,процент,Восточно-Казахстанская,женщины,5.07
2015,процент,,,6.17
2015,процент,Акмолинская,,7.22
2015,процент,Актюбинская,,7.03
2015,процент,Алматинская,,10.83
2015,процент,Атырауская,,3.08
2015,процент,Западно-Казахстанская,,10.11
2015,процент,Жымбылская,,3.46
2015,процент,Карагандинская,,6.75
2015,процент,Костанайская,,12.05
2015,процент,Кызылординская,,2.99
2015,процент,Мангистауская,,1.24
2015,процент,Туркестанская,,6.47
2015,процент,Павлодарская,,10.34
2015,процент,Северо-Казахстанская,,8.32
2015,процент,Восточно-Казахстанская,,6.92
2015,процент,,мужчины,9.29
2015,процент,Акмолинская,мужчины,9.8
2015,процент,Актюбинская,мужчины,8.38
2015,процент,Алматинская,мужчины,15.45
2015,процент,Атырауская,мужчины,4.44
2015,процент,Западно-Казахстанская,мужчины,14.56
2015,процент,Жымбылская,мужчины,5.48
2015,процент,Карагандинская,мужчины,9.82
2015,процент,Костанайская,мужчины,11.98
2015,процент,Кызылординская,мужчины,5.87
2015,процент,Мангистауская,мужчины,2.52
2015,процент,Туркестанская,мужчины,12.38
2015,процент,Павлодарская,мужчины,22.3
2015,процент,Северо-Казахстанская,мужчины,11.08
2015,процент,Восточно-Казахстанская,мужчины,8.92
2015,процент,,женщины,3.4
2015,процент,Акмолинская,женщины,4.9
2015,процент,Актюбинская,женщины,5.83
2015,процент,Алматинская,женщины,6.52
2015,процент,Атырауская,женщины,1.82
2015,процент,Западно-Казахстанская,женщины,6.15
2015,процент,Жымбылская,женщины,1.61
2015,процент,Карагандинская,женщины,4.15
2015,процент,Костанайская,женщины,12.1
2015,процент,Кызылординская,женщины,0.19
2015,процент,Мангистауская,женщины,0.02
2015,процент,Туркестанская,женщины,0.88
2015,процент,Павлодарская,женщины,0.24
2015,процент,Северо-Казахстанская,женщины,5.93
2015,процент,Восточно-Казахстанская,женщины,5.18
2016,процент,,,5.947566036466102
2016,процент,Акмолинская,,7.302879719992831
2016,процент,Актюбинская,,7.007086993574893
2016,процент,Алматинская,,10.962680875925985
2016,процент,Атырауская,,3.0749809668204504
2016,процент,Западно-Казахстанская,,10.17172057538988
2016,процент,Жымбылская,,3.52950142124467
2016,процент,Карагандинская,,6.772554495956336
2016,процент,Костанайская,,12.083380175020263
2016,процент,Кызылординская,,3.0322993680558423
2016,процент,Мангистауская,,1.2452800992368251
2016,процент,Туркестанская,,6.223277700815797
2016,процент,Павлодарская,,10.26867703473942
2016,процент,Северо-Казахстанская,,3.4140001209071755
2016,процент,Восточно-Казахстанская,,6.919737424838196
2016,процент,,мужчины,9.224788976309444
2016,процент,Акмолинская,мужчины,9.957651546685897
2016,процент,Актюбинская,мужчины,8.37473878034167
2016,процент,Алматинская,мужчины,16.836879309432767
2016,процент,Атырауская,мужчины,4.479508285732902
2016,процент,Западно-Казахстанская,мужчины,14.67317407629606
2016,процент,Жымбылская,мужчины,5.633962275393797
2016,процент,Карагандинская,мужчины,9.839694574853755
2016,процент,Костанайская,мужчины,11.997467400799852
2016,процент,Кызылординская,мужчины,5.961078723315019
2016,процент,Мангистауская,мужчины,2.5470670689448536
2016,процент,Туркестанская,мужчины,11.765067250637816
2016,процент,Павлодарская,мужчины,22.3526197722874
2016,процент,Северо-Казахстанская,мужчины,7.108223744257983
2016,процент,Восточно-Казахстанская,мужчины,9.277950350741175
2016,процент,,женщины,3.041477748548792
2016,процент,Акмолинская,женщины,4.921908821472576
2016,процент,Актюбинская,женщины,5.79742458759472
2016,процент,Алматинская,женщины,5.481125430641963
2016,процент,Атырауская,женщины,1.7817728239649444
2016,процент,Западно-Казахстанская,женщины,6.167319184009891
2016,процент,Жымбылская,женщины,1.6016048801457492
2016,процент,Карагандинская,женщины,4.163638298704571
2016,процент,Костанайская,женщины,12.1569828359244
2016,процент,Кызылординская,женщины,0.1912201472801985
2016,процент,Мангистауская,женщины,0.0103805458684191
2016,процент,Туркестанская,женщины,0.9666257050454776
2016,процент,Павлодарская,женщины,0.0458977651694555
2016,процент,Северо-Казахстанская,женщины,0.2042319466563537
2016,процент,Восточно-Казахстанская,женщины,4.87781706393486
2017,процент,,,6.100887064527785
2017,процент,Акмолинская,,7.598447290809104
2017,процент,Актюбинская,,6.333373720756804
2017,процент,Алматинская,,10.926600430832377
2017,процент,Атырауская,,3.0594782930439077
2017,процент,Западно-Казахстанская,,10.238460046336357
2017,процент,Жымбылская,,4.01034456856496
2017,процент,Карагандинская,,6.811219875275411
2017,процент,Костанайская,,12.113928650142665
2017,процент,Кызылординская,,3.186342605644993
2017,процент,Мангистауская,,0.8263174500636636
2017,процент,Туркестанская,,6.187991035180959
2017,процент,Павлодарская,,10.335196274945671
2017,процент,Северо-Казахстанская,,8.346185996679893
2017,процент,Восточно-Казахстанская,,7.198534161828069
2017,процент,,мужчины,10.442192621413476
2017,процент,Акмолинская,мужчины,12.387950556708812
2017,процент,Актюбинская,мужчины,6.969950902781691
2017,процент,Алматинская,мужчины,20.5952052561627
2017,процент,Атырауская,мужчины,4.4485391597322845
2017,процент,Западно-Казахстанская,мужчины,15.773675208927832
2017,процент,Жымбылская,мужчины,6.712319965573249
2017,процент,Карагандинская,мужчины,10.019283139875276
2017,процент,Костанайская,мужчины,11.954689740738951
2017,процент,Кызылординская,мужчины,6.268431976906215
2017,процент,Мангистауская,мужчины,1.6799190770688484
2017,процент,Туркестанская,мужчины,11.618792337005695
2017,процент,Павлодарская,мужчины,22.34060063165273
2017,процент,Северо-Казахстанская,мужчины,14.87900216316049
2017,процент,Восточно-Казахстанская,мужчины,15.041073072554244
2017,процент,,женщины,2.6269248163889456
2017,процент,Акмолинская,женщины,3.2923003508275817
2017,процент,Актюбинская,женщины,5.770211096262919
2017,процент,Алматинская,женщины,1.8686058505893537
2017,процент,Атырауская,женщины,1.7788225301059046
2017,процент,Западно-Казахстанская,женщины,5.312727190346637
2017,процент,Жымбылская,женщины,1.5284358238126348
2017,процент,Карагандинская,женщины,4.077720913926477
2017,процент,Костанайская,женщины,12.250728814544727
2017,процент,Кызылординская,женщины,0.1900560260902442
2017,процент,Мангистауская,женщины,0.0160437166971335
2017,процент,Туркестанская,женщины,1.0315058376864912
2017,процент,Павлодарская,женщины,0.1643770895740303
2017,процент,Северо-Казахстанская,женщины,2.6601191328187794
2017,процент,Восточно-Казахстанская,женщины,4.877011310126623
2018,процент,,,5.9456315973679175
2018,процент,Акмолинская,,7.408493095439031
2018,процент,Актюбинская,,6.326929557332228
2018,процент,Алматинская,,10.440690147442789
2018,процент,Атырауская,,3.0634145846441108
2018,процент,Западно-Казахстанская,,10.275536843573349
2018,процент,Жымбылская,,4.050372721154694
2018,процент,Карагандинская,,6.872051460358157
2018,процент,Костанайская,,11.704142702916377
2018,процент,Кызылординская,,3.221077203370531
2018,процент,Мангистауская,,0.8086458185240927
2018,процент,Туркестанская,,15.272952309919791
2018,процент,Павлодарская,,13.846020306608626
2018,процент,Северо-Казахстанская,,3.1449556451772978
2018,процент,Восточно-Казахстанская,,8.764037794674387
2018,процент,,мужчины,9.70080297943824
2018,процент,Акмолинская,мужчины,12.429883541213416
2018,процент,Актюбинская,мужчины,6.990829238651386
2018,процент,Алматинская,мужчины,19.32187030536074
2018,процент,Атырауская,мужчины,4.476725305537294
2018,процент,Западно-Казахстанская,мужчины,14.86085866644467
2018,процент,Жымбылская,мужчины,7.021153782887359
2018,процент,Карагандинская,мужчины,10.097312961637336
2018,процент,Костанайская,мужчины,11.31688341529166
2018,процент,Кызылординская,мужчины,6.333372476550123
2018,процент,Мангистауская,мужчины,1.6486642999219476
2018,процент,Туркестанская,мужчины,30.117422359945824
2018,процент,Павлодарская,мужчины,29.356608733379268
2018,процент,Северо-Казахстанская,мужчины,5.174860342071808
2018,процент,Восточно-Казахстанская,мужчины,13.191584021152751
2018,процент,,женщины,2.6117563333170843
2018,процент,Акмолинская,женщины,2.880673778696223
2018,процент,Актюбинская,женщины,5.739705736506525
2018,процент,Алматинская,женщины,2.078971302017338
2018,процент,Атырауская,женщины,1.756446284825564
2018,процент,Западно-Казахстанская,женщины,6.189964024774691
2018,процент,Жымбылская,женщины,1.3160701775634946
2018,процент,Карагандинская,женщины,4.120433229490408
2018,процент,Костанайская,женщины,12.037603403088474
2018,процент,Кызылординская,женщины,0.1886841687960544
2018,процент,Мангистауская,женщины,0.0119399563475195
2018,процент,Туркестанская,женщины,2.685202629674067
2018,процент,Павлодарская,женщины,0.3156884702466956
2018,процент,Северо-Казахстанская,женщины,1.1010616684828844
2018,процент,Восточно-Казахстанская,женщины,4.927390061902988
